candidate,split,bucket,scope,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,strong_reference_cut_psnr,strong_reference_regression_count,strong_per_600,worst_count_le_-0.20,worst_per_600,intervention_rate
fulludp_official_endpoint,val_hard,easy_top25_by_a0,val_hard:easy_top25_by_a0,75,0.2674918619791667,0.10352812872992621,0.5435899098714193,-0.0004641548792521159,0.5466666666666666,0.5466666666666666,37.33203887939453,7,56.0,31,248.0,1.0
fulludp_official_endpoint,val_hard,hard_bottom25_by_a0,val_hard:hard_bottom25_by_a0,75,0.6211632537841797,0.5800080829196506,0.684144655863444,-9.228865305582682e-05,0.64,0.64,31.946657180786133,6,48.0,23,184.0,1.0
fulludp_official_endpoint,val_hard,mid_by_a0,val_hard:mid_by_a0,150,0.4077302551269531,0.7262591284674567,-0.0015112902667071368,-0.00027384082476298015,0.6266666666666667,0.6266666666666667,35.59007930755615,18,72.0,50,200.0,1.0
fulludp_official_endpoint,val_regular,easy_top25_by_a0,val_regular:easy_top25_by_a0,75,-0.7968525695800781,-0.947389178805881,-0.8066794077555338,-0.0002997016906738281,0.36,0.36,46.26972961425781,12,96.0,41,328.0,1.0
fulludp_official_endpoint,val_regular,hard_bottom25_by_a0,val_regular:hard_bottom25_by_a0,75,0.5355801900227865,0.955320782131619,0.3608114454481337,-0.0001844636599222819,0.6133333333333333,0.6133333333333333,35.1456356048584,8,64.0,25,200.0,1.0
fulludp_official_endpoint,val_regular,mid_by_a0,val_regular:mid_by_a0,150,-0.47340176900227865,-0.02313036532015414,-1.1792449951171875,-0.0004474306106567383,0.41333333333333333,0.41333333333333333,41.174614906311035,28,112.0,82,328.0,1.0
oracle_a0_fulludp_endpoint,val_hard,easy_top25_by_a0,val_hard:easy_top25_by_a0,75,0.8672982279459636,0.7037364112006294,1.2189422183566623,0.00011035998662312825,0.5466666666666666,1.0,37.33203887939453,0,0.0,0,0.0,0.5466666666666666
oracle_a0_fulludp_endpoint,val_hard,hard_bottom25_by_a0,val_hard:hard_bottom25_by_a0,75,1.0703271230061848,0.8208308749728732,1.2300315433078342,0.0006756107012430827,0.64,1.0,31.946657180786133,0,0.0,0,0.0,0.64
oracle_a0_fulludp_endpoint,val_hard,mid_by_a0,val_hard:mid_by_a0,150,0.876832275390625,1.1527060431403082,0.66139808860985,0.00028464913368225097,0.6266666666666667,1.0,35.59007930755615,0,0.0,0,0.0,0.6266666666666667
oracle_a0_fulludp_endpoint,val_regular,easy_top25_by_a0,val_regular:easy_top25_by_a0,75,0.3242756652832031,0.2061409420437283,0.20348972744411892,-1.3693173726399739e-05,0.36,1.0,46.26972961425781,0,0.0,0,0.0,0.36
oracle_a0_fulludp_endpoint,val_regular,hard_bottom25_by_a0,val_regular:hard_bottom25_by_a0,75,0.9372602844238281,1.229056888156467,0.7681280771891276,0.00019794702529907227,0.6133333333333333,1.0,35.1456356048584,0,0.0,0,0.0,0.6133333333333333
oracle_a0_fulludp_endpoint,val_regular,mid_by_a0,val_regular:mid_by_a0,150,0.4903660837809245,0.7068580421241554,0.23473358154296875,0.00014857371648152668,0.41333333333333333,1.0,41.174614906311035,0,0.0,0,0.0,0.41333333333333333
