feature,target,auc_raw,auc_best_orientation,direction,mean,std
A0_PSNR,target_positive,0.3687051161960837,0.6312948838039163,lower,36.85785930315654,4.596400018469861
A0_PSNR,target_high_gain_ge_0.20,0.3754791406667855,0.6245208593332146,lower,36.85785930315654,4.596400018469861
A0_PSNR,target_severe_loss_le_-0.20,0.6228676336434957,0.6228676336434957,higher,36.85785930315654,4.596400018469861
A0_PSNR,target_loss_lt_0,0.6312948838039163,0.6312948838039163,higher,36.85785930315654,4.596400018469861
name_param_1,target_positive,0.5380703867255453,0.5380703867255453,higher,0.7627666666666667,0.14375446273265938
name_param_1,target_high_gain_ge_0.20,0.5290994384025673,0.5290994384025673,higher,0.7627666666666667,0.14375446273265938
name_param_1,target_severe_loss_le_-0.20,0.45134327677431124,0.5486567232256887,lower,0.7627666666666667,0.14375446273265938
name_param_1,target_loss_lt_0,0.4619296132744547,0.5380703867255453,lower,0.7627666666666667,0.14375446273265938
name_param_2,target_positive,0.44359694901645924,0.5564030509835407,lower,1.3502666666666667,0.41629428159523024
name_param_2,target_high_gain_ge_0.20,0.44138883936530576,0.5586111606346942,lower,1.3502666666666667,0.41629428159523024
name_param_2,target_severe_loss_le_-0.20,0.5363414522897282,0.5363414522897282,higher,1.3502666666666667,0.41629428159523024
name_param_2,target_loss_lt_0,0.5564030509835407,0.5564030509835407,higher,1.3502666666666667,0.41629428159523024
