mode,split,fold,index,name,mapper,K,candidate_scale,family,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,pred_abs_mean,scaled_pred_abs_mean,target_abs_mean,visual_group,strong_anchor_cut_psnr
v04e,oof,1,2597,638_0.73_1.34.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,36.188716888427734,34.92073440551758,38.820945739746094,-1.2679824829101562,2.6322288513183594,0.10555940866470337,1.0,1.0,0.3039921820163727,1.0,0.012412668205797672,0.012412668205797672,0.010617751628160477,severe,42.756771087646484
v04e,oof,1,199,1180_0.68_0.5.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,41.07955551147461,39.995243072509766,43.065738677978516,-1.0843124389648438,1.9861831665039062,0.16252723336219788,1.0,1.0,0.22820289433002472,1.0,0.006604234222322702,0.006604234222322702,0.007558042649179697,severe,42.756771087646484
v04e,oof,2,204,1185_0.94_1.35.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,39.97091293334961,39.00709533691406,42.49462127685547,-0.9638175964355469,2.5237083435058594,0.025919336825609207,1.0,1.0,0.28948575258255005,1.0,0.008780387230217457,0.008780387230217457,0.007994351908564568,severe,42.756771087646484
v04e,oof,1,2597,638_0.73_1.34.png,global_plus_spatial_kernel_knn_9,16,0.75,global_plus_spatial_kernel_knn,36.188716888427734,35.24945831298828,38.820945739746094,-0.9392585754394531,2.6322288513183594,0.10555940866470337,1.0,1.0,0.3039921820163727,1.0,0.012412668205797672,0.009309501387178898,0.010617751628160477,severe,42.756771087646484
v04e,oof,1,199,1180_0.68_0.5.png,spatial_priors_ridge_10,16,0.75,spatial_priors_ridge,41.07955551147461,40.27578353881836,43.065738677978516,-0.80377197265625,1.9861831665039062,0.16252723336219788,1.0,1.0,0.22820289433002472,1.0,0.006604234222322702,0.004953175783157349,0.007558042649179697,severe,42.756771087646484
v04e,oof,1,2597,638_0.73_1.34.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,36.188716888427734,35.468055725097656,38.820945739746094,-0.7206611633300781,2.6322288513183594,0.2517305314540863,1.0,1.0,0.3039921820163727,1.0,0.008493703790009022,0.008493703790009022,0.010617751628160477,severe,42.756771087646484
v04e,oof,2,204,1185_0.94_1.35.png,global_mean_coeff,16,1.0,global_mean,39.97091293334961,39.272911071777344,42.49462127685547,-0.6980018615722656,2.5237083435058594,-0.3492943346500397,1.0,1.0,0.28948575258255005,1.0,0.0050580669194459915,0.0050580669194459915,0.007994351908564568,severe,42.756771087646484
v04e,oof,2,204,1185_0.94_1.35.png,spatial_priors_ridge_10,16,0.75,spatial_priors_ridge,39.97091293334961,39.28434753417969,42.49462127685547,-0.6865653991699219,2.5237083435058594,0.025919336825609207,1.0,1.0,0.28948575258255005,1.0,0.008780387230217457,0.006585290189832449,0.007994351908564568,severe,42.756771087646484
v04e,oof,3,2596,637_0.82_1.62.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,32.29452133178711,31.610469818115234,34.37905502319336,-0.684051513671875,2.08453369140625,0.04061049595475197,1.0,1.0,0.3503444194793701,1.0,0.0125309182330966,0.0125309182330966,0.012068020179867744,severe,42.756771087646484
v04e,oof,3,2596,637_0.82_1.62.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,32.29452133178711,31.618789672851562,34.37905502319336,-0.6757316589355469,2.08453369140625,0.052088186144828796,1.0,1.0,0.3503444194793701,1.0,0.012285217642784119,0.012285217642784119,0.012068020179867744,severe,42.756771087646484
v04e,oof,2,197,1179_0.56_1.96.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,30.77662467956543,30.126373291015625,31.976545333862305,-0.6502513885498047,1.199920654296875,-0.6383601427078247,1.0,1.0,0.2200368344783783,1.0,0.01046778541058302,0.01046778541058302,0.01557844690978527,severe,42.756771087646484
v04e,oof,1,2597,638_0.73_1.34.png,global_plus_spatial_kernel_knn_9,16,0.5,global_plus_spatial_kernel_knn,36.188716888427734,35.572715759277344,38.820945739746094,-0.6160011291503906,2.6322288513183594,0.10555940866470337,1.0,1.0,0.3039921820163727,1.0,0.012412668205797672,0.006206334102898836,0.010617751628160477,severe,42.756771087646484
v04e,oof,0,2694,725_0.64_0.72.png,global_mean_coeff,16,1.0,global_mean,44.91022491455078,44.66067886352539,45.53759002685547,-0.24954605102539062,0.6273651123046875,0.24304956197738647,1.0,0.9995527863502502,0.0847182348370552,1.0,0.005153840407729149,0.005153840407729149,0.0039046085439622402,strong,42.756771087646484
v04e,oof,0,2694,725_0.64_0.72.png,global_mean_coeff,16,0.75,global_mean,44.91022491455078,44.726806640625,45.53759002685547,-0.18341827392578125,0.6273651123046875,0.24304956197738647,1.0,0.9995527863502502,0.0847182348370552,1.0,0.005153840407729149,0.0038653803057968616,0.0039046085439622402,strong,42.756771087646484
v04e,oof,1,2650,686_0.62_0.82.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,44.128196716308594,43.950439453125,44.4515380859375,-0.17775726318359375,0.32334136962890625,-0.04742506146430969,1.0,0.9995682835578918,0.04111085087060928,1.0,0.0074723330326378345,0.0074723330326378345,0.005022171884775162,strong,42.756771087646484
v04e,oof,1,2650,686_0.62_0.82.png,spatial_priors_kernel_knn_9,16,0.75,spatial_priors_kernel_knn,44.128196716308594,43.99822998046875,44.4515380859375,-0.12996673583984375,0.32334136962890625,-0.04742506146430969,1.0,0.9995682835578918,0.04111085087060928,1.0,0.0074723330326378345,0.00560424942523241,0.005022171884775162,strong,42.756771087646484
v04e,oof,0,2694,725_0.64_0.72.png,global_mean_coeff,16,0.5,global_mean,44.91022491455078,44.7905158996582,45.53759002685547,-0.11970901489257812,0.6273651123046875,0.24304956197738647,1.0,0.9995527863502502,0.0847182348370552,1.0,0.005153840407729149,0.0025769202038645744,0.0039046085439622402,strong,42.756771087646484
v04e,oof,1,2650,686_0.62_0.82.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,44.128196716308594,44.019996643066406,44.4515380859375,-0.1082000732421875,0.32334136962890625,0.426670104265213,1.0,0.9995682835578918,0.04111085087060928,1.0,0.007494781631976366,0.007494781631976366,0.005022171884775162,strong,42.756771087646484
v04e,oof,1,2650,686_0.62_0.82.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,44.128196716308594,44.029029846191406,44.4515380859375,-0.0991668701171875,0.32334136962890625,0.45541876554489136,1.0,0.9995682835578918,0.04111085087060928,1.0,0.0072491904720664024,0.0072491904720664024,0.005022171884775162,strong,42.756771087646484
v04e,oof,1,2650,686_0.62_0.82.png,spatial_priors_kernel_knn_9,16,0.5,spatial_priors_kernel_knn,44.128196716308594,44.04384231567383,44.4515380859375,-0.08435440063476562,0.32334136962890625,-0.04742506146430969,1.0,0.9995682835578918,0.04111085087060928,1.0,0.0074723330326378345,0.0037361665163189173,0.005022171884775162,strong,42.756771087646484
v04e,oof,1,2650,686_0.62_0.82.png,global_plus_spatial_kernel_knn_9,16,0.75,global_plus_spatial_kernel_knn,44.128196716308594,44.049015045166016,44.4515380859375,-0.07918167114257812,0.32334136962890625,0.426670104265213,1.0,0.9995682835578918,0.04111085087060928,1.0,0.007494781631976366,0.005621086340397596,0.005022171884775162,strong,42.756771087646484
