split,policy,count,mean_psnr_delta,p10_psnr_delta,regression_le_0p2_count,regression_le_0p5_count,alpha_star_mean,alpha_star_p10,alpha_star_p50,alpha_star_p90,wrong_direction_count,harmful_overshoot_count,beneficial_but_oversized_count,full_step_conservative_or_ok_count,no_step_or_degenerate_count,mean_relative_excess_mse
CONFIRM,CONFIRM_DIRECT_CONTEXT,600,0.09376642161055136,-0.45117516605171415,125,49,0.968775035239753,-0.5567593381919775,0.5519758806495718,3.139996737574302,155,135,81,229,0,-0.015439597709346279
CONFIRM,CONFIRM_DIRECT_LINEAR,600,0.06697897526764979,-0.36039613353048666,116,33,0.8412603846494942,-0.5089232948447658,0.45771130847498803,2.7725146613401703,170,145,80,205,0,-0.011120914277813653
OOF,OOF_DIRECT_CONTEXT,1200,0.06455526623660457,-0.5090452131362738,279,124,0.8343315007538654,-0.7354979676395366,0.5191688468159529,2.885426985835133,328,264,189,418,1,-0.009161996621726207
OOF,OOF_DIRECT_LINEAR,1200,0.03197626300167177,-0.42234027478095726,233,87,0.6687327436144133,-0.49881969381831043,0.34370765452264296,2.313479034565042,342,326,188,343,1,-0.0035203995670577783
