policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,p05_psnr_delta,worst_psnr_delta,best_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count
CONFIRM_A0,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
CONFIRM_DIRECT_CONTEXT,600,0.09376642161055136,0.005577914000983952,-0.45117516605171415,-0.662346991713364,-1.5102698022436414,1.4687322693539997,0.5166666666666667,125,49
CONFIRM_DIRECT_LINEAR,600,0.06697897526764979,-0.004088264280991183,-0.36039613353048666,-0.5085522302667962,-1.3268781767828983,1.3699980560096492,0.475,116,33
CONFIRM_HARD_D7C_ALPHA1,600,0.008634343867902773,0.0019312297462281691,-0.13134300922241735,-0.1759438353143171,-0.3497653327339876,0.6653993149518982,0.5166666666666667,23,0
