fold,head,step,loss
0,linear,120,1.0257356734655332e-05
0,linear,240,1.0098208804265596e-05
0,linear,360,1.011397034744732e-05
0,context,120,9.720615707919933e-06
0,context,240,9.690725164546166e-06
0,context,360,9.860586033028085e-06
0,context,480,9.979377864510752e-06
1,linear,120,1.0395318895461969e-05
1,linear,240,9.967970072466414e-06
1,linear,360,1.0301835573045537e-05
1,context,120,1.0098933671542909e-05
1,context,240,9.963845513993874e-06
1,context,360,9.771889381227084e-06
1,context,480,9.85163660516264e-06
2,linear,120,9.950061212293804e-06
2,linear,240,9.97984352579806e-06
2,linear,360,1.0222442142548971e-05
2,context,120,9.767752089828718e-06
2,context,240,1.0090449904964771e-05
2,context,360,9.749720447871368e-06
2,context,480,9.981255061575212e-06
3,linear,120,9.811181371333078e-06
3,linear,240,1.0278006811859086e-05
3,linear,360,1.011234417092055e-05
3,context,120,9.7607662610244e-06
3,context,240,9.91747401712928e-06
3,context,360,9.918372597894631e-06
3,context,480,9.875140676740557e-06
4,linear,120,1.0348034265916795e-05
4,linear,240,1.0279724847350735e-05
4,linear,360,1.0058622137876227e-05
4,context,120,9.729683370096609e-06
4,context,240,9.683286407380365e-06
4,context,360,9.981537004932761e-06
4,context,480,9.698787835077383e-06
99,linear,120,1.0376050340710208e-05
99,linear,240,1.0146542990696616e-05
99,linear,360,1.0266469871567097e-05
99,context,120,1.0297096196154598e-05
99,context,240,9.871065230981912e-06
99,context,360,9.943311852111947e-06
99,context,480,9.999344001698773e-06
