n,mean,ci95_low,ci95_high,policy
1200,0.01291485897907824,0.0066744099469113905,0.019549625386514325,OOF_FIXED_ALPHA_0.125_CONTEXT
1200,0.007020920696664819,0.0011270768050751776,0.013594014522499219,OOF_FIXED_ALPHA_0.125_LINEAR
1200,0.036644396349938844,0.029031082543203694,0.04443607206251393,OOF_FIXED_ALPHA_0.25_CONTEXT
1200,0.025334412262177978,0.018290836091662217,0.03237290005768506,OOF_FIXED_ALPHA_0.25_LINEAR
1200,0.05415499773532375,0.04392202085982539,0.06431782694145236,OOF_FIXED_ALPHA_0.375_CONTEXT
1200,0.0379362142461498,0.02947432360542145,0.04669033389300133,OOF_FIXED_ALPHA_0.375_LINEAR
1200,0.0653804777311217,0.05248348967866302,0.07827500468946055,OOF_FIXED_ALPHA_0.5_CONTEXT
1200,0.04478348986286544,0.03412373112543134,0.05529151262563168,OOF_FIXED_ALPHA_0.5_LINEAR
1200,0.06893172005050485,0.04998359362717349,0.08841905746202289,OOF_FIXED_ALPHA_0.75_CONTEXT
1200,0.041228357122184894,0.025416282048168464,0.056440918366367145,OOF_FIXED_ALPHA_0.75_LINEAR
1200,-0.01692525565241966,-0.023611022246838535,-0.00977237378046894,OOF_FIXED_ALPHA_0_CONTEXT
1200,-0.01692525565241966,-0.023611022246838535,-0.00977237378046894,OOF_FIXED_ALPHA_0_LINEAR
1200,0.0476300105841849,0.02190742042811226,0.07347897470642692,OOF_FIXED_ALPHA_1_CONTEXT
1200,0.01505100734925211,-0.006468912149437368,0.03533395747852868,OOF_FIXED_ALPHA_1_LINEAR
