fold,head,step,loss
99,linear,120,1.0225337973679416e-05
99,linear,240,1.0004465366364457e-05
99,linear,360,1.0245183148072101e-05
99,context,120,9.869168934528716e-06
99,context,240,9.839647646003868e-06
99,context,360,9.93761386780534e-06
99,context,480,9.940642485162243e-06
