split,policy,block_size,count,mean_negative_block_fraction,p90_negative_block_fraction,mean_worst_5pct_negative_loss_share,mean_worst_10pct_negative_loss_share,negative_total_gain_images,mean_gain_sum,p10_gain_sum
CONFIRM,CONFIRM_DIRECT_CONTEXT,16,600,0.2300336666666667,0.4375,0.6925301604032877,0.8503165448125038,290,6.086335721530147,-6.794169519614837
CONFIRM,CONFIRM_DIRECT_CONTEXT,32,600,0.3014807692307692,0.5269644970414202,0.6217707695889411,0.79732273945929,290,6.086335715592583,-6.794169580958259
CONFIRM,CONFIRM_DIRECT_LINEAR,16,600,0.25468044444444443,0.47536000000000006,0.6575813932619553,0.8276437762568359,315,5.0587048688558545,-5.977281228711945
CONFIRM,CONFIRM_DIRECT_LINEAR,32,600,0.32916091387245233,0.5566666666666666,0.5849195624511475,0.7705046997355584,315,5.058704873806143,-5.977281184047752
OOF,OOF_DIRECT_CONTEXT,16,1200,0.23116675,0.4448,0.6818851990407484,0.8405534677589666,592,4.75790132705786,-7.1773715157534745
OOF,OOF_DIRECT_CONTEXT,32,1200,0.29959779750164367,0.5384615384615384,0.6167685582466048,0.7892617966694856,592,4.757901330025012,-7.177371590447728
OOF,OOF_DIRECT_LINEAR,16,1200,0.2655101111111111,0.4848,0.6371355838547967,0.8117574404888707,668,3.700231798173448,-5.889548290173115
OOF,OOF_DIRECT_LINEAR,32,1200,0.34119781393819854,0.5733333333333334,0.5684613757314525,0.7527847701483049,668,3.700231796331563,-5.8895483147905905
