policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,p05_psnr_delta,worst_psnr_delta,best_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count
OOF_A0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
OOF_FIXED_ALPHA_0.125_CONTEXT,1200,0.0298401146314979,0.015678954006563828,-0.027937105475309913,-0.057264805557037585,-0.19140806957619105,0.2565998895943409,0.6883333333333334,0,0
OOF_FIXED_ALPHA_0.125_LINEAR,1200,0.02394617634908448,0.0087010014859068,-0.019461743907800862,-0.04179708444121069,-0.1842475071905696,0.24895764844497137,0.6675,0,0
OOF_FIXED_ALPHA_0.25_CONTEXT,1200,0.053569652002358505,0.0253082391367343,-0.06364277190382238,-0.12205340279466269,-0.3892381021010749,0.4963080078165021,0.6608333333333334,15,0
OOF_FIXED_ALPHA_0.25_LINEAR,1200,0.042259667914597634,0.012109749281975724,-0.04761380893106376,-0.09119051491437276,-0.37455264012529454,0.4808237286338084,0.6225,6,0
OOF_FIXED_ALPHA_0.375_CONTEXT,1200,0.0710802533877434,0.032018211005254926,-0.10712654700304752,-0.191191568933996,-0.5922738028424916,0.7153529556817304,0.6325,57,1
OOF_FIXED_ALPHA_0.375_LINEAR,1200,0.05486146989856946,0.012985752864526745,-0.08522853769597347,-0.1510444888774831,-0.5698017200321459,0.6919700682734842,0.5891666666666666,31,1
OOF_FIXED_ALPHA_0.5_CONTEXT,1200,0.08230573338354136,0.030242396933825688,-0.16578163975958518,-0.26635893438826164,-0.7994160574905393,0.9098208274532311,0.6083333333333333,103,7
OOF_FIXED_ALPHA_0.5_LINEAR,1200,0.06170874551528511,0.009644400907479422,-0.13356327229082152,-0.2172781603079834,-0.7689888047046267,0.8786558994461302,0.5575,73,3
OOF_FIXED_ALPHA_0.75_CONTEXT,1200,0.08585697570292453,0.019108033982018213,-0.3216855833025484,-0.4704922562568832,-1.2221607715225034,1.3385475838623506,0.5583333333333333,200,51
OOF_FIXED_ALPHA_0.75_LINEAR,1200,0.05815361277460456,-0.00033925857223593425,-0.2627643797900148,-0.37521572991732943,-1.1756298647482595,1.1641458000924416,0.49166666666666664,159,26
OOF_FIXED_ALPHA_0_CONTEXT,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
OOF_FIXED_ALPHA_0_LINEAR,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
OOF_FIXED_ALPHA_1_CONTEXT,1200,0.06455526623660457,0.00045683997807444143,-0.5090452131362738,-0.6945781656045871,-1.650789766159761,1.73736436872111,0.5058333333333334,279,124
OOF_FIXED_ALPHA_1_LINEAR,1200,0.03197626300167177,-0.00856557499642463,-0.4223402747809572,-0.588651364876349,-1.5883139489106881,1.4097882270760067,0.4425,233,87
OOF_HARD_D7C_ALPHA1,1200,0.01692525565241966,0.0005363139743366219,-0.10607614545783475,-0.16106039304023057,-0.4197341383542934,0.6195595116582595,0.5066666666666667,35,0
