selector,seed,group,bins,min_mean_dPSNR,min_hard_bottom25_dPSNR,min_positive_ratio,max_severe_loss_per_600,group_pass
nested_oof_selected,3407,A0_PSNR_q4,4,1.8988688151041666,2.007377521411793,0.94,24.0,True
nested_oof_selected,3407,FSNet_A0_diff_abs_q4,4,2.2438016001383465,3.1490175401842273,0.9733333333333334,12.0,True
nested_oof_selected,3407,FSNet_A0_diff_signed_q4,4,2.3642523447672525,3.141820443643106,0.9666666666666667,12.0,True
nested_oof_selected,3407,WD0375_FS050_disagreement_q4,4,2.4392137145996093,3.0959122116501265,0.96,12.0,True
nested_oof_selected,3407,WDMamba_A0_diff_abs_q4,4,1.930489018758138,2.153032148206556,0.9466666666666667,24.0,True
nested_oof_selected,3407,WDMamba_A0_diff_signed_q4,4,2.2013714599609373,2.863264238512194,0.9666666666666667,12.0,True
nested_oof_selected,3407,airlight_q4,4,2.4068802897135417,3.30277004757443,0.96,16.0,True
nested_oof_selected,3407,dark_channel_q4,4,2.4982914098103843,3.4174536112192513,0.9733333333333334,16.0,True
nested_oof_selected,3407,depth_q4,4,2.569633852640788,3.4320209090774125,0.9666666666666667,16.0,True
nested_oof_selected,3407,edge_density_q4,4,2.7071741358439128,3.49081869383116,0.98,8.0,True
nested_oof_selected,3407,haze_density_q4,4,2.3171279780069987,2.8237644401756494,0.9666666666666667,16.0,True
nested_oof_selected,3407,low_texture_q4,4,2.5943467076619466,3.4903673223547034,0.9733333333333334,16.0,True
nested_oof_selected,3407,sky_highlight_proxy_q4,4,2.578849805196126,3.238878868721627,0.96,20.0,True
nested_oof_selected,3407,split,2,2.4310137939453127,3.2917029317220052,0.97,12.0,True
nested_oof_selected,3407,transmission_q4,4,2.3171279780069987,2.8237644401756494,0.9666666666666667,16.0,True
nested_oof_selected,3411,A0_PSNR_q4,4,1.8290482838948567,1.9144130397487331,0.94,24.0,True
nested_oof_selected,3411,FSNet_A0_diff_abs_q4,4,2.198721720377604,3.1196653005239128,0.9666666666666667,12.0,True
nested_oof_selected,3411,FSNet_A0_diff_signed_q4,4,2.3525053151448567,3.107006382297825,0.96,16.0,True
nested_oof_selected,3411,WD0375_FS050_disagreement_q4,4,2.4090177408854165,3.0920530783163533,0.96,12.0,True
nested_oof_selected,3411,WDMamba_A0_diff_abs_q4,4,1.8718651835123699,2.0643239407925993,0.94,28.0,True
nested_oof_selected,3411,WDMamba_A0_diff_signed_q4,4,2.1636463165283204,2.834000561688397,0.9666666666666667,12.0,True
nested_oof_selected,3411,airlight_q4,4,2.431611073811849,3.3215874336861275,0.972027972027972,16.783216783216783,True
nested_oof_selected,3411,dark_channel_q4,4,2.464997698465983,3.4551952980660103,0.9733333333333334,12.0,True
nested_oof_selected,3411,depth_q4,4,2.597610460917155,3.4894256076297245,0.9666666666666667,16.0,True
nested_oof_selected,3411,edge_density_q4,4,2.653460731506348,3.576226775710647,0.9733333333333334,12.0,True
nested_oof_selected,3411,haze_density_q4,4,2.3065596135457356,2.8625061963055587,0.9733333333333334,12.0,True
nested_oof_selected,3411,low_texture_q4,4,2.6162011845906576,3.54816400682604,0.9666666666666667,16.0,True
nested_oof_selected,3411,sky_highlight_proxy_q4,4,2.579587008158366,3.3137745728363863,0.9666666666666667,16.0,True
nested_oof_selected,3411,split,2,2.3897759246826173,3.3039954121907553,0.9666666666666667,14.0,True
nested_oof_selected,3411,transmission_q4,4,2.3065596135457356,2.8625061963055587,0.9733333333333334,12.0,True
nested_oof_selected,2026,A0_PSNR_q4,4,1.8770035298665364,2.092079678097287,0.94,28.0,True
nested_oof_selected,2026,FSNet_A0_diff_abs_q4,4,2.2319737497965493,3.1473498988795923,0.9666666666666667,12.0,True
nested_oof_selected,2026,FSNet_A0_diff_signed_q4,4,2.390325724283854,3.143402099609375,0.9666666666666667,16.0,True
nested_oof_selected,2026,WD0375_FS050_disagreement_q4,4,2.45893923441569,3.177530030946474,0.9666666666666667,12.0,True
nested_oof_selected,2026,WDMamba_A0_diff_abs_q4,4,1.9022613271077473,2.13592343717008,0.9333333333333333,32.0,True
nested_oof_selected,2026,WDMamba_A0_diff_signed_q4,4,2.184795608520508,2.897951280748522,0.96,16.0,True
nested_oof_selected,2026,airlight_q4,4,2.40745236714681,3.2985404762061865,0.9666666666666667,16.783216783216783,True
nested_oof_selected,2026,dark_channel_q4,4,2.4716591517130535,3.4229631681700012,0.9733333333333334,16.0,True
nested_oof_selected,2026,depth_q4,4,2.5818769454956056,3.430235733857026,0.9666666666666667,20.0,True
nested_oof_selected,2026,edge_density_q4,4,2.6636659622192385,3.598045297571131,0.9733333333333334,12.0,True
nested_oof_selected,2026,haze_density_q4,4,2.295118344624837,2.8185701627989075,0.9666666666666667,16.0,True
nested_oof_selected,2026,low_texture_q4,4,2.6117144648234047,3.521358953939902,0.9733333333333334,16.0,True
nested_oof_selected,2026,sky_highlight_proxy_q4,4,2.5728112665812173,3.2823333224734745,0.96,20.0,True
nested_oof_selected,2026,split,2,2.4010517756144205,3.261869201660156,0.9666666666666667,16.0,True
nested_oof_selected,2026,transmission_q4,4,2.295118344624837,2.8185701627989075,0.9666666666666667,16.0,True
