selector,group,bins,min_mean_dPSNR,min_hard_bottom25_dPSNR,min_positive_ratio,max_severe_loss_per_600,group_pass
nested_oof_selected,A0_PSNR_q4,4,1.86830687628852,2.002133165087019,0.94,25.333333333333336,True
nested_oof_selected,FSNet_A0_diff_abs_q4,4,2.2248323567708335,3.127590077263968,0.9688888888888889,10.666666666666666,True
nested_oof_selected,FSNet_A0_diff_signed_q4,4,2.3690277947319878,3.1352148396628245,0.9644444444444444,14.666666666666668,True
nested_oof_selected,WD0375_FS050_disagreement_q4,4,2.4357235633002388,3.119350160871233,0.9622222222222222,12.0,True
nested_oof_selected,WDMamba_A0_diff_abs_q4,4,1.9015385097927517,2.116304329463414,0.94,28.0,True
nested_oof_selected,WDMamba_A0_diff_signed_q4,4,2.1832711283365884,2.861025197165353,0.9644444444444444,13.333333333333334,True
nested_oof_selected,airlight_q4,4,2.4153145768907334,3.304335389818464,0.9666666666666667,15.384615384615383,True
nested_oof_selected,dark_channel_q4,4,2.47831608666314,3.4338584457124983,0.9755555555555555,14.666666666666668,True
nested_oof_selected,depth_q4,4,2.583040419684516,3.4394738163266863,0.9666666666666667,17.333333333333332,True
nested_oof_selected,edge_density_q4,4,2.674766943189833,3.56093738760267,0.9755555555555555,10.666666666666666,True
nested_oof_selected,haze_density_q4,4,2.306268645392524,2.8397381135395596,0.9688888888888889,14.666666666666668,True
nested_oof_selected,low_texture_q4,4,2.607420785692003,3.526108452251979,0.9733333333333334,14.666666666666668,True
nested_oof_selected,sky_highlight_proxy_q4,4,2.5770826933119033,3.2759522880826677,0.9622222222222222,18.666666666666668,True
nested_oof_selected,split,2,2.4072804980807834,3.2858558485243057,0.9677777777777777,14.0,True
nested_oof_selected,transmission_q4,4,2.306268645392524,2.8397381135395596,0.9688888888888889,14.666666666666668,True
