selector,seed,outer_fold,count,selected_config,usage_WD0375,usage_FS050,usage_A0
nested_oof_selected,3407,0,116,feature_set=residual_consensus;kind=pairwise;lambda=0.5;severe_penalty=0.5;threshold=-0.15,0.4482758620689655,0.5517241379310345,0.0
nested_oof_selected,3407,1,113,feature_set=residual_consensus;kind=utility;lambda=32.0;severe_penalty=0.5,0.5663716814159292,0.4336283185840708,0.0
nested_oof_selected,3407,2,114,feature_set=residual_consensus;kind=utility;lambda=32.0;severe_penalty=0.5,0.5526315789473685,0.4473684210526316,0.0
nested_oof_selected,3407,3,128,feature_set=residual_consensus;kind=pairwise;lambda=32.0;severe_penalty=0.5;threshold=0.1,0.53125,0.46875,0.0
nested_oof_selected,3407,4,129,feature_set=full;kind=pairwise;lambda=32.0;severe_penalty=0.5;threshold=-0.15,0.6589147286821705,0.34108527131782945,0.0
nested_oof_selected,3411,0,108,feature_set=full;kind=pairwise;lambda=32.0;severe_penalty=0.5;threshold=-0.15,0.5555555555555556,0.4444444444444444,0.0
nested_oof_selected,3411,1,113,feature_set=residual_consensus;kind=pairwise;lambda=32.0;severe_penalty=0.5;threshold=-0.15,0.4336283185840708,0.5663716814159292,0.0
nested_oof_selected,3411,2,119,feature_set=full;kind=pairwise;lambda=32.0;severe_penalty=0.5;threshold=-0.15,0.5546218487394958,0.44537815126050423,0.0
nested_oof_selected,3411,3,141,feature_set=full;kind=pairwise;lambda=32.0;severe_penalty=6.0;threshold=-0.15,0.6099290780141844,0.3900709219858156,0.0
nested_oof_selected,3411,4,119,feature_set=full;kind=pairwise;lambda=32.0;severe_penalty=0.5;threshold=-0.15,0.5294117647058824,0.47058823529411764,0.0
nested_oof_selected,2026,0,111,feature_set=residual_consensus;kind=utility;lambda=32.0;severe_penalty=2.0,0.5675675675675675,0.43243243243243246,0.0
nested_oof_selected,2026,1,128,feature_set=residual_consensus;kind=pairwise;lambda=2.0;severe_penalty=0.5;threshold=-0.15,0.46875,0.53125,0.0
nested_oof_selected,2026,2,110,feature_set=full;kind=pairwise;lambda=8.0;severe_penalty=0.5;threshold=-0.15,0.5636363636363636,0.43636363636363634,0.0
nested_oof_selected,2026,3,128,feature_set=full;kind=pairwise;lambda=32.0;severe_penalty=0.5;threshold=-0.15,0.6015625,0.3984375,0.0
nested_oof_selected,2026,4,123,feature_set=full;kind=pairwise;lambda=8.0;severe_penalty=2.0;threshold=-0.15,0.5934959349593496,0.4065040650406504,0.0
