count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,selector,seed,aggregate_gate_pass
600,2.8191954199473064,2.7348497524261477,3.556944719950358,3.447104688644409,1.8988688151041666,0.0018515544136365255,0.9833333333333333,0.9695944296370503,0.9833333333333333,7,7.0,0.023884309997529277,nested_oof_selected,3407,True
600,2.8087839539845785,2.7393248763084412,3.5663903172810874,3.4662519003550214,1.8290482838948567,0.0018575928608576457,0.9816666666666667,0.967471870331063,0.9816666666666667,8,8.0,0.026087675694560088,nested_oof_selected,3411,True
600,2.808439219792684,2.731269869963328,3.578436139424642,3.4698537521362307,1.8770035298665364,0.0018603989481925964,0.9816666666666667,0.967471870331063,0.9816666666666667,9,9.0,0.028259922540006213,nested_oof_selected,2026,True
1800,2.812139531241523,2.764953394518958,3.5672570588853625,3.5120643045637343,1.86830687628852,0.0018565154075622559,0.9822222222222222,0.9750111905776618,0.9822222222222222,24,8.0,0.01976341110482584,nested_oof_selected,overall,True
