profile,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,usage_WD0375,usage_FS050,usage_A0,group_gate_pass
sealed_train_full,split,val_hard,300,3.220711892445882,3.1362073332468667,3.685637741088867,3.543855391184489,2.728360799153646,0.0023203247785568235,0.9966666666666667,0.9813628354450568,0.9966666666666667,1,2.0,0.018637164554943353,0.6466666666666666,0.35333333333333333,0.0,True
sealed_train_full,split,val_regular,300,2.4354445266723634,2.33152291615804,3.224273579915365,3.0543773053487144,1.8650128682454428,0.0014053008953730265,0.9733333333333334,0.9482704597024538,0.9733333333333334,5,10.0,0.038415943621705605,0.32666666666666666,0.6733333333333333,0.0,True
sealed_train_full,A0_PSNR_q4,q1,150,3.548762067159017,3.447387255350749,3.807831789996173,3.659857262791814,3.3275277421281144,0.0033104956150054933,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.76,0.24,0.0,True
sealed_train_full,A0_PSNR_q4,q2,150,3.1594179026285807,3.0527023264567057,3.3851416304304793,3.214853719762854,3.052531061945735,0.001773527463277181,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.6266666666666667,0.37333333333333335,0.0,True
sealed_train_full,A0_PSNR_q4,q3,150,2.6507711537679035,2.5014536069234214,2.775368664715741,2.4807050241006388,2.553062335864918,0.0016232808430989584,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.44,0.56,0.0,True
sealed_train_full,A0_PSNR_q4,q4,150,1.9533617146809896,1.8095151990254719,2.18088469634185,1.8834961298349742,1.7142971141918286,0.000743947426478068,0.9466666666666667,0.8982949952532904,0.9466666666666667,5,20.0,0.0756528425070956,0.12,0.88,0.0,True
sealed_train_full,WDMamba_A0_diff_abs_q4,q1,150,1.977433547973633,1.824149082183838,2.232365994840055,1.9497007215345228,1.7142971141918286,0.0008045017719268798,0.9533333333333334,0.9068124260764262,0.9533333333333334,5,20.0,0.0756528425070956,0.09333333333333334,0.9066666666666666,0.0,True
sealed_train_full,WDMamba_A0_diff_abs_q4,q2,150,2.55928591410319,2.427014424641927,2.7388563413877747,2.5490188340882995,2.197555129592483,0.0016253626346588136,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871,0.4066666666666667,0.5933333333333334,0.0,True
sealed_train_full,WDMamba_A0_diff_abs_q4,q3,150,3.0356668853759765,2.9339429155985512,2.925530717179582,2.7395646739650417,2.849678451950486,0.0018431933720906575,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.6533333333333333,0.3466666666666667,0.0,True
sealed_train_full,WDMamba_A0_diff_abs_q4,q4,150,3.7399264907836915,3.652559684753418,3.807831789996173,3.6822823266725284,3.6969968434926628,0.0031781935691833495,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.7933333333333333,0.20666666666666667,0.0,True
sealed_train_full,WDMamba_A0_diff_signed_q4,q1,150,3.608341064453125,3.502770682017008,3.7010533100849874,3.549765378075677,3.3700966706147066,0.0028700006008148195,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.68,0.32,0.0,True
sealed_train_full,WDMamba_A0_diff_signed_q4,q2,150,2.58292973836263,2.433128833770752,2.993956488531989,2.8207265802331873,2.0011616268673458,0.001764171520868937,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,0.35333333333333333,0.6466666666666666,0.0,True
sealed_train_full,WDMamba_A0_diff_signed_q4,q3,150,2.2300696563720703,2.0998742567698163,2.830082145897118,2.588960974925273,1.8567081142116237,0.0012619459629058837,0.9666666666666667,0.9243471574929044,0.9666666666666667,3,12.0,0.05714766586424166,0.22,0.78,0.0,True
sealed_train_full,WDMamba_A0_diff_signed_q4,q4,150,2.8909723790486654,2.754920148849487,3.514329600978542,3.3193961246593577,2.057157568029455,0.0015551332632700603,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.6933333333333334,0.30666666666666664,0.0,True
sealed_train_full,FSNet_A0_diff_abs_q4,q1,150,2.2769083913167316,2.143046985626221,3.146126308956662,2.8619168951704697,1.83005936081345,0.0007671566804250082,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,0.31333333333333335,0.6866666666666666,0.0,True
sealed_train_full,FSNet_A0_diff_abs_q4,q2,150,2.692346789042155,2.5372395064036053,3.4931014292948954,3.3420982747464567,1.936724585455817,0.0015842099984486899,0.9666666666666667,0.9243471574929044,0.9666666666666667,3,12.0,0.05714766586424166,0.5666666666666667,0.43333333333333335,0.0,True
sealed_train_full,FSNet_A0_diff_abs_q4,q3,150,3.098916244506836,2.974193425496419,3.5729458783123946,3.3775374077461864,2.748738469304265,0.0021617289384206137,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.5733333333333334,0.4266666666666667,0.0,True
sealed_train_full,FSNet_A0_diff_abs_q4,q4,150,3.2441414133707682,3.0940478687286377,3.758422129863017,3.612470969638309,2.6307373046875,0.002938155730565389,0.9866666666666667,0.9526921436197237,0.9866666666666667,2,8.0,0.047307856380276334,0.49333333333333335,0.5066666666666667,0.0,True
sealed_train_full,FSNet_A0_diff_signed_q4,q1,150,3.363044637044271,3.218917569478353,3.905965031804265,3.738011762258169,2.892526575036951,0.0028942012786865234,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.5733333333333334,0.4266666666666667,0.0,True
sealed_train_full,FSNet_A0_diff_signed_q4,q2,150,3.0453204981486004,2.938547026952108,3.4942797583502694,3.3621477307500065,2.6580521867081925,0.0020061620076497395,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.58,0.42,0.0,True
sealed_train_full,FSNet_A0_diff_signed_q4,q3,150,2.4087081400553387,2.287476547876994,3.1080298552641996,2.8987541147180504,2.032586484342008,0.0012778759002685547,0.98,0.9428523341357584,0.98,2,8.0,0.047307856380276334,0.3933333333333333,0.6066666666666667,0.0,True
sealed_train_full,FSNet_A0_diff_signed_q4,q4,150,2.495239562988281,2.34228919283549,3.4339005753800675,3.2217320107124947,1.6604461669921875,0.0012730121612548827,0.9666666666666667,0.9243471574929044,0.9666666666666667,3,12.0,0.05714766586424166,0.4,0.6,0.0,True
sealed_train_full,WD0375_FS050_disagreement_q4,q1,150,2.473051427205404,2.3619337558746336,3.075197374498522,2.8172001890234046,1.9740597492939718,0.0016845389207204183,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.09333333333333334,0.9066666666666666,0.0,True
sealed_train_full,WD0375_FS050_disagreement_q4,q2,150,2.5234995905558266,2.363722018559774,3.444407334198823,3.26500673809567,1.6364594536858637,0.0017396072546641032,0.96,0.9154854608728422,0.96,3,12.0,0.05714766586424166,0.3466666666666667,0.6533333333333333,0.0,True
sealed_train_full,WD0375_FS050_disagreement_q4,q3,150,2.9975348917643228,2.853779193878174,3.777533144564242,3.5680811675819193,2.2217843339249894,0.0019105052947998046,0.9866666666666667,0.9526921436197237,0.9866666666666667,2,8.0,0.047307856380276334,0.64,0.36,0.0,True
sealed_train_full,WD0375_FS050_disagreement_q4,q4,150,3.3182269287109376,3.161162617365519,3.679994170730178,3.5539074794666186,2.6807263348553634,0.0021165998776753745,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.8666666666666667,0.13333333333333333,0.0,True
sealed_train_full,haze_density_q4,q1,150,2.356552925109863,2.215624766667684,2.830641102146458,2.6115793692099083,1.8077746210871517,0.0013476928075154622,0.98,0.9428523341357584,0.98,2,8.0,0.047307856380276334,0.14,0.86,0.0,True
sealed_train_full,haze_density_q4,q2,150,2.672069829305013,2.508195868174235,3.533932556977143,3.2930061005257274,1.768793466928843,0.0015211141109466554,0.9733333333333334,0.9334450938998244,0.9733333333333334,3,12.0,0.05714766586424166,0.4266666666666667,0.5733333333333334,0.0,True
sealed_train_full,haze_density_q4,q3,150,3.039807497660319,2.8899597549438476,3.7088963792130754,3.5378042221069337,2.1211953034272066,0.0020671037832895914,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,0.6533333333333333,0.3466666666666667,0.0,True
sealed_train_full,haze_density_q4,q4,150,3.2438825861612957,3.121674224217733,3.619505753388276,3.4845300287813754,2.6975808014740816,0.0025153406461079914,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.7266666666666667,0.2733333333333333,0.0,True
sealed_train_full,transmission_q4,q1,150,3.2438825861612957,3.121674224217733,3.619505753388276,3.4845300287813754,2.6975808014740816,0.0025153406461079914,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.7266666666666667,0.2733333333333333,0.0,True
sealed_train_full,transmission_q4,q2,150,3.039807497660319,2.8899597549438476,3.7088963792130754,3.5378042221069337,2.1211953034272066,0.0020671037832895914,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,0.6533333333333333,0.3466666666666667,0.0,True
sealed_train_full,transmission_q4,q3,150,2.672069829305013,2.508195868174235,3.533932556977143,3.2930061005257274,1.768793466928843,0.0015211141109466554,0.9733333333333334,0.9334450938998244,0.9733333333333334,3,12.0,0.05714766586424166,0.4266666666666667,0.5733333333333334,0.0,True
sealed_train_full,transmission_q4,q4,150,2.356552925109863,2.215624766667684,2.830641102146458,2.6115793692099083,1.8077746210871517,0.0013476928075154622,0.98,0.9428523341357584,0.98,2,8.0,0.047307856380276334,0.14,0.86,0.0,True
sealed_train_full,airlight_q4,q1,150,3.1518766657511392,2.980107115427653,3.79862084259858,3.613642084276354,2.189080521867082,0.0014729654788970946,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871,0.6066666666666667,0.3933333333333333,0.0,True
sealed_train_full,airlight_q4,q2,157,3.0110687085777332,2.8677062350473586,3.636239516429412,3.4865127098866,2.321559123503856,0.0022375321691962564,0.9936305732484076,0.9648062552548127,0.9936305732484076,1,3.821656050955414,0.035193744745187334,0.6687898089171974,0.33121019108280253,0.0,True
sealed_train_full,airlight_q4,q3,143,2.6942681666020745,2.5314538182078543,3.4308782849993023,3.211812389918736,1.9729210989815849,0.0020165147481264766,0.9790209790209791,0.9401380081785268,0.9790209790209791,3,12.587412587412588,0.05986199182147335,0.44755244755244755,0.5524475524475524,0.0,True
sealed_train_full,airlight_q4,q4,150,2.4403152720133465,2.294054458618164,3.280944927318676,3.076824590322134,1.9096190993850295,0.0017139248053232828,0.9733333333333334,0.9334450938998244,0.9733333333333334,2,8.0,0.047307856380276334,0.21333333333333335,0.7866666666666666,0.0,True
sealed_train_full,depth_q4,q1,150,2.881880900065104,2.7264367020924887,3.5778699307828337,3.3768294231311695,1.8956012210330448,0.002096631129582723,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,0.52,0.48,0.0,True
sealed_train_full,depth_q4,q2,150,2.8632877477010092,2.7365156529744468,3.521060376553922,3.3506153596414103,1.9911479434451542,0.0016848230361938476,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,0.5,0.5,0.0,True
sealed_train_full,depth_q4,q3,150,2.9739058303833006,2.843301970799764,3.6760850339322477,3.4301199964574867,2.261045198182802,0.001893841028213501,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.5333333333333333,0.4666666666666667,0.0,True
sealed_train_full,depth_q4,q4,150,2.593238360087077,2.424652121225993,3.4443530005377694,3.1783413912798903,1.9185846689585093,0.0017759561538696288,0.9733333333333334,0.9334450938998244,0.9733333333333334,3,12.0,0.05714766586424166,0.3933333333333333,0.6066666666666667,0.0,True
sealed_train_full,dark_channel_q4,q1,150,2.549896151224772,2.393379954655965,3.3846103049613334,3.161236610928097,1.7843406264846389,0.0013592803478240966,0.9866666666666667,0.9526921436197237,0.9866666666666667,2,8.0,0.047307856380276334,0.31333333333333335,0.6866666666666666,0.0,True
sealed_train_full,dark_channel_q4,q2,150,2.7362081019083657,2.5773112494150796,3.500847532942488,3.2770102758665343,1.998599490603885,0.0015217649936676025,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674,0.4266666666666667,0.5733333333333334,0.0,True
sealed_train_full,dark_channel_q4,q3,150,3.0449639638264974,2.8748760681152348,3.7818053993018896,3.664809930646742,2.117511749267578,0.0019701786835988363,0.9733333333333334,0.9334450938998244,0.9733333333333334,3,12.0,0.05714766586424166,0.5333333333333333,0.4666666666666667,0.0,True
sealed_train_full,dark_channel_q4,q4,150,2.9812446212768555,2.8580065835316972,3.667267206552866,3.493369592202676,2.346122947899071,0.002600027322769165,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.6733333333333333,0.32666666666666666,0.0,True
sealed_train_full,low_texture_q4,q1,150,2.6183538182576496,2.4605563055674233,3.4814844389219544,3.286790288461221,1.770002725962046,0.002104809284210205,0.98,0.9428523341357584,0.98,3,12.0,0.05714766586424166,0.37333333333333335,0.6266666666666667,0.0,True
sealed_train_full,low_texture_q4,q2,150,2.921465670267741,2.7709148076375327,3.607924951089395,3.458098677042368,2.0167318808065877,0.0017928957939147949,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871,0.5533333333333333,0.44666666666666666,0.0,True
sealed_train_full,low_texture_q4,q3,150,2.8947927729288736,2.7237612838745116,3.594700323568808,3.3782139829687168,2.227476996344489,0.0018510544300079346,0.98,0.9428523341357584,0.98,2,8.0,0.047307856380276334,0.49333333333333335,0.5066666666666667,0.0,True
sealed_train_full,low_texture_q4,q4,150,2.8777005767822263,2.727589462280273,3.688658533869563,3.493096807840708,2.090335227347709,0.001702491839726766,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.5266666666666666,0.47333333333333333,0.0,True
sealed_train_full,edge_density_q4,q1,150,2.7294983800252277,2.57599807993571,3.560500428483293,3.32282085676451,1.8722907401419975,0.0025571433703104655,0.9733333333333334,0.9334450938998244,0.9733333333333334,3,12.0,0.05714766586424166,0.4066666666666667,0.5933333333333334,0.0,True
sealed_train_full,edge_density_q4,q2,150,2.752749849955241,2.595804012298584,3.5568180084228516,3.3967875583751783,1.7139035817739126,0.001937784751256307,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,0.44,0.56,0.0,True
sealed_train_full,edge_density_q4,q3,150,2.904019686381022,2.754151071548462,3.7031687659186288,3.5351296450640706,2.128387554271801,0.001430889368057251,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.5066666666666667,0.49333333333333335,0.0,True
sealed_train_full,edge_density_q4,q4,150,2.926044921875,2.7783940092722577,3.5728830904574007,3.399665984591922,1.9958014617095123,0.001525433858235677,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,0.5933333333333334,0.4066666666666667,0.0,True
sealed_train_full,sky_highlight_proxy_q4,q1,150,2.795088208516439,2.622424570719401,3.778886176444389,3.58024128063305,1.900686418687975,0.0013517391681671142,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,0.41333333333333333,0.5866666666666667,0.0,True
sealed_train_full,sky_highlight_proxy_q4,q2,150,2.626417808532715,2.4662430782318117,3.300766661360457,3.0460187061412913,1.8569645237278294,0.0015873257319132486,0.9666666666666667,0.9243471574929044,0.9666666666666667,4,16.0,0.06655490610017561,0.32666666666666666,0.6733333333333333,0.0,True
sealed_train_full,sky_highlight_proxy_q4,q3,150,2.76658332824707,2.628220785140991,3.5691709776182434,3.421622925835687,2.015280027647276,0.002253504196802775,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871,0.52,0.48,0.0,True
sealed_train_full,sky_highlight_proxy_q4,q4,150,3.124223492940267,2.9872140007019046,3.5917555834795976,3.3633251190185547,2.419612369021854,0.0022586822509765626,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,0.6866666666666666,0.31333333333333335,0.0,True
