ablation,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,mean_drop_vs_full,hard_drop_vs_full,easy_drop_vs_full
full,1800,2.812139531241523,2.764953394518958,3.5672570588853625,3.5120643045637343,1.86830687628852,0.0018565154075622559,0.9822222222222222,0.9750111905776618,0.9822222222222222,24,8.0,0.01976341110482584,,,
replace_WD0375,1800,2.0372517172495526,1.9900308300124276,2.195684700012207,2.0871348605685762,1.8643054962158203,0.0017263187964757284,0.955,0.9444152891431862,0.955,54,18.0,0.03893665853386435,0.7748878139919704,1.3715723588731557,0.0040013800726996784
replace_FS050,1800,2.512202049891154,2.4718935522503322,3.5056149673461916,3.4492114100986058,1.1894835408528646,0.0016733370224634807,0.9733333333333334,0.9648224128177129,0.9733333333333334,33,11.0,0.02563451817167785,0.2999374813503688,0.061642091539170885,0.6788233354356554
replace_A0,1800,2.812139531241523,2.764953394518958,3.5672570588853625,3.5120643045637343,1.86830687628852,0.0018565154075622559,0.9822222222222222,0.9750111905776618,0.9822222222222222,24,8.0,0.01976341110482584,0.0,0.0,0.0
