category,action,count,rate,category_count,mean_action_gain_when_selected
all,WD0375,345,0.575,600,3.127749042234559
all,FS050,254,0.42333333333333334,600,2.786632282527413
all,A0,1,0.0016666666666666668,600,0.0
val_regular,WD0375,131,0.43666666666666665,300,2.7653212510902465
val_regular,FS050,168,0.56,300,2.531396116529192
val_regular,A0,1,0.0033333333333333335,300,0.0
val_hard,WD0375,214,0.7133333333333334,300,3.349609045224769
val_hard,FS050,86,0.2866666666666667,300,3.2852331649425417
val_hard,A0,0,0.0,300,
a0_hard_bottom25,WD0375,118,0.7866666666666666,150,3.589004888372906
a0_hard_bottom25,FS050,32,0.21333333333333335,150,3.824167251586914
a0_hard_bottom25,A0,0,0.0,150,
wd0375_negative,WD0375,0,0.0,16,
wd0375_negative,FS050,15,0.9375,16,1.936004892985026
wd0375_negative,A0,1,0.0625,16,0.0
wd0375_severe,WD0375,0,0.0,11,
wd0375_severe,FS050,10,0.9090909090909091,11,1.992938232421875
wd0375_severe,A0,1,0.09090909090909091,11,0.0
wd0375_low_positive,WD0375,0,0.0,4,
wd0375_low_positive,FS050,4,1.0,4,2.3098878860473633
wd0375_low_positive,A0,0,0.0,4,
wd_fs_disagreement_q4,WD0375,125,0.8333333333333334,150,3.4398795471191406
wd_fs_disagreement_q4,FS050,25,0.16666666666666666,150,3.397316131591797
wd_fs_disagreement_q4,A0,0,0.0,150,
