stage,scope,mode,seed,fold,run_id,common_count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,worst10_mean_psnr_delta,best10_mean_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,t_l1_mean,spearman_tpred_tgt_mean,spearman_depth_neglogt_mean,stage2_gate_mean_mean,stage3_gate_mean_mean,confidence_mean_mean
oof20,adapter_only,invert,3407,0,oof20_adapter_only_invert_seed3407_f0,600,0.1068943977355957,0.09443283081054688,-0.4483211517333984,0.8098583221435546,0.09915964762369792,0.0910808817545573,-0.5312679290771485,0.8299184799194336,-0.9595924377441406,1.2123394012451172,-0.5312679290771485,0.8299184799194336,-7.501343886057536e-06,0.6433333333333333,42.755948066711426,150,56,102,0.07798391350544989,0.9216847275434381,0.8981349600981571,0.01300160663202405,0.050006773093094425,0.9675909148653349
oof20,adapter_only,invert,3407,1,oof20_adapter_only_invert_seed3407_f1,600,0.06917681694030761,0.07512283325195312,-0.46500511169433595,0.6099855422973632,0.08314192454020182,0.03264045715332031,-0.5221103668212891,0.6453799565633138,-0.8707695007324219,0.899600601196289,-0.5221103668212891,0.6453799565633138,-2.2788445154825846e-05,0.6033333333333334,42.834919929504395,150,62,110,0.07593224375198285,0.9287460622463116,0.9044451581257879,0.013875029881795247,0.05055513353397449,0.9677247477571169
oof20,adapter_only,invert,3407,2,oof20_adapter_only_invert_seed3407_f2,600,0.0918809954325358,0.07901573181152344,-0.41057281494140624,0.6478017807006835,0.034875157674153646,0.09795318603515625,-0.47840127944946287,0.6806600570678711,-0.8272514343261719,0.9352989196777344,-0.47840127944946287,0.6806600570678711,-4.0793120861053466e-05,0.6316666666666667,42.41839599609375,150,52,96,0.07704952206773062,0.9290037312170774,0.9044658710147716,0.017288464362112184,0.04917171357820432,0.9674188711245855
oof20,adapter_only,invert,3407,3,oof20_adapter_only_invert_seed3407_f3,600,0.06668588320414225,0.056255340576171875,-0.4293676376342773,0.5644130706787109,0.031398048400878904,0.050563507080078125,-0.4400145212809245,0.6151024500528971,-0.6481224060058594,0.8389774322509765,-0.4400145212809245,0.6151024500528971,-2.9727319876352946e-05,0.6116666666666667,42.88805866241455,150,55,87,0.07656102471674482,0.9230962991894841,0.9025204951265533,0.014123518106838068,0.05088054652015368,0.9674957032998402
oof20,adapter_only,invert,3407,4,oof20_adapter_only_invert_seed3407_f4,600,0.10651099840799967,0.08743095397949219,-0.3949443817138672,0.6728754043579098,0.09010028839111328,0.08774080912272135,-0.43584858576456703,0.7146841367085774,-0.7114082336425781,0.9770072937011719,-0.43584858576456703,0.7146841367085774,-2.5579929351806642e-05,0.6266666666666667,42.82054328918457,150,51,84,0.07968101441239317,0.9262899438552359,0.9058384844089352,0.008413963143248111,0.05100150045628349,0.9673641234636307
oof20,adapter_only,invert,3411,0,oof20_adapter_only_invert_seed3411_f0,600,0.09303111394246419,0.07421302795410156,-0.41763973236083984,0.7053802490234369,0.07104657491048177,0.09364051818847656,-0.4710143407185872,0.719772466023763,-0.7715930938720703,0.9761371612548828,-0.4710143407185872,0.719772466023763,-1.3395448525746664e-05,0.6183333333333333,42.755948066711426,150,53,84,0.07755721099364261,0.9226480978055964,0.8981349600981571,0.014584749689480911,0.04798982574914892,0.9675909148653349
oof20,adapter_only,invert,3411,1,oof20_adapter_only_invert_seed3411_f1,600,0.07328885714213053,0.05069160461425781,-0.43332920074462894,0.6222490310668939,0.0679855473836263,0.043723831176757814,-0.49421513875325523,0.6471820831298828,-0.7931938171386719,0.83900146484375,-0.49421513875325523,0.6471820831298828,-3.876884778340657e-05,0.5816666666666667,42.834919929504395,150,60,109,0.07550751816170911,0.9292445069003544,0.9044451581257879,0.0174740443052724,0.04819943126291037,0.9677247477571169
oof20,adapter_only,invert,3411,2,oof20_adapter_only_invert_seed3411_f2,600,0.08593876202901204,0.050994873046875,-0.3684337615966797,0.6315626144409172,0.017386436462402344,0.10642000834147135,-0.45592899322509767,0.6884691874186198,-0.8527267456054688,1.001535415649414,-0.45592899322509767,0.6884691874186198,-3.015597661336263e-05,0.6066666666666667,42.41839599609375,150,51,76,0.07648664384149015,0.929811861181433,0.9044658710147716,0.016292240060865878,0.04351877737169464,0.9674188711245855
oof20,adapter_only,invert,3411,3,oof20_adapter_only_invert_seed3411_f3,600,0.08465366363525391,0.08459091186523438,-0.5312772750854492,0.7009407043457023,0.052634175618489584,0.03780695597330729,-0.5733206748962403,0.7328549067179362,-0.9152854919433594,0.9815231323242187,-0.5733206748962403,0.7328549067179362,-1.9874274730682373e-05,0.6133333333333333,42.88805866241455,150,62,110,0.07622721177525818,0.9229874981573977,0.9025204951265533,0.018768395634833724,0.047286743534108,0.9674957032998402
oof20,adapter_only,invert,3411,4,oof20_adapter_only_invert_seed3411_f4,600,0.08326590538024903,0.04956626892089844,-0.45317897796630857,0.6930448532104492,0.012779630025227865,0.10869379679361979,-0.5017345110575359,0.7553788503011067,-0.8028972625732422,1.1066986083984376,-0.5017345110575359,0.7553788503011067,-2.96895702679952e-05,0.5616666666666666,42.82054328918457,150,55,92,0.0794635820761323,0.9265813438337375,0.9058384844089352,0.015849651622120292,0.04682826892783244,0.9673641234636307
