stage,scope,mode,seed,seeds,folds,fold_count,seed_count,common_count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,t_l1_mean,spearman_tpred_tgt_mean,spearman_depth_neglogt_mean,stage2_gate_mean_mean,stage3_gate_mean_mean,confidence_mean_mean,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_two_sided
oof20,adapter_only,invert,3407,3407,"0,1,2,3,4",5,1,3000,0.08822981834411621,0.07831954956054688,-0.4434202194213867,0.654361915588379,0.07004621124267578,0.07163577779134114,-0.4832662073771159,0.6992668215433756,-1.0882835388183594,1.2273197174072266,-2.527803182601929e-05,0.6233333333333333,42.76437759399414,750,275,479,0.07744154369086027,0.9257641528103094,0.903080993754841,0.013340516425203532,0.05032313343634208,0.9675188721021016,0.07666321040789287,0.0996316776752472,0.0
oof20,adapter_only,invert,3411,3411,"0,1,2,3,4",5,1,3000,0.08403566042582195,0.05953025817871094,-0.4505941390991211,0.6713363647460937,0.04790767669677734,0.07786451721191406,-0.5007603645324707,0.709913075764974,-1.0376205444335938,1.2381816864013673,-2.637682358423869e-05,0.5963333333333334,42.76437759399414,750,279,471,0.07704843336964647,0.9262546615757038,0.903080993754841,0.01659381626251464,0.04676460936913888,0.9675188721021016,0.07232122178077698,0.09588570439020792,0.0
oof20,adapter_only,invert,3413,3413,"0,1,2,3,4",5,1,3000,0.09392914454142252,0.08888435363769531,-0.42229766845703126,0.6095914840698243,0.08162294006347656,0.07118804931640625,-0.4603150113423665,0.6539517784118652,-1.018711471557617,1.1744937896728516,-7.334033648173015e-06,0.6413333333333333,42.76437759399414,750,270,407,0.0770487831942737,0.9272996341154099,0.903080993754841,0.015203233699159076,0.05247423052911957,0.9675188721021016,0.08301502086321513,0.10500595415433248,0.0
oof20,adapter_only,normal,3407,3407,"0,1,2,3,4",5,1,3000,0.08793409856160482,0.08215141296386719,-0.4232721328735352,0.6239892959594727,0.07631655883789062,0.06967249043782552,-0.4652431551615397,0.6695799573262533,-1.0577581405639649,1.1654323577880858,-2.4040857950846353e-05,0.627,42.76437759399414,750,271,463,0.08829501577963432,0.9242405188640324,-0.9030792614443782,0.00874923601122767,0.0522784572939078,0.9690138644576073,0.07683935839335124,0.0996073668162028,0.0
oof20,adapter_only,normal,3411,3411,"0,1,2,3,4",5,1,3000,0.08399599647521973,0.06426811218261719,-0.4278522491455078,0.6554607391357421,0.0502699457804362,0.07568301391601563,-0.48394564310709637,0.6869605255126953,-1.0343513488769531,1.1907238006591796,-2.4344126383463542e-05,0.603,42.76437759399414,750,276,453,0.08798898247629404,0.9251048150760058,-0.9030792614443782,0.008719243281365682,0.04827459459751844,0.9690138644576073,0.072444384765625,0.09546669840812681,0.0
oof20,adapter_only,normal,3413,3413,"0,1,2,3,4",5,1,3000,0.0945353126525879,0.09094810485839844,-0.4013370513916016,0.5844717025756838,0.08505048116048176,0.07042672729492187,-0.43798627217610675,0.6337879880269368,-0.988802719116211,1.136123275756836,-6.314794222513834e-06,0.6456666666666667,42.76437759399414,750,269,384,0.08875566120011111,0.9250737974206497,-0.9030792614443782,0.01327709287746499,0.05585850705330571,0.9690138644576073,0.08392209736506144,0.10530831235249836,0.0
oof20,adapter_only,shuffle,3407,3407,"0,1,2,3,4",5,1,3000,0.07648635228474934,0.06773948669433594,-0.38219280242919923,0.5681856155395508,0.06328914388020833,0.06485188293457031,-0.43245174407958986,0.6106758181254069,-0.9746631622314453,1.1019359588623048,-1.0557830333709717e-05,0.621,42.76437759399414,750,270,425,0.0838601123255988,0.9251287740440796,-0.45257536391110476,0.013611844970379025,0.05351422121748328,0.9673068564335505,0.06645095802942912,0.08653363259633381,0.0
oof20,adapter_only,shuffle,3411,3411,"0,1,2,3,4",5,1,3000,0.07259116299947103,0.051910400390625,-0.39057178497314454,0.589610767364502,0.039603848775227865,0.07072175598144531,-0.4408124351501465,0.6230419222513834,-0.94874267578125,1.0963829040527344,-1.1883139610290528e-05,0.598,42.76437759399414,750,265,422,0.083512007413432,0.9258315655578763,-0.45257536391110476,0.013158171225649615,0.05034769055619836,0.9673068564335505,0.06265081311861674,0.0829972883383433,0.0
oof20,adapter_only,shuffle,3413,3413,"0,1,2,3,4",5,1,3000,0.08333552932739258,0.07725715637207031,-0.3686540603637695,0.5457815170288088,0.07189871724446614,0.06502531433105468,-0.4023369852701823,0.5840490531921386,-0.9233821868896485,1.0434513092041016,6.228049596150716e-06,0.6363333333333333,42.76437759399414,750,256,347,0.08407666023820638,0.9259359677791874,-0.45257536391110476,0.015544012428261339,0.055857188690453766,0.9673068564335505,0.07373625036875407,0.0929046310742696,0.0
oof20,adapter_only,zero,3407,3407,"0,1,2,3,4",5,1,3000,0.07282976913452148,0.06427764892578125,-0.37888545989990235,0.5568399429321292,0.059540181477864586,0.06300985209147135,-0.42347890853881837,0.5952509752909343,-0.9517135620117188,1.093087387084961,-9.678542613983154e-06,0.6166666666666667,42.76437759399414,750,261,421,0.07892400669306517,0.9261356206868085,nan,0.015537752353586256,0.05485236769417922,1.0,0.06284553893407185,0.08299383398691813,0.0
