name,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,m_safe_mean,pred_delta_abs_mean,low_delta_abs_mean,color_delta_abs_mean,delta_star_abs_mean
1000_0.74_1.6.png,36.89458465576172,37.0247688293457,38.91822052001953,0.13018417358398438,2.0236358642578125,-0.28679659962654114,0.2134159654378891,0.002162171760573983,0.0011364184319972992,0.0011074402136728168,0.011697301641106606
1001_0.89_1.66.png,35.02743911743164,35.174461364746094,36.53671646118164,0.14702224731445312,1.50927734375,0.332437664270401,0.15698379278182983,0.002307428978383541,0.0008056960068643093,0.0016219265526160598,0.013728269375860691
1002_0.73_1.47.png,33.70071029663086,33.72216033935547,34.37172317504883,0.021450042724609375,0.6710128784179688,0.3716069459915161,0.08550451695919037,0.0016638272209092975,0.0005684294155798852,0.0013313543749973178,0.01485405396670103
1003_0.9_1.06.png,38.71543502807617,38.75904083251953,39.25113296508789,0.043605804443359375,0.5356979370117188,0.20322111248970032,0.05866250395774841,0.0015366838779300451,0.0004911160212941468,0.0013315171236172318,0.009292403236031532
1004_0.91_1.17.png,37.05818557739258,37.10807800292969,37.75715255737305,0.049892425537109375,0.6989669799804688,0.04677409306168556,0.07627230137586594,0.0016858514863997698,0.000535609433427453,0.001400808454491198,0.011332755908370018
1005_0.74_1.81.png,38.33662796020508,38.37883377075195,39.40576171875,0.042205810546875,1.0691337585449219,0.33798548579216003,0.11804071068763733,0.0018082191236317158,0.0017442386597394943,0.0008534411317668855,0.009153404273092747
1006_0.89_1.55.png,37.09894561767578,37.15966033935547,38.87588119506836,0.0607147216796875,1.7769355773925781,0.3607724606990814,0.1934923231601715,0.0026393523439764977,0.0026659220457077026,0.0007219251710921526,0.010038366541266441
1007_0.68_1.25.png,38.79450607299805,38.8066520690918,38.97782516479492,0.01214599609375,0.183319091796875,0.37255585193634033,0.02106962539255619,0.0012263166718184948,0.0007910731947049499,0.00115584849845618,0.008664296939969063
1008_0.52_1.98.png,39.02428436279297,39.030033111572266,39.135135650634766,0.005748748779296875,0.11085128784179688,0.2619982957839966,0.01296052522957325,0.0013545133406296372,0.0006745692808181047,0.0012661642394959927,0.008118510246276855
1009_0.84_0.56.png,44.44461441040039,44.44464874267578,44.445037841796875,3.4332275390625e-05,0.000423431396484375,-0.06893855333328247,4.93106635985896e-05,0.0018565646605566144,0.0008187614730559289,0.0022833736147731543,0.004792235791683197
100_0.65_1.43.png,36.16236114501953,36.148284912109375,37.169612884521484,-0.01407623291015625,1.0072517395019531,-0.29541394114494324,0.11936704814434052,0.0014560077106580138,0.0007218802347779274,0.0009104445343837142,0.011198590509593487
1010_0.91_1.13.png,39.185401916503906,39.188682556152344,39.30030059814453,0.0032806396484375,0.114898681640625,0.1023811623454094,0.01370201725512743,0.0020121061243116856,0.0020324131473898888,0.001949418568983674,0.008225317113101482
1011_0.79_0.66.png,43.748023986816406,43.74812698364258,43.74885940551758,0.000102996826171875,0.000835418701171875,0.11542326956987381,9.821240382734686e-05,0.0018422441789880395,0.0009134130668826401,0.0022559380158782005,0.005347317550331354
1012_0.85_1.28.png,38.438724517822266,38.448280334472656,38.620689392089844,0.009555816650390625,0.18196487426757812,0.21044190227985382,0.02146560698747635,0.002016619546338916,0.002160499105229974,0.00191619829274714,0.009153565391898155
1013_0.63_1.83.png,39.83412170410156,39.87175369262695,40.86585235595703,0.037631988525390625,1.0317306518554688,0.20468257367610931,0.11482831835746765,0.0019185262499377131,0.0016274000518023968,0.0007719578570686281,0.00762800220400095
1014_0.74_1.61.png,40.047698974609375,40.04588317871094,41.03218078613281,-0.0018157958984375,0.9844818115234375,0.11931706964969635,0.11008141934871674,0.0018847614992409945,0.0016122210072353482,0.0007769514340907335,0.007090642582625151
1015_0.7_1.92.png,39.555458068847656,39.59858703613281,41.122528076171875,0.04312896728515625,1.5670700073242188,0.2168259471654892,0.16993017494678497,0.0024539611767977476,0.002173047047108412,0.0007542560924775898,0.007901478558778763
1016_0.8_1.72.png,39.64141082763672,39.64424133300781,41.15845489501953,0.00283050537109375,1.5170440673828125,0.10147584229707718,0.16453078389167786,0.0024032872170209885,0.0021310695447027683,0.0007569215376861393,0.007572134491056204
1017_0.91_1.44.png,33.59113311767578,33.59294128417969,34.233612060546875,0.00180816650390625,0.6424789428710938,0.2964428663253784,0.09871816635131836,0.0017278409795835614,0.0006692282040603459,0.0011882196413353086,0.011659124866127968
1018_0.88_0.54.png,38.61735534667969,38.61726760864258,38.65605163574219,-8.7738037109375e-05,0.0386962890625,0.008915001526474953,0.004500661976635456,0.0010365828638896346,0.0004355846322141588,0.0009060544543899596,0.007278871722519398
1019_0.82_1.87.png,32.75981140136719,32.776092529296875,33.54526901245117,0.0162811279296875,0.7854576110839844,0.1841667741537094,0.11797859519720078,0.0018144858768209815,0.0008018828229978681,0.0012130019022151828,0.014278657734394073
101_0.78_1.87.png,31.293811798095703,31.490631103515625,33.976871490478516,0.19681930541992188,2.6830596923828125,0.47618648409843445,0.3091174364089966,0.003987282048910856,0.0025812569074332714,0.0014910080935806036,0.019957616925239563
1020_0.5_0.98.png,41.363670349121094,41.36610412597656,41.400108337402344,0.00243377685546875,0.03643798828125,0.44823601841926575,0.004220263101160526,0.001085757976397872,0.0006827216129750013,0.0007975506014190614,0.006907238159328699
1021_0.73_0.84.png,38.96540451049805,38.96416091918945,39.077823638916016,-0.00124359130859375,0.11241912841796875,0.07418397814035416,0.014000875875353813,0.0010838396847248077,0.0005486324080266058,0.0011773656588047743,0.006377031560987234
1022_0.66_1.05.png,40.1223030090332,40.1222038269043,40.29732131958008,-9.918212890625e-05,0.175018310546875,0.0790710523724556,0.02091854251921177,0.0011195559054613113,0.0005724430084228516,0.0011865707347169518,0.0063123637810349464
1023_0.5_1.87.png,37.44718933105469,37.466064453125,37.95851135253906,0.0188751220703125,0.511322021484375,0.492489218711853,0.0583980455994606,0.0012336104409769177,0.0006440070574171841,0.001171955605968833,0.009730332531034946
1024_0.69_1.66.png,35.45882034301758,35.46405792236328,36.061912536621094,0.005237579345703125,0.6030921936035156,0.12413763999938965,0.08301740139722824,0.0015990445390343666,0.0006728725275024772,0.001399279455654323,0.010274035856127739
1025_0.95_1.79.png,34.556087493896484,34.63966751098633,36.9979248046875,0.08358001708984375,2.4418373107910156,0.5228719115257263,0.28326040506362915,0.003226292785257101,0.0017304825596511364,0.0015453518135473132,0.013589463196694851
1026_0.77_0.89.png,35.73930740356445,35.74114990234375,36.21302795410156,0.001842498779296875,0.4737205505371094,0.5769753456115723,0.054025571793317795,0.0009696034830994904,0.0003275337803643197,0.0007890019915066659,0.013495231047272682
1027_0.57_1.77.png,33.44512176513672,33.472373962402344,34.53070831298828,0.027252197265625,1.0855865478515625,0.6159838438034058,0.1344485878944397,0.0014506177976727486,0.0006641494110226631,0.0009712050668895245,0.015174875035881996
1028_0.97_1.41.png,36.600486755371094,36.62012481689453,38.531742095947266,0.0196380615234375,1.9312553405761719,0.4217384457588196,0.22275389730930328,0.002484250580891967,0.0011871521128341556,0.0013583656400442123,0.010568282566964626
1029_0.71_0.56.png,44.27614212036133,44.27711486816406,44.284271240234375,0.000972747802734375,0.008129119873046875,0.39660537242889404,0.0009659481002017856,0.0014971087221056223,0.0006366728339344263,0.000901298422832042,0.004354690667241812
