step,weighted_delta_l1,corr,mean_output_gain
0,0.011822919883463207,,0.0
50,0.011358053590447992,0.22431314369896427,0.02774655818939209
100,0.011558899157573806,0.17125596464029513,0.011125385761260986
150,0.011453016995381078,0.20902720323647372,0.016715049743652344
200,0.0113320851966564,0.25437676411820576,0.031599998474121094
250,0.01156460546169531,0.2157360168057494,0.02077198028564453
300,0.011450942175616353,0.21114380203653127,0.0182914137840271
350,0.011235295553025756,0.24613225545181194,0.039324402809143066
400,0.01124777313859911,0.25752591947093606,0.03806084394454956
450,0.011280764139259599,0.2442478932789527,0.030811727046966553
500,0.011261973188610072,0.2320235792431049,0.030217289924621582
