cell,epoch,phase,safety_weight_scale,updates,render,anchor,harm,margin,repair,delta_abs,total,cvar,gradient_norm
output_safety_curriculum,1,render_warmup,0.0,8,0.0003220874186808942,1.5066916603245772e-09,2.91086507786531e-07,2.270540022664136e-06,0.0016785728294053115,1.5696056493652577e-05,0.0003220874186808942,0.0,8.042550859954645e-06
output_safety_curriculum,2,render_warmup,0.0,8,0.0003219770260329824,6.000163921271451e-09,3.027627144547296e-07,2.3124601895574415e-06,0.005731087119784206,5.358994576454279e-05,0.0003219770260329824,0.0,8.14210608268695e-06
output_safety_curriculum,3,render_warmup,0.0,8,0.0003218354358978104,1.1748056749638636e-08,3.1756610496813664e-07,2.365793591252441e-06,0.01085943728685379,0.00010153915718547069,0.0003218354358978104,0.0,8.446171818832227e-06
output_safety_curriculum,4,render_warmup,0.0,8,0.0003216314344172133,2.0156221580691636e-08,3.3900550988619216e-07,2.442656381163033e-06,0.018184332875534892,0.00017002071035676636,0.0003216314344172133,0.0,9.2281219394863e-06
output_safety_curriculum,5,render_warmup,0.0,8,0.00032131504849530756,3.585284957807744e-08,3.730340267793508e-07,2.5636092217951045e-06,0.029532118933275342,0.00027610696270130575,0.00032131504849530756,0.0,1.1039923037969857e-05
output_safety_curriculum,6,render_warmup,0.0,8,0.00032081411700346507,6.356913218041882e-08,4.2998362914659083e-07,2.761957972552409e-06,0.047722474206238985,0.00044615605656872503,0.00032081411700346507,0.0,1.4347208548315393e-05
output_safety_curriculum,7,render_warmup,0.0,8,0.0003200602004653774,1.0857263532670913e-07,5.240628979663597e-07,3.0773821038110327e-06,0.07592247147113085,0.0007097770139807835,0.0003200602004653774,0.0,1.8768958966575156e-05
output_safety_curriculum,8,render_warmup,0.0,8,0.00031903407762001734,1.7309230315731838e-07,6.716701363984612e-07,3.5408393728175724e-06,0.11618604976683855,0.0010861877162824385,0.00031903407762001734,0.0,2.3026730559649877e-05
output_safety_curriculum,9,safety_ramp,0.125,8,0.0003186947742506163,2.1784364889754215e-07,7.961878054629778e-07,3.826206359747175e-06,0.13830386195331812,0.0012927819043397903,0.00033721450745360926,2.66419374383986e-06,8.277429469671915e-05
output_safety_curriculum,10,safety_ramp,0.25,8,0.00031951095297699794,1.6218166365433717e-07,6.582996547876974e-07,3.425042486071561e-06,0.10507198143750429,0.000981708726612851,0.0003508010704535991,2.250095803901786e-06,0.00013812676934321644
output_safety_curriculum,11,safety_ramp,0.375,8,0.0003204836066288408,9.384314125782112e-08,5.048001412433223e-07,2.9552254261488997e-06,0.06470228359103203,0.0006041633241693489,0.0003568295214790851,1.7308752831013408e-06,0.00014849994909127417
output_safety_curriculum,12,safety_ramp,0.5,8,0.0003212387346138712,4.400851594255073e-08,3.9588815070601413e-07,2.6156077339578587e-06,0.03435862949118018,0.00032053431095846463,0.000359555806426215,1.3579524420492817e-06,0.0001306288027080882
output_safety_curriculum,13,safety_ramp,0.625,8,0.00032172825012821704,1.7315983313892502e-08,3.324398676340934e-07,2.411352113540488e-06,0.015375630231574178,0.00014316748638520949,0.0003623772518039914,1.1453339539002627e-06,0.0001155763072802074
output_safety_curriculum,14,safety_ramp,0.75,8,0.00032203882983594667,3.718241714523174e-09,2.9611146601382643e-07,2.2891352742249182e-06,0.005621536402031779,5.2315808716230094e-05,0.00036586801979865413,1.0239864423056133e-06,0.0001267618599740672
output_safety_curriculum,15,safety_ramp,0.875,8,0.00032223606649495196,5.7949250731326174e-08,2.734807367232861e-07,2.2112184510092447e-06,0.004536413209279999,4.2730460791062796e-05,0.00037139436608413234,9.479181244387291e-07,0.00011166841522936011
output_safety_curriculum,16,safety_ramp,1.0,8,0.00032231568548013456,1.0519232773731346e-07,2.6254883778165095e-07,2.1757262160804203e-06,0.007203616725746542,6.783128264942206e-05,0.0003780346887651831,9.108407539315522e-07,0.00012608364886546042
