step,weighted_delta_l1,corr,mean_output_gain
0,0.011822919883463207,,0.0
50,0.011658631631254707,0.0544168564483698,0.00880962610244751
100,0.012865078731077912,0.07129195707966574,-0.018046677112579346
150,0.012057662413199194,0.120594955078559,0.0175168514251709
200,0.01156891868482786,0.1317747081629932,0.008269667625427246
250,0.01154916087831561,0.1498606261493478,0.012521862983703613
300,0.011976776865010572,0.13199034665012732,-0.0026503801345825195
350,0.011582720871611846,0.11135606294556055,0.014805138111114502
400,0.011549347842167556,0.1551922241342254,0.00916963815689087
