operator_label,fold,gain_0125_to_025_block_count,gain_0125_to_025_beneficial_block_count,gain_0125_to_025_harmful_block_count,gain_0125_to_025_net_sse,gain_0125_to_025_beneficial_sse,gain_0125_to_025_harmful_sse,gain_0125_to_025_harmful_to_beneficial,gain_025_to_05_block_count,gain_025_to_05_beneficial_block_count,gain_025_to_05_harmful_block_count,gain_025_to_05_net_sse,gain_025_to_05_beneficial_sse,gain_025_to_05_harmful_sse,gain_025_to_05_harmful_to_beneficial,gain_05_to_10_block_count,gain_05_to_10_beneficial_block_count,gain_05_to_10_harmful_block_count,gain_05_to_10_net_sse,gain_05_to_10_beneficial_sse,gain_05_to_10_harmful_sse,gain_05_to_10_harmful_to_beneficial
D_ref,0,218425,59516,41699,210.24197932565585,361.3182304959628,151.07625117030693,0.4181251827867429,218425,54844,46371,326.40589535149047,666.0805952929077,339.6746999414172,0.509960359664953,218425,45814,55401,277.0976930906472,1129.2326953490265,852.1350022583792,0.7546141780769099
D_ref,1,214975,58098,41156,233.34088841044286,373.9274563583167,140.58656794787385,0.3759728406066991,214975,53168,46084,377.2500122997153,692.63258426229,315.38257196257473,0.4553389186829591,214975,44587,54662,397.38781601545634,1185.9823216741206,788.5945056586643,0.6649293933365653
D_ref,2,217850,58981,43780,246.72785768108952,392.5564203207032,145.82856263961366,0.3714843398064346,217850,53906,48855,400.78171612598817,728.8067721137777,328.02505598778953,0.45008508227278093,217850,44969,57791,431.5085466557939,1254.9031224907376,823.3945758349437,0.6561419452050341
D_ref,3,218425,60293,41183,200.29140300931977,341.7648176862858,141.47341467696606,0.4139496149273853,218425,55409,46067,309.62451151664936,628.2524078448769,318.6278963282275,0.5071654200597996,218425,46490,54984,255.97850254266086,1057.8681621531723,801.8896596105114,0.7580241927107011
D_ref,4,219000,56527,42740,203.08219168403957,356.25370861282863,153.17151692878906,0.4299506593916013,219000,51635,47632,316.73941303499305,659.5282303394051,342.7888173044121,0.5197485134609124,219000,42651,56616,276.20565320482274,1129.8873342571314,853.6816810523087,0.7555458452975579
D_rep,0,218425,59247,41968,209.48843013186706,355.28541178192245,145.7969816500554,0.41036579835579334,218425,54364,46850,326.66876568837324,655.0576038956642,328.388838207291,0.5013129169928632,218425,45197,56016,284.742450902384,1111.1927272814792,826.4502763790952,0.7437506168718335
D_rep,1,214975,58170,41098,232.9683071182808,376.6075305213453,143.63922340306453,0.381402950716949,214975,53421,45847,377.4454393628839,698.5454239295213,321.09998456663743,0.4596694410513157,214975,44883,54385,401.4025054740632,1199.3650594016071,797.9625539275439,0.6653208276099581
D_rep,2,217850,59530,43235,251.75687936736358,399.9425523466198,148.1856729792562,0.37051739583545873,217850,54645,48120,409.6376588569401,742.4880168563686,332.8503579994285,0.4482905453594911,217850,45912,56853,444.3648718940094,1277.7603494188515,833.3954775248421,0.6522314437945155
D_rep,3,218425,60167,41305,203.40199282896265,342.7833477447275,139.38135491576486,0.406616470236363,218425,55335,46136,314.5487872760459,629.6048195037874,315.0560322277415,0.500402828040687,218425,46278,55187,260.5912250721085,1058.5024668375263,797.9112417654178,0.7538114144876077
D_rep,4,219000,56118,43148,202.06164495605208,345.8995714224875,143.83792646643542,0.41583724973960545,219000,50871,48395,317.43049958133633,640.2598275432829,322.82932796194655,0.5042161230084713,219000,41716,57550,288.6057631271615,1096.777724190848,808.1719610636865,0.7368602983434209
