mode,split,fold,index,name,mapper,K,candidate_scale,family,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,pred_abs_mean,scaled_pred_abs_mean,target_abs_mean
v04d,train,0,0,1000_0.74_1.6.png,global_plus_spatial_kernel_knn_3,4,1.0,global_plus_spatial_kernel_knn,36.873966217041016,37.17753601074219,38.7684211730957,0.3035697937011719,1.8944549560546875,0.1121625155210495,1.0,0.9999957084655762,0.21336445212364197,1.0,0.006215947214514017,0.006215947214514017,0.011343074962496758
v04d,train,0,0,1000_0.74_1.6.png,spatial_priors_ridge_0.1,4,1.0,spatial_priors_ridge,36.873966217041016,37.9680061340332,38.7684211730957,1.0940399169921875,1.8944549560546875,0.4763508439064026,1.0,0.9999957084655762,0.21336445212364197,1.0,0.010173252783715725,0.010173252783715725,0.011343074962496758
v04d,train,0,0,1000_0.74_1.6.png,global_mean_coeff,4,1.0,global_mean,36.873966217041016,37.02125549316406,38.7684211730957,0.14728927612304688,1.8944549560546875,0.12745825946331024,1.0,0.9999957084655762,0.21336445212364197,1.0,0.0039075701497495174,0.0039075701497495174,0.011343074962496758
v04d,train,0,1,1001_0.89_1.66.png,global_plus_spatial_kernel_knn_3,4,1.0,global_plus_spatial_kernel_knn,35.02719497680664,35.72777557373047,36.46269226074219,0.7005805969238281,1.4354972839355469,0.6542814373970032,1.0,0.9999926090240479,0.15691329538822174,1.0,0.008831917308270931,0.008831917308270931,0.013408035039901733
v04d,train,0,1,1001_0.89_1.66.png,spatial_priors_ridge_0.1,4,1.0,spatial_priors_ridge,35.02719497680664,35.99235916137695,36.46269226074219,0.9651641845703125,1.4354972839355469,0.6615526676177979,1.0,0.9999926090240479,0.15691329538822174,1.0,0.012281111441552639,0.012281111441552639,0.013408035039901733
v04d,train,0,1,1001_0.89_1.66.png,global_mean_coeff,4,1.0,global_mean,35.02719497680664,35.18722915649414,36.46269226074219,0.1600341796875,1.4354972839355469,0.3894660770893097,1.0,0.9999926090240479,0.15691329538822174,1.0,0.0039075701497495174,0.0039075701497495174,0.013408035039901733
v04d,train,0,2,1002_0.73_1.47.png,global_plus_spatial_kernel_knn_3,4,1.0,global_plus_spatial_kernel_knn,33.684539794921875,33.82602310180664,34.33770751953125,0.14148330688476562,0.653167724609375,0.6329818964004517,1.0,0.9999188184738159,0.0855432078242302,1.0,0.007502300664782524,0.007502300664782524,0.014619426801800728
v04d,train,0,2,1002_0.73_1.47.png,spatial_priors_ridge_0.1,4,1.0,spatial_priors_ridge,33.684539794921875,33.95427322387695,34.33770751953125,0.2697334289550781,0.653167724609375,0.714328944683075,1.0,0.9999188184738159,0.0855432078242302,1.0,0.008875234983861446,0.008875234983861446,0.014619426801800728
v04d,train,0,2,1002_0.73_1.47.png,global_mean_coeff,4,1.0,global_mean,33.684539794921875,33.781349182128906,34.33770751953125,0.09680938720703125,0.653167724609375,0.5908635854721069,1.0,0.9999188184738159,0.0855432078242302,1.0,0.0039075701497495174,0.0039075701497495174,0.014619426801800728
v04d,train,0,3,1003_0.9_1.06.png,global_plus_spatial_kernel_knn_3,4,1.0,global_plus_spatial_kernel_knn,38.72209548950195,39.01871109008789,39.22611999511719,0.2966156005859375,0.5040245056152344,0.49150028824806213,1.0,0.9999078512191772,0.05862043425440788,1.0,0.007555879652500153,0.007555879652500153,0.009053836576640606
v04d,train,0,3,1003_0.9_1.06.png,spatial_priors_ridge_0.1,4,1.0,spatial_priors_ridge,38.72209548950195,39.07658386230469,39.22611999511719,0.3544883728027344,0.5040245056152344,0.5699934363365173,1.0,0.9999078512191772,0.05862043425440788,1.0,0.008888162672519684,0.008888162672519684,0.009053836576640606
