tag,rhfd2_scale,rhfd1_scale,mean_psnr_delta,mean_ssim_delta,hard_bottom_25pct_delta,easy_top_25pct_delta,severe_regression_delta_le_-0.20,strong_reference_regression_delta_le_-0.05,global_regression_delta_le_-0.05,hard_median_delta,hard_positive_ratio,mean_delta_excluding_top1_gain,hard_delta_excluding_top1_hard_gain,top1_gain_name,top1_gain_delta,top1_hard_gain_name,top1_hard_gain_delta,strict_gate_pass,failed_checks
saferhfd_v2_rhfd2_0.50_rhfd1_0.70_vs_a0,0.50,0.70,0.007790243148803711,1.0677039623260498e-05,0.0222833251953125,0.006925048828125,1,0,4,-0.0013570785522460938,0.44,0.0018121473066083661,-0.0016428782757985066,508_0.72_1.04.png,5.979907989501953,508_0.72_1.04.png,5.979907989501953,False,severe_regressions;hard_median_delta;hard_positive_ratio;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_0.70_rhfd1_0.50_vs_a0,0.70,0.50,0.010623071670532227,1.426398754119873e-05,0.03427576446533203,0.007402267456054688,0,0,7,-0.0021619796752929688,0.392,0.0016689873314476586,-0.0015534626910964169,508_0.72_1.04.png,8.955753326416016,508_0.72_1.04.png,8.955753326416016,False,hard_median_delta;hard_positive_ratio;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_0.70_rhfd1_0.70_vs_a0,0.70,0.70,0.010635049819946289,1.3134121894836427e-05,0.03317057037353516,0.007821853637695313,0,0,9,-0.0023431777954101562,0.416,0.0018642051322562798,-0.0019279771061786208,508_0.72_1.04.png,8.772708892822266,508_0.72_1.04.png,8.772708892822266,False,hard_median_delta;hard_positive_ratio;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_0.60_rhfd1_0.80_vs_a0,0.60,0.80,0.009469371795654297,1.1347830295562744e-05,0.028178253173828126,0.007640731811523437,1,1,7,-0.00188446044921875,0.432,0.001969895921311937,-0.001834869384765625,508_0.72_1.04.png,7.501445770263672,508_0.72_1.04.png,7.501445770263672,False,severe_regressions;strong_reference_regressions;hard_median_delta;hard_positive_ratio;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_0.80_rhfd1_0.60_vs_a0,0.80,0.60,0.011041223526000976,1.4230132102966308e-05,0.03485784149169922,0.008250213623046876,0,1,12,-0.0022382736206054688,0.396,0.0018608295643055164,-0.001878692443112293,508_0.72_1.04.png,9.182254791259766,508_0.72_1.04.png,9.182254791259766,False,strong_reference_regressions;global_regressions;hard_median_delta;hard_positive_ratio;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_0.00_rhfd1_0.70_vs_a0,0.00,0.70,-0.0006158885955810547,-9.268522262573242e-06,-0.006114051818847656,0.001090545654296875,2,2,5,5.340576171875e-05,0.5,-0.0006768796537015531,-0.006209668385455886,557_0.68_0.68.png,0.060314178466796875,65_0.89_0.51.png,0.017694473266601562,False,mean_psnr_delta_vs_a0;mean_ssim_delta;hard_bottom_25pct_delta;severe_regressions;strong_reference_regressions;mean_delta_excluding_top1_gain;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_0.50_rhfd1_1.00_vs_a0,0.50,1.00,0.007997318267822266,8.909344673156738e-06,0.021554336547851563,0.007490829467773437,1,2,6,-0.0004730224609375,0.492,0.0020526202472003255,-0.0022416325458082327,508_0.72_1.04.png,5.946750640869141,508_0.72_1.04.png,5.946750640869141,False,severe_regressions;strong_reference_regressions;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_0.70_rhfd1_1.00_vs_a0,0.70,1.00,0.010359066009521484,1.1114835739135742e-05,0.030372734069824218,0.008500778198242187,1,3,12,-0.0020198822021484375,0.448,0.0021361006392134323,-0.0025378231063904054,508_0.72_1.04.png,8.225101470947266,508_0.72_1.04.png,8.225101470947266,False,severe_regressions;strong_reference_regressions;global_regressions;hard_median_delta;hard_positive_ratio;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_0.70_rhfd1_0.00_vs_a0,0.70,0.00,0.010431190490722657,1.6665041446685792e-05,0.036702713012695315,0.006059555053710938,0,3,13,-0.0027685165405273438,0.384,0.000998312765890891,-0.001036938893268386,508_0.72_1.04.png,9.433876037597656,508_0.72_1.04.png,9.433876037597656,False,strong_reference_regressions;global_regressions;hard_median_delta;hard_positive_ratio;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_1.00_rhfd1_0.50_vs_a0,1.00,0.50,0.01255113410949707,1.6618669033050537e-05,0.04122703552246094,0.0086429443359375,0,3,24,-0.0039215087890625,0.376,0.0017937191494472988,-0.0018170674641927083,508_0.72_1.04.png,10.759208679199219,508_0.72_1.04.png,10.759208679199219,False,strong_reference_regressions;global_regressions;hard_median_delta;hard_positive_ratio;hard_delta_excluding_top1_hard_gain
saferhfd_v2_rhfd2_1.00_rhfd1_0.70_vs_a0,1.00,0.70,0.012470856666564941,1.564657688140869e-05,0.03973342514038086,0.0091204833984375,0,5,27,-0.0030536651611328125,0.388,0.0020365872540631454,-0.0020198783721311025,508_0.72_1.04.png,10.43630599975586,508_0.72_1.04.png,10.43630599975586,False,strong_reference_regressions;global_regressions;hard_median_delta;hard_positive_ratio;hard_delta_excluding_top1_hard_gain
