action,bin_lower,bin_observed_harm,bin_predicted_risk,bin_upper,cell,fold,risk_method,scene_count,scene_weighted_auc,scene_weighted_brier,scene_weighted_logloss,source,tail_coverage,tail_selected_harm
weaken,,,,,R0_L0,0,weighted_q,30,0.8975290644385497,0.04881091264811618,0.16780857363931528,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,0,weighted_q,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,0,weighted_q,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,0,weighted_q,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,0,weighted_q,0,,,,ensemble,,
strengthen,,,,,R0_L0,0,weighted_q,30,0.8244854677529544,0.13031681060885708,0.4012998171259858,ensemble,0.0006687565308254964,0.0
strengthen,0.0,,,0.025,R0_L0,0,weighted_q,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,0,weighted_q,0,,,,ensemble,,
strengthen,0.05,0.0,0.09210266328106323,0.1,R0_L0,0,weighted_q,1,,,,ensemble,,
strengthen,0.1,0.42857142857142855,0.16034101548471622,0.2,R0_L0,0,weighted_q,3,,,,ensemble,,
weaken,,,,,R0_L0,0,deweighted_probability,30,0.8975290644385497,0.04647791230324748,0.16343138100134494,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,0,deweighted_probability,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,0,deweighted_probability,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,0,deweighted_probability,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,0,deweighted_probability,0,,,,ensemble,,
strengthen,,,,,R0_L0,0,deweighted_probability,30,0.8244854677529544,0.12559210611295113,0.38039283074504854,ensemble,0.003845350052246604,0.43478260869565216
strengthen,0.0,,,0.025,R0_L0,0,deweighted_probability,0,,,,ensemble,,
strengthen,0.025,0.0,0.048278196286313795,0.05,R0_L0,0,deweighted_probability,1,,,,ensemble,,
strengthen,0.05,0.5263157894736842,0.07908693880483086,0.1,R0_L0,0,deweighted_probability,3,,,,ensemble,,
strengthen,0.1,0.17647058823529413,0.15493316394290166,0.2,R0_L0,0,deweighted_probability,8,,,,ensemble,,
weaken,,,,,R0_L0,0,scene_platt,30,0.8975290644385497,0.04665192197740365,0.16411298683730158,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,0,scene_platt,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,0,scene_platt,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,0,scene_platt,0,,,,ensemble,,
weaken,0.1,0.0,0.1843467535974039,0.2,R0_L0,0,scene_platt,1,,,,ensemble,,
strengthen,,,,,R0_L0,0,scene_platt,30,0.8244854677529544,0.12344726921461682,0.37890732853921627,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,0,scene_platt,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,0,scene_platt,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,0,scene_platt,0,,,,ensemble,,
strengthen,0.1,0.375,0.1584042664648512,0.2,R0_L0,0,scene_platt,3,,,,ensemble,,
weaken,,,,,R0_L0,0,scene_isotonic,30,0.8970633035532001,0.04713836886860771,0.16466951286249965,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,0,scene_isotonic,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,0,scene_isotonic,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,0,scene_isotonic,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,0,scene_isotonic,0,,,,ensemble,,
strengthen,,,,,R0_L0,0,scene_isotonic,30,0.8219724127990914,0.12451964173200922,0.3970339784276391,ensemble,0.0028422152560083594,0.4117647058823529
strengthen,0.0,0.4,0.0,0.025,R0_L0,0,scene_isotonic,2,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,0,scene_isotonic,0,,,,ensemble,,
strengthen,0.05,0.5,0.08333333333333334,0.1,R0_L0,0,scene_isotonic,1,,,,ensemble,,
strengthen,0.1,,,0.2,R0_L0,0,scene_isotonic,0,,,,ensemble,,
weaken,,,,,R0_L0,0,parent_upper,30,0.8798944382329271,0.05091642178062569,0.2585541798443255,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,0,parent_upper,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,0,parent_upper,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,0,parent_upper,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,0,parent_upper,0,,,,ensemble,,
strengthen,,,,,R0_L0,0,parent_upper,30,0.7700715171772846,0.14843312109174278,1.1416352280991506,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,0,parent_upper,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,0,parent_upper,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,0,parent_upper,0,,,,ensemble,,
strengthen,0.1,0.0,0.19442469353079794,0.2,R0_L0,0,parent_upper,1,,,,ensemble,,
weaken,,,,,R0_L0,1,weighted_q,30,0.8488496155521896,0.08581704573862638,0.2907804045554191,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,1,weighted_q,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,1,weighted_q,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,1,weighted_q,0,,,,ensemble,,
weaken,0.1,,,0.2,R0_L0,1,weighted_q,0,,,,ensemble,,
strengthen,,,,,R0_L0,1,weighted_q,30,0.8384759222482584,0.10396739120057906,0.33755635620536506,ensemble,0.0,
strengthen,0.0,,,0.025,R0_L0,1,weighted_q,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,1,weighted_q,0,,,,ensemble,,
strengthen,0.05,,,0.1,R0_L0,1,weighted_q,0,,,,ensemble,,
strengthen,0.1,0.0,0.14759101967016858,0.2,R0_L0,1,weighted_q,1,,,,ensemble,,
weaken,,,,,R0_L0,1,deweighted_probability,30,0.8488496155521896,0.07979850820396216,0.26492108734498543,ensemble,0.0,
weaken,0.0,,,0.025,R0_L0,1,deweighted_probability,0,,,,ensemble,,
weaken,0.025,,,0.05,R0_L0,1,deweighted_probability,0,,,,ensemble,,
weaken,0.05,,,0.1,R0_L0,1,deweighted_probability,0,,,,ensemble,,
weaken,0.1,0.0,0.18995214586892342,0.2,R0_L0,1,deweighted_probability,1,,,,ensemble,,
strengthen,,,,,R0_L0,1,deweighted_probability,30,0.8384759222482584,0.1025513342328228,0.33016192903580155,ensemble,0.0014933333333333326,0.0
strengthen,0.0,,,0.025,R0_L0,1,deweighted_probability,0,,,,ensemble,,
strengthen,0.025,,,0.05,R0_L0,1,deweighted_probability,0,,,,ensemble,,
