critical_value,effect_id,estimate,family_size,left,lower,max_half_width,metric,right,scene_count,upper
1.9599639845400536,selector:R0_L0:raw:weighted_q,0.0010733699219361533,1,R0_L0|weighted_q|raw|setwise|1.0,-0.0016888477383663716,0.002762217660302525,gain_db,R0_L0|weighted_q|raw|tilewise|1.0,600,0.003835587582238678
1.9599639845400536,selector:R0_L0:raw:weighted_q,9.088888888888889e-05,1,R0_L0|weighted_q|raw|setwise|1.0,-2.4001726913014946e-05,0.00011489061580190383,action_area_fraction,R0_L0|weighted_q|raw|tilewise|1.0,600,0.00020577950469079272
1.9599639845400536,selector:R0_L0:raw:weighted_q,1.2244444444444443e-05,1,R0_L0|weighted_q|raw|setwise|1.0,-2.690315105899099e-05,3.914759550343543e-05,risk_margin,R0_L0|weighted_q|raw|tilewise|1.0,600,5.1392039947879875e-05
1.9599639845400536,risk_target:R0_L0:raw:deweighted_probability:tilewise,0.013714120789092791,1,R0_L0|deweighted_probability|raw|tilewise|1.0,0.0022081665571521397,0.011505954231940651,gain_db,R0_L0|weighted_q|raw|tilewise|1.0,600,0.02522007502103344
1.9599639845400536,risk_target:R0_L0:raw:deweighted_probability:setwise,0.022751789215962888,1,R0_L0|deweighted_probability|raw|setwise|1.0,0.004723050094991518,0.01802873912097137,gain_db,R0_L0|weighted_q|raw|setwise|1.0,600,0.040780528336934255
1.9599639845400536,interaction:R0_L0:raw:deweighted_probability,0.0090376684268701,1,method_selector_contrast,0.0018747851168956524,0.007162883309974448,gain_db,weighted_selector_contrast,600,0.016200551736844548
1.9599639845400536,risk_target:R0_L0:raw:deweighted_probability:tilewise,0.0021855555555555556,1,R0_L0|deweighted_probability|raw|tilewise|1.0,0.0011289830073697433,0.0010565725481858123,action_area_fraction,R0_L0|weighted_q|raw|tilewise|1.0,600,0.003242128103741368
1.9599639845400536,risk_target:R0_L0:raw:deweighted_probability:setwise,0.003912222222222222,1,R0_L0|deweighted_probability|raw|setwise|1.0,0.0019809955100288765,0.0019312267121933458,action_area_fraction,R0_L0|weighted_q|raw|setwise|1.0,600,0.005843448934415569
1.9599639845400536,interaction:R0_L0:raw:deweighted_probability,0.0017266666666666667,1,method_selector_contrast,0.0008292810324490226,0.0008973856342176441,action_area_fraction,weighted_selector_contrast,600,0.002624052300884311
1.9599639845400536,risk_target:R0_L0:raw:deweighted_probability:tilewise,0.0003527777777777778,1,R0_L0|deweighted_probability|raw|tilewise|1.0,-0.00020259982032004716,0.000555377598097825,risk_margin,R0_L0|weighted_q|raw|tilewise|1.0,600,0.0009081553758756028
1.9599639845400536,risk_target:R0_L0:raw:deweighted_probability:setwise,0.0007198888888888888,1,R0_L0|deweighted_probability|raw|setwise|1.0,-0.00030439221192012545,0.0010242811008090143,risk_margin,R0_L0|weighted_q|raw|setwise|1.0,600,0.0017441699896979031
