action_area_fraction,active_scene,fold,gain_db,material_scene,risk_margin,scene,selected_area,selected_harm_area,selected_harm_fraction,total_area
0.0,False,1,0.0,False,0.0,041ed142f84e1351c9f8d199863f3e659d40a1e47a4d5e7ce7bf0695f6932aed,0.0,0.0,,1.0
0.0,False,2,0.0,False,0.0,09320d3ff6afd37260f827d868dcde5303523ceff8776aeb2004f1cab9371174,0.0,0.0,,0.9999999999999997
0.0,False,2,0.0,False,0.0,0aac6e90dff5aeed9066a43de64c075ab629f204d7f4b750340c8cbd0c8c517d,0.0,0.0,,0.9999999999999997
0.0,False,1,0.0,False,0.0,0b14cbe269e4779a6151d9328472acc63dbf0dc96869c711abb1182961c4a1ef,0.0,0.0,,1.0
0.0,False,1,0.0,False,0.0,0cd3d6c52de00bbb37c51ae6c30bbd21fc54a25be6df4698121434ed86640906,0.0,0.0,,1.0
0.0,False,2,0.0,False,0.0,0d2b711e8697a6be175ddcf16d5aa3de0eb3bbd9f4077eb669fa851983bffa65,0.0,0.0,,0.9999999999999997
0.0,False,1,0.0,False,0.0,0fe545a09e77e5ae072bafdb661153e265b06588e43cb4a505bcb97978f32ff9,0.0,0.0,,1.0
0.0,False,3,0.0,False,0.0,10e3d2b8c482a96a37a88c4c2549c5ab33b05661de820fc09854e203b71b2607,0.0,0.0,,0.9999999999999997
0.0,False,0,0.0,False,0.0,15d81956dcfc3e563357150b1bc5d85228befd30c7b3934a207336ca20ed2210,0.0,0.0,,0.9999999999999997
0.0,False,3,0.0,False,0.0,1646d0c1bdc26709195006bba4224918d2c2a83f2a2e82647d78cbda8f01cb16,0.0,0.0,,0.9999999999999997
0.0,False,1,0.0,False,0.0,1659545ed8900b229a714c4bf76c38baed03285dca1d3ebaea9255a65ae1abcb,0.0,0.0,,0.9999999999999997
0.0,False,3,0.0,False,0.0,17e6db89be0833d7aab0129b69102ee2f3ab6e2a744b1a60699ae85135688d49,0.0,0.0,,0.9999999999999997
0.0,False,4,0.0,False,0.0,1802098119d232283df2dcb55daf1c5dfa8603100a61a8551eede1f31a44ba4b,0.0,0.0,,0.9999999999999997
0.0,False,4,0.0,False,0.0,1b72392a1ba694bcb9d8e508f7944d0acdb11f416bec16846146a2bf9aa74140,0.0,0.0,,1.0
0.0,False,2,0.0,False,0.0,1b934acb9f8e1587822521d69fc4ff77ff3e75a00867bec6cb4e0b84d188a19d,0.0,0.0,,1.0
0.0,False,4,0.0,False,0.0,1c2369a3e61325c510679202e894389499174b20b0f110b932b4cd9e42da3a7b,0.0,0.0,,1.0
0.0,False,0,0.0,False,0.0,1cd2c32fae52c1b85f7ff92a834363c7271250581c315eaa6d5013433e52606d,0.0,0.0,,1.0
0.0,False,0,0.0,False,0.0,1cdf133159d7f70c7bcd142ad54c88b9ae1c31888c24388d706587c7a5771a49,0.0,0.0,,1.0
0.0,False,3,0.0,False,0.0,20a519160030dc3944179a3d6de747854fafc8b32875947f8b0e0900890d442b,0.0,0.0,,1.0
0.0,False,3,0.0,False,0.0,22095db58b153eb62642f667b654972640e4c482e633281b47d17a9ac822ad1f,0.0,0.0,,1.0
0.0,False,2,0.0,False,0.0,22d2f3a73057ded015b4e495e83c883746fe17db92861f40975f9d78ff28dacf,0.0,0.0,,0.9999999999999997
0.0,False,3,0.0,False,0.0,22f102e76c21cf801d123b3ac5fe3735dd151a3b795ea938bc18061eb56da08c,0.0,0.0,,1.0
