action_area_estimate,action_area_lower,actionable,active_scene_lower,area_cap,candidate_id,cell,coverage_admissible,gain_estimate,gain_lower,gain_upper,material_scene_lower,risk_margin_upper,risk_method,safety_admissible,selected_harm_estimate,selected_harm_upper,selector,utility_method
4.266666666666665e-05,0.0,False,0.00039015296878931044,0.01,R0_L0__weighted_q__raw__setwise__cap_0p01,R0_L0,False,0.00024921771298078095,-0.0007208684186962566,0.0012193038446578187,0.0,1.2341439203164593e-05,weighted_q,True,0.0,0.0,setwise,raw
0.00012799999999999997,0.0,False,0.00039015296878931044,0.02,R0_L0__weighted_q__raw__setwise__cap_0p02,R0_L0,False,0.0002834845006324238,-0.0008199859522487185,0.0013869549535135662,0.0,3.702431760949378e-05,weighted_q,True,0.0,0.0,setwise,raw
0.0002559999999999999,0.0,False,0.00039015296878931044,0.05,R0_L0__weighted_q__raw__setwise__cap_0p05,R0_L0,False,0.000262980854841685,-0.0007606786480370878,0.0012866403577204578,0.0,8.349909014599171e-05,weighted_q,False,0.16666666666666669,0.16666666666666669,setwise,raw
0.0002559999999999999,0.0,False,0.00039015296878931044,0.1,R0_L0__weighted_q__raw__setwise__cap_0p1,R0_L0,False,0.000262980854841685,-0.0007606786480370878,0.0012866403577204578,0.0,8.349909014599171e-05,weighted_q,False,0.16666666666666669,0.16666666666666669,setwise,raw
0.0002559999999999999,0.0,False,0.00039015296878931044,0.2,R0_L0__weighted_q__raw__setwise__cap_0p2,R0_L0,False,0.000262980854841685,-0.0007606786480370878,0.0012866403577204578,0.0,8.349909014599171e-05,weighted_q,False,0.16666666666666669,0.16666666666666669,setwise,raw
0.0002559999999999999,0.0,False,0.00039015296878931044,1.0,R0_L0__weighted_q__raw__setwise__cap_1p0,R0_L0,False,0.000262980854841685,-0.0007606786480370878,0.0012866403577204578,0.0,8.349909014599171e-05,weighted_q,False,0.16666666666666669,0.16666666666666669,setwise,raw
4.266666666666665e-05,0.0,False,0.00039015296878931044,0.01,R0_L0__weighted_q__parent_lower__setwise__cap_0p01,R0_L0,False,0.00024921771298078095,-0.0007208684186962566,0.0012193038446578187,0.0,1.2341439203164593e-05,weighted_q,True,0.0,0.0,setwise,parent_lower
0.00012799999999999997,0.0,False,0.00039015296878931044,0.02,R0_L0__weighted_q__parent_lower__setwise__cap_0p02,R0_L0,False,0.0002834845006324238,-0.0008199859522487185,0.0013869549535135662,0.0,3.702431760949378e-05,weighted_q,True,0.0,0.0,setwise,parent_lower
0.0002559999999999999,0.0,False,0.00039015296878931044,0.05,R0_L0__weighted_q__parent_lower__setwise__cap_0p05,R0_L0,False,0.000262980854841685,-0.0007606786480370878,0.0012866403577204578,0.0,8.349909014599171e-05,weighted_q,False,0.16666666666666669,0.16666666666666669,setwise,parent_lower
0.0002559999999999999,0.0,False,0.00039015296878931044,0.1,R0_L0__weighted_q__parent_lower__setwise__cap_0p1,R0_L0,False,0.000262980854841685,-0.0007606786480370878,0.0012866403577204578,0.0,8.349909014599171e-05,weighted_q,False,0.16666666666666669,0.16666666666666669,setwise,parent_lower
0.0002559999999999999,0.0,False,0.00039015296878931044,0.2,R0_L0__weighted_q__parent_lower__setwise__cap_0p2,R0_L0,False,0.000262980854841685,-0.0007606786480370878,0.0012866403577204578,0.0,8.349909014599171e-05,weighted_q,False,0.16666666666666669,0.16666666666666669,setwise,parent_lower
0.0002559999999999999,0.0,False,0.00039015296878931044,1.0,R0_L0__weighted_q__parent_lower__setwise__cap_1p0,R0_L0,False,0.000262980854841685,-0.0007606786480370878,0.0012866403577204578,0.0,8.349909014599171e-05,weighted_q,False,0.16666666666666669,0.16666666666666669,setwise,parent_lower
0.00025599999999999993,0.0,False,0.006942967260933977,0.01,R0_L0__deweighted_probability__raw__setwise__cap_0p01,R0_L0,False,0.0017806981887724005,-0.0024956289531081997,0.006057025330653,0.002902419241980002,6.542949895495713e-05,deweighted_probability,False,0.08333333333333333,0.35725190525638484,setwise,raw
0.0006399999999999998,0.0,False,0.006942967260933977,0.02,R0_L0__deweighted_probability__raw__setwise__cap_0p02,R0_L0,False,0.004058730790104029,-0.0045439049785939,0.012661366558801958,0.002902419241980002,4.590494377639807e-05,deweighted_probability,True,0.0,0.0,setwise,raw
0.001301333333333333,0.0,False,0.006942967260933977,0.05,R0_L0__deweighted_probability__raw__setwise__cap_0p05,R0_L0,False,0.007104965585086212,-0.00782264732337781,0.022032578493550233,0.004769559848227287,0.000330202204327645,deweighted_probability,False,0.09836065573770492,0.35404568760663796,setwise,raw
