variant,epoch,steps,loss_mean,smooth_l1_mean,hard_negative_loss_mean,positive_response_loss_mean,topk_loss_mean,elapsed_sec
d7c_mc_hn_ordinal,1,300,0.5372916172941525,0.028106024395674466,0.0008409194054517381,0.016554069789126515,0.0,23.100302934646606
d7c_mc_hn_ordinal,2,300,0.5082346039017042,0.02627517556771636,0.0008141326249521322,0.01602614184996734,0.0,21.77833080291748
d7c_mc_hn_ordinal,3,300,0.501843746304512,0.0257896099674205,0.0007329349877515293,0.015228702592818687,0.0,21.93816304206848
d7c_mc_hn_ordinal,4,300,0.4998735056320826,0.025726102888584138,0.0006960679032317785,0.014980619989801198,0.0,22.032657623291016
d7c_mc_hn_ordinal,5,300,0.49707561612129214,0.025567635440578062,0.0007651703466823771,0.014856712252367288,0.0,21.864065170288086
d7c_mc_hn_ordinal,6,300,0.4942373373111089,0.025298481496671837,0.0006184726260926255,0.014685601730986188,0.0,22.06269097328186
d7c_mc_topk_hn_ordinal,1,300,0.5454209172725677,0.0283463179692626,0.00033058817564420045,0.018633136195906747,0.0038017750810216927,22.37730383872986
d7c_mc_topk_hn_ordinal,2,300,0.510642300248146,0.026016594227403402,0.0003567126006271337,0.01692147541170319,0.0040623443649504525,22.368597507476807
d7c_mc_topk_hn_ordinal,3,300,0.5288010826706886,0.02549217650666833,0.00024676057568816153,0.016712452406063675,0.0033506042078564253,22.44775700569153
d7c_mc_topk_hn_ordinal,4,300,0.5026222070058187,0.025573029691974322,0.0002034045678772145,0.016812038308319947,0.00289809363076832,22.292215824127197
d7c_mc_topk_hn_ordinal,5,300,0.49869456748167673,0.025371205968161423,0.0002174641586831664,0.01602890302427113,0.002847417172451969,22.41825819015503
d7c_mc_topk_hn_ordinal,6,300,0.4972053454319636,0.025205608091006675,0.00019276316179684728,0.016343730036945392,0.0026322899602746475,22.380257844924927
d7c_shuffled_mc_topk,1,300,0.6302725239594777,0.035847487561404705,0.000285092692959007,0.019496194425349434,0.0007851868385602205,22.50925874710083
d7c_shuffled_mc_topk,2,300,0.61930764178435,0.03551294404392441,0.00012426368515415712,0.019270151207844418,0.0006475298395920012,22.539562225341797
d7c_shuffled_mc_topk,3,300,0.622074192961057,0.03605591002851725,0.0001191079517522553,0.019081530890737972,0.0006902833426869392,22.35209560394287
d7c_shuffled_mc_topk,4,300,0.6205500159660975,0.03559491633127133,0.00016659932098017787,0.018729450767859816,0.0007766818744524547,22.437715530395508
d7c_shuffled_mc_topk,5,300,0.6184703099727631,0.03545736094315847,0.00010258830132927462,0.019556947698195774,0.0006032919103885585,22.47820520401001
d7c_shuffled_mc_topk,6,300,0.6189475140968959,0.0357462115585804,8.385165123992048e-05,0.019109920592357714,0.0005999059580854767,22.40350317955017
