name,input_h,input_w,gt_h,gt_w,psnr,ssim,seconds
1400_1.png,460,620,460,620,40.41913639,0.99761915,0.42806554
1400_10.png,460,620,460,620,39.63461535,0.99406743,0.02290130
1400_2.png,460,620,460,620,40.50497498,0.99748862,0.02096748
1400_3.png,460,620,460,620,40.09356899,0.99713039,0.02087379
1400_4.png,460,620,460,620,40.35685333,0.99681062,0.02902365
1400_5.png,460,620,460,620,40.44319753,0.99659407,0.02263165
1400_6.png,460,620,460,620,40.08336554,0.99602932,0.02318096
1400_7.png,460,620,460,620,39.88662561,0.99574637,0.02287340
1400_8.png,460,620,460,620,39.80401286,0.99500674,0.02207208
1400_9.png,460,620,460,620,39.27024510,0.99454367,0.02087164
1401_1.png,460,620,460,620,44.66073094,0.99584836,0.02087474
1401_10.png,460,620,460,620,43.63171309,0.99564028,0.02090049
1401_2.png,460,620,460,620,44.21846076,0.99634618,0.02088356
1401_3.png,460,620,460,620,44.58197336,0.99654526,0.02062774
1401_4.png,460,620,460,620,44.51137562,0.99659812,0.02162004
1401_5.png,460,620,460,620,44.45871676,0.99659312,0.02144480
1401_6.png,460,620,460,620,44.35878160,0.99637622,0.02117801
1401_7.png,460,620,460,620,43.99476812,0.99628776,0.02134180
1401_8.png,460,620,460,620,43.82272392,0.99631494,0.02026176
1401_9.png,460,620,460,620,43.47051016,0.99541557,0.02345562
1402_1.png,460,620,460,620,44.49021264,0.99766409,0.02195525
1402_10.png,460,620,460,620,40.73983324,0.99502027,0.02119207
1402_2.png,460,620,460,620,44.32448836,0.99750280,0.02132559
1402_3.png,460,620,460,620,44.09782759,0.99721122,0.02218914
1402_4.png,460,620,460,620,43.76951796,0.99706972,0.02117395
1402_5.png,460,620,460,620,41.43048396,0.99656916,0.02102757
1402_6.png,460,620,460,620,43.01080962,0.99644989,0.02103138
1402_7.png,460,620,460,620,42.14417852,0.99591243,0.02393103
1402_8.png,460,620,460,620,41.52122243,0.99579543,0.02124524
1402_9.png,460,620,460,620,42.00908268,0.99534500,0.02127337
1403_1.png,460,620,460,620,47.76169605,0.99838197,0.02129841
1403_10.png,460,620,460,620,44.01148898,0.99565494,0.02139997
1403_2.png,460,620,460,620,48.01364767,0.99797988,0.02121568
1403_3.png,460,620,460,620,46.82616297,0.99796218,0.02153897
1403_4.png,460,620,460,620,46.46966111,0.99768972,0.02102757
1403_5.png,460,620,460,620,45.61475859,0.99735832,0.02196097
1403_6.png,460,620,460,620,45.71031392,0.99694669,0.02194929
1403_7.png,460,620,460,620,44.87487675,0.99684429,0.02118516
1403_8.png,460,620,460,620,44.22695062,0.99632210,0.02416229
1403_9.png,460,620,460,620,43.81364875,0.99599743,0.02133274
1404_1.png,460,620,460,620,45.05610757,0.99849576,0.02104354
1404_10.png,460,620,460,620,37.60414896,0.99419594,0.02109265
1404_2.png,460,620,460,620,44.03727388,0.99816310,0.02109027
1404_3.png,460,620,460,620,43.17745788,0.99781626,0.02399182
1404_4.png,460,620,460,620,41.93492831,0.99743074,0.02318001
1404_5.png,460,620,460,620,41.23762271,0.99700129,0.02056241
1404_6.png,460,620,460,620,40.56726154,0.99656951,0.02070212
1404_7.png,460,620,460,620,39.73834919,0.99598312,0.02074170
1404_8.png,460,620,460,620,38.86434802,0.99537325,0.02057838
1404_9.png,460,620,460,620,38.30423617,0.99489558,0.02046633
1405_1.png,460,620,460,620,43.39012648,0.99856377,0.02060890
