cell,epoch,updates,render,anchor,harm,margin,repair,delta_abs,total,cvar,gradient_norm
output_safe,1,8,0.0003221423721697647,1.5805312614247669e-09,2.8756880965374876e-07,2.255345400214992e-06,0.0002375164385739481,2.2220408411044446e-06,0.0003836892774415901,9.93026333162561e-07,0.004834845200093696
output_safe,2,8,0.00032214232851401903,1.2507825886132196e-09,2.8702027066174196e-07,2.253596591117457e-06,0.00016747926565585658,1.5638674994988833e-06,0.000382193557015853,9.913933354255278e-07,0.005591228778939694
output_safe,3,8,0.0003221429251425434,3.384457158972509e-10,2.871950073313201e-07,2.2537669011057915e-06,8.370428031412303e-05,7.803292021435482e-07,0.00038052774834795855,9.921959644998424e-07,0.005313998321071267
output_safe,4,8,0.000322142215736676,8.731149137020111e-11,2.872088771255221e-07,2.2539206696592373e-06,5.4572416502196575e-05,5.103225078073592e-07,0.0003799409641942475,9.922723620547913e-07,0.005285013787215576
output_safe,5,8,0.0003221419683541171,1.405169314239174e-10,2.8717022360069677e-07,2.2538758628343203e-06,3.8174471228558104e-05,3.5823396871137447e-07,0.0003796071705437498,9.9211774795549e-07,0.0050728397036436945
output_safe,6,8,0.0003221425704396097,1.1050360626541078e-10,2.871771584977978e-07,2.2539537383181596e-06,3.585266426853195e-05,3.3619870265511054e-07,0.00037955963853164576,9.920845513988752e-07,0.004844878480071202
output_safe,7,8,0.0003221420065528946,4.581579560181126e-11,2.8723911782435607e-07,2.2540144328786482e-06,3.00606191103725e-05,2.8058605838765516e-07,0.00037945288204355165,9.923360266839154e-07,0.005075045162811875
output_safe,8,8,0.0003221422011847608,1.355147105641663e-10,2.871997821785044e-07,2.253992946066319e-06,3.3650793056949624e-05,3.1301061298449895e-07,0.0003795195934799267,9.921586752170697e-07,0.004824535018997267
output_safe,9,8,0.0003221420065528946,1.1618794815149158e-10,2.8719057354464894e-07,2.2538663486670885e-06,3.825125440926058e-05,3.574325369015696e-07,0.0003796113669523038,9.921927812683862e-07,0.0049494193226564676
output_safe,10,8,0.0003221423739887541,2.0827428670600057e-10,2.871755668820697e-07,2.2538260679993982e-06,3.535977634783194e-05,3.3238404206770156e-07,0.0003795522115979111,9.92093646345893e-07,0.004705749510321766
output_safe,11,8,0.00032214250859397,6.582467904081568e-11,2.8717795430566184e-07,2.253883728542405e-06,2.6461300421942724e-05,2.4936239917394687e-07,0.0003793714986386476,9.921204764395952e-07,0.004819882626179606
output_safe,12,8,0.00032214250131801236,7.457856554538012e-11,2.8719637157337274e-07,2.253932528617497e-06,2.6110133148904424e-05,2.4508974227899216e-07,0.0003793675332417479,9.921750461217016e-07,0.004820702277356759
output_safe,13,8,0.0003221420010959264,1.405169314239174e-10,2.871939841497806e-07,2.253872459334616e-06,3.830465584542253e-05,3.5842282386511215e-07,0.0003796145028900355,9.922237040882464e-07,0.004975835414370522
output_safe,14,8,0.00032214183011092246,1.8189894035458565e-10,2.871939841497806e-07,2.253919191730347e-06,4.404042374517303e-05,4.1106576276206397e-07,0.00037972866084601264,9.92177319858456e-07,0.005041673022788018
output_safe,15,8,0.0003221421738999197,1.5870682545937598e-10,2.871471451726393e-07,2.2537783834764014e-06,4.1909116134775104e-05,3.904534597864995e-07,0.0003796781184064457,9.92029072222067e-07,0.005007443221984431
