checkpoint_label,present,score,pass_count,check_count,all_checks_pass,decision,regular_mean_psnr_delta,regular_hard_bottom25_psnr_delta,regular_easy_top25_psnr_delta,regular_mean_ssim_delta,regular_positive_ratio,regular_worst_count_delta_le_-0p20,regular_strong_regression_ratio,hard_mean_psnr_delta,hard_hard_bottom25_psnr_delta,hard_easy_top25_psnr_delta,hard_mean_ssim_delta,hard_positive_ratio,hard_worst_count_delta_le_-0p20,hard_strong_regression_ratio
model_5,True,-16.84592802254359,0,9,False,DIAGNOSTIC_ONLY,-1.0677215321858724,-0.7519962056477865,-1.2256764729817708,-0.0011803090572357177,0.14333333333333334,237.0,0.9066666666666666,-0.6088607406616211,-0.6402145131429037,-0.582104237874349,-0.0012870476643244426,0.24,203.0,0.6666666666666666
model_10,True,-23.623592039108278,0,9,False,DIAGNOSTIC_ONLY,-2.4892548243204753,-1.6683541615804036,-2.9010076904296875,-0.0030841978391011556,0.03666666666666667,283.0,0.9866666666666667,-1.5152532386779785,-1.4228014119466146,-1.7087488810221354,-0.0033580549558003743,0.13,253.0,0.84
model_15,True,-27.92380073308945,0,9,False,DIAGNOSTIC_ONLY,-3.699599316914876,-2.503440933227539,-4.520682525634766,-0.004840853015581767,0.02,290.0,1.0,-2.419386615753174,-2.205837631225586,-2.848140080769857,-0.00535056471824646,0.08666666666666667,270.0,0.9066666666666666
model_20,True,-30.632114367802938,0,9,False,DIAGNOSTIC_ONLY,-4.567086747487386,-3.0019730885823566,-5.624172922770183,-0.00639283021291097,0.03333333333333333,289.0,1.0,-3.0377740987141926,-2.707707239786784,-3.628202362060547,-0.007180774211883545,0.056666666666666664,279.0,0.9466666666666667
Final,True,-30.632114316463472,0,9,False,DIAGNOSTIC_ONLY,-4.567086722056071,-3.0019730885823566,-5.624172922770183,-0.006392829020818075,0.03333333333333333,289.0,1.0,-3.0377741050720215,-2.707707265218099,-3.6282022857666014,-0.007180772423744201,0.056666666666666664,279.0,0.9466666666666667
