feature,direction,threshold,objective,count,selected_count,coverage,mean_psnr_delta,median_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,>=,0.9725490808486938,-0.07457323005994161,600,541,0.9016666666666666,0.0224942684173584,0.01645660400390625,0.00557715098063151,0.043915049235026045,-2.1960834662119547e-05,0.545,42.755948066711426,40,66,0.03293819427490234,0.028860696156819663,0.02976697603861491
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,<=,0.9803921580314636,-0.03090886354446411,600,95,0.15833333333333333,-0.001624727249145508,0.0,-0.004547843933105469,-0.0006611887613932291,-2.969702084859212e-06,0.085,42.755948066711426,2,20,0.004241104125976562,0.003770128885904948,0.0039070224761962894
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,>=,0.9803921580314636,-0.05965768896738689,600,511,0.8516666666666667,0.02514651616414388,0.008905410766601562,0.00820203145345052,0.043915049235026045,-2.0581483840942383e-05,0.5183333333333333,42.755948066711426,40,58,0.032597166697184245,0.028580942153930665,0.029447965621948242
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,<=,0.98562091588974,-0.037662412182490036,600,123,0.205,-0.0010580698649088542,0.0,-0.002539927164713542,-2.8889973958333333e-05,-3.5042564074198404e-06,0.11,42.755948066711426,3,25,0.004151449203491211,0.003673108418782552,0.0036781756083170574
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,>=,0.98562091588974,-0.04520324192047119,600,483,0.805,0.027093830108642577,0.0009593963623046875,0.011820246378580729,0.0454845937093099,-1.9710461298624675e-05,0.5,42.755948066711426,38,51,0.03323415120442708,0.02912501335144043,0.030086342493693033
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,<=,0.9895424842834473,-0.05214587899843852,600,154,0.25666666666666665,-0.005331843694051107,0.0,-0.004800605773925781,-0.0009663645426432291,-7.4947873751322424e-06,0.13,42.755948066711426,4,31,0.0035053571065266926,0.0030219395955403644,0.0030622132619222003
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,>=,0.9895424842834473,-0.033847206020355236,600,452,0.7533333333333333,0.030280469258626302,0.0,0.013118667602539063,0.04661758422851563,-1.5952785809834797e-05,0.48,42.755948066711426,37,46,0.03329009373982748,0.029207092920939128,0.03014002482096354
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,<=,0.9921568632125854,-0.07095361210505167,600,183,0.305,-0.0077504316965738935,0.0,-0.007744712829589844,-0.0049114990234375,-1.2314915657043458e-05,0.15,42.755948066711426,8,40,0.002908592224121094,0.0026283550262451174,0.002607081731160482
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,>=,0.9921568632125854,-0.025655153687795005,600,428,0.7133333333333334,0.03072673797607422,0.0,0.013073654174804687,0.045326309204101564,-1.1995832125345866e-05,0.46,42.755948066711426,36,41,0.03304588953653971,0.028950061798095703,0.02985290845235189
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_fallback_invert_airlight_fallback_mean,<=,0.9947712421417236,-0.08159776887893677,600,223,0.37166666666666665,-0.00793275515238444,0.0,-0.008640098571777343,0.0026553599039713543,-1.2732942899068197e-05,0.185,42.755948066711426,9,47,0.003782672882080078,0.003261219660441081,0.0032907994588216145
