fold,feature,direction,threshold,calibration_objective,calibration_coverage,heldout_coverage,heldout_global_mean_delta,heldout_true_vs_zero_all_images,heldout_worst_regression_count_delta_le_-0.20
0,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_gt_invert_dta_stage3_conf_mean,>=,0.8675301522016525,0.027746701637903846,0.25,0.275,0.025185934702555337,0.020104153951009115,2
1,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_gt_invert_dta_stage3_conf_mean,>=,0.8677686452865601,0.02955324713389079,0.25,0.21666666666666667,0.015792671839396158,0.01433580716451009,3
2,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_gt_invert_dta_stage2_gate_mean,>=,0.012695950455963612,0.034348529616991676,0.4,0.5333333333333333,0.00889898935953776,0.029477469126383462,13
3,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_gt_invert_dta_stage3_conf_mean,>=,0.8677607178688049,0.0287930452823639,0.25,0.225,0.009157037734985352,0.008926105499267579,1
4,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_gt_invert_dta_stage3_conf_mean,>=,0.8674363195896149,0.025072321176528935,0.25,0.2833333333333333,0.02479861577351888,0.02781527837117513,2
