run_id,candidate,name,delta_psnr,delta_ssim,labels,low_t_failure,high_bright_low_texture,sky_like,edge_halo,color_shift,over_dehaze,under_dehaze,high_phys_delta,high_learned_delta,high_uncertainty,easy_A0_but_DTA_hurts,depth_mismatch,unknown
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,781_0.51_1.6.png,-1.3105871040836092,-0.00029546022415161133,low_t_failure;high_phys_delta;high_learned_delta;high_uncertainty;depth_mismatch,True,False,False,False,False,True,False,True,True,True,False,True,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,919_0.53_1.67.png,-0.9487751749533544,-0.00010824203491210938,low_t_failure;high_learned_delta,True,False,False,False,False,False,False,False,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,819_0.5_1.85.png,-0.8243451376555555,-0.0002377033233642578,low_t_failure;high_phys_delta;high_learned_delta;high_uncertainty;depth_mismatch,True,False,False,False,False,True,False,True,True,True,False,True,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,2326_0.78_0.7.png,-0.7920064149251829,-4.172325134277344e-05,easy_A0_but_DTA_hurts,False,False,False,False,False,False,False,False,False,False,True,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,880_0.52_0.56.png,-0.7648281969041903,-0.0004737377166748047,high_learned_delta;high_uncertainty;depth_mismatch,False,False,False,False,False,False,False,False,True,True,False,True,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,186_0.61_0.89.png,-0.7044792171525742,-3.0875205993652344e-05,high_phys_delta;high_learned_delta,False,False,False,False,False,True,False,True,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,2864_0.5_1.92.png,-0.6752139214752333,-0.00012856721878051758,low_t_failure;high_learned_delta,True,False,False,False,False,False,False,False,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,2953_0.65_1.26.png,-0.6351909666369764,-3.653764724731445e-05,easy_A0_but_DTA_hurts,False,False,False,False,False,False,False,False,False,False,True,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,651_0.83_1.45.png,-0.6265795937221625,-3.159046173095703e-05,low_t_failure;high_phys_delta,True,False,False,False,False,True,False,True,False,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,2404_0.65_1.05.png,-0.6122808770511767,-6.866455078125e-05,unknown,False,False,False,False,False,False,False,False,False,False,False,False,True
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,97_0.52_0.61.png,-0.5942222872059162,-3.3915042877197266e-05,low_t_failure;high_phys_delta;high_learned_delta,True,False,False,False,False,True,False,True,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,1425_0.84_1.75.png,-0.5776580745582436,-7.37309455871582e-05,low_t_failure;high_uncertainty;depth_mismatch,True,False,False,False,False,False,False,False,False,True,False,True,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,895_0.54_1.27.png,-0.573523065815408,-5.221366882324219e-05,low_t_failure;high_learned_delta,True,False,False,False,False,False,False,False,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,341_0.51_1.8.png,-0.5609685045639878,-9.989738464355469e-05,low_t_failure;high_phys_delta;high_learned_delta,True,False,False,False,False,True,False,True,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,2799_0.58_0.59.png,-0.5565371896529427,-2.5987625122070312e-05,high_uncertainty;depth_mismatch;easy_A0_but_DTA_hurts,False,False,False,False,False,False,False,False,False,True,True,True,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,297_0.85_0.87.png,-0.5074727058383672,-0.0005431771278381348,low_t_failure;high_phys_delta,True,False,False,False,False,True,False,True,False,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,1812_0.63_1.78.png,-0.5008518027501907,-0.00010389089584350586,high_learned_delta;easy_A0_but_DTA_hurts,False,False,False,False,False,False,False,False,True,False,True,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,220_0.56_1.69.png,-0.49599632512925496,-4.506111145019531e-05,low_t_failure;high_phys_delta;high_learned_delta,True,False,False,False,False,True,False,True,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,31_0.54_1.13.png,-0.4816926336888372,-0.00015854835510253906,low_t_failure;high_learned_delta,True,False,False,False,False,False,False,False,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,396_0.62_1.94.png,-0.4775910050754888,-3.904104232788086e-05,low_t_failure;high_learned_delta,True,False,False,False,False,False,False,False,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,420_0.54_1.64.png,-0.46888466101742665,-0.00017791986465454102,low_t_failure;high_learned_delta;high_uncertainty;depth_mismatch,True,False,False,False,False,False,False,False,True,True,False,True,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,2700_0.59_1.66.png,-0.4652280976305434,-7.110834121704102e-05,high_learned_delta,False,False,False,False,False,False,False,False,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,54_0.69_1.86.png,-0.46387399844594057,-0.00023943185806274414,low_t_failure;high_bright_low_texture;sky_like;high_phys_delta,True,True,True,False,False,True,False,True,False,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,2350_0.56_1.41.png,-0.457987364701296,-2.7358531951904297e-05,high_learned_delta,False,False,False,False,False,False,False,False,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,598_0.8_1.09.png,-0.4550057818336697,-0.00018227100372314453,low_t_failure;high_uncertainty;depth_mismatch,True,False,False,False,False,False,False,False,False,True,False,True,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,881_0.6_1.13.png,-0.44285569137443304,-1.0371208190917969e-05,low_t_failure;high_phys_delta;high_learned_delta,True,False,False,False,False,True,False,True,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,559_0.81_1.51.png,-0.41983200420683175,-6.651878356933594e-05,low_t_failure,True,False,False,False,False,False,False,False,False,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,344_0.57_1.11.png,-0.41557665711717107,-1.4126300811767578e-05,low_t_failure;high_phys_delta;high_learned_delta,True,False,False,False,False,True,False,True,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,218_0.71_1.25.png,-0.404587147841049,-1.4901161193847656e-06,low_t_failure;high_phys_delta;high_learned_delta,True,False,False,False,False,True,False,True,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,850_0.57_0.78.png,-0.40099824470563306,2.0265579223632812e-06,high_phys_delta;high_learned_delta;easy_A0_but_DTA_hurts,False,False,False,False,False,True,False,True,True,False,True,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,609_0.58_1.34.png,-0.39963010827754175,-0.00016576051712036133,unknown,False,False,False,False,False,False,False,False,False,False,False,False,True
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,862_0.69_1.5.png,-0.387564805494101,-6.985664367675781e-05,low_t_failure;high_phys_delta,True,False,False,False,False,True,False,True,False,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,226_0.56_0.7.png,-0.3862318388860615,-4.988908767700195e-05,high_learned_delta,False,False,False,False,False,False,False,False,True,False,False,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,2169_0.78_0.79.png,-0.3859329625247696,-2.5391578674316406e-05,easy_A0_but_DTA_hurts,False,False,False,False,False,False,False,False,False,False,True,False,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,830_0.87_0.66.png,-0.36651993695931395,-3.916025161743164e-05,low_t_failure;high_phys_delta;high_uncertainty;depth_mismatch,True,False,False,False,False,True,False,True,False,True,False,True,False
