fold,feature,direction,threshold,calibration_objective,calibration_coverage,heldout_coverage,heldout_global_mean_delta,heldout_true_vs_zero_all_images,heldout_worst_regression_count_delta_le_-0.20
0,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_conf_mean,>=,0.8675301522016525,0.02964575680096944,0.25,0.275,0.025524171193440755,0.02014334996541341,2
1,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_conf_mean,>=,0.8677686452865601,0.03165344460805257,0.25,0.21666666666666667,0.01663812001546224,0.014763402938842773,3
2,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.012695950455963612,0.03478414044777554,0.4,0.5333333333333333,0.012702608108520507,0.03141104380289714,12
3,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.06262040138244629,0.03247901598612467,0.25,0.24166666666666667,-0.0012201468149820964,0.0024539788564046225,5
4,DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_conf_mean,>=,0.8674363195896149,0.026275967041651405,0.25,0.2833333333333333,0.027841790517171224,0.029418341318766274,2
