variant,common_count,true_mean_dpsnr_vs_a0,true_hard_bottom25_dpsnr,true_easy_top25_dpsnr,true_mean_dssim_vs_a0,true_positive_ratio,true_strong_regressions,true_worst_regressions,zero_mean_dpsnr_vs_a0,zero_worst_regressions,mean_true_minus_zero,median_true_minus_zero,positive_surplus_ratio,mean_true_minus_shuffle,mean_true_minus_normal,true_minus_zero_worst_delta
wg16_tail06_s008_b08,600,-0.022292108535766603,-0.027151654561360677,-0.004157307942708333,-2.9302040735880535e-05,0.445,35,37,-0.03392000834147135,34,0.011627899805704752,0.0068912506103515625,0.645,0.010233961741129553,0.01041026433308919,3
wg16_tail08_s005_b10,600,-0.02299018859863281,-0.027368265787760415,-0.005293680826822917,-2.939105033874512e-05,0.43166666666666664,35,37,-0.03441272417704264,34,0.011422535578409831,0.006908416748046875,0.6416666666666667,0.010064767201741535,0.010225413640340172,3
wg18_tail10_s006_b12,600,-0.014496758778889974,-0.02271898905436198,0.0050089518229166664,-2.99262007077535e-05,0.49166666666666664,36,46,-0.03087671915690104,35,0.01637996037801107,0.009904861450195312,0.635,0.014400606155395507,0.014676532745361329,11
wg20_tail12_s006_b10,600,-0.040232582092285155,-0.03656578063964844,-0.026972630818684895,-2.9720067977905274e-05,0.35333333333333333,52,39,-0.0411905829111735,37,0.0009580008188883463,0.00054931640625,0.6366666666666667,0.0008674240112304735,0.0008686415354410837,2
