depth_mode,count,gate_mean,gate_p95_proxy,safe_delta_abs_mean,safe_delta_abs_p95_proxy,mean_dPSNR,dSSIM,worst
invert,600,3.3870259644572796e-05,0.0027102641432429665,8.142932649353914e-08,0.0023044422398864604,0.0010944846749211539,-2.248456080754598e-05,105
normal,600,3.4513811838223776e-05,0.0022832183576732253,1.0525135407668529e-07,0.003240300355537329,-0.0279915327150713,-2.1606187025705974e-05,101
shuffle,600,3.452277907247966e-05,0.0024520852454588747,1.0432698886712425e-07,0.003149504411461142,-0.027157092004081528,-2.2384623686472575e-05,103
zero,600,3.141108793139817e-05,0.0034951292731178305,1.0586492646957879e-07,0.003534849663750113,-0.03078649054994312,-2.265771230061849e-05,102
