run_id,candidate,airlight_mode,depth_mode,granularity,target_coverage,actual_coverage,count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,image,25.0,0.25,600,0.07455786375701007,0.0,0.0,0.37405868238680234,0.06254044465631739,0.06946346474017398,0.0,0.4267164243616355,0.0,0.663695809459319,9.824832280476889e-06,0.25,1.0,42.755946791850995,150,0,0,0.0259180489131437,0.023348221153972684,0.024078856329943513
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,image,40.0,0.4,600,0.0884213179730529,0.0,0.0,0.37405868238680234,0.07469336889112219,0.08779384541058897,0.0,0.4267164243616355,0.0,0.663695809459319,1.2079974015553792e-05,0.4,1.0,42.755946791850995,150,0,0,0.0321747048361454,0.028913818002121484,0.029621035266363387
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,image,60.0,0.5183333333333333,600,0.09118126878391351,0.007940806353214924,0.0,0.37405868238680234,0.07765047457991156,0.09090397276044106,0.0,0.4267164243616355,0.0,0.663695809459319,1.1927485466003419e-05,0.5183333333333333,1.0,42.755946791850995,150,0,0,0.03426550147709117,0.030711214440891553,0.031494773489696565
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,image,80.0,0.5183333333333333,600,0.09118126878391351,0.007940806353214924,0.0,0.37405868238680234,0.07765047457991156,0.09090397276044106,0.0,0.4267164243616355,0.0,0.663695809459319,1.1927485466003419e-05,0.5183333333333333,1.0,42.755946791850995,150,0,0,0.03426550147709117,0.030711214440891553,0.031494773489696565
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,image,100.0,0.5183333333333333,600,0.09118126878391351,0.007940806353214924,0.0,0.37405868238680234,0.07765047457991156,0.09090397276044106,0.0,0.4267164243616355,0.0,0.663695809459319,1.1927485466003419e-05,0.5183333333333333,1.0,42.755946791850995,150,0,0,0.03426550147709117,0.030711214440891553,0.031494773489696565
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,image,25.0,0.25,600,0.04863981484386637,0.0,0.0,0.25926325938391376,0.04305158870256643,0.04037649418026495,0.0,0.2928573558453677,0.0,0.4739755377497616,7.347961266835531e-06,0.25,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,image,40.0,0.4,600,0.0562466131369075,0.0,0.0,0.25926325938391376,0.05061103783762026,0.049352432112588836,0.0,0.2928573558453677,0.0,0.4739755377497616,8.314947287241618e-06,0.4,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,image,60.0,0.4666666666666667,600,0.056915767306822344,0.0,0.0,0.25926325938391376,0.05109055637194565,0.050487912196648686,0.0,0.2928573558453677,0.0,0.4739755377497616,8.768439292907716e-06,0.4666666666666667,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,image,80.0,0.4666666666666667,600,0.056915767306822344,0.0,0.0,0.25926325938391376,0.05109055637194565,0.050487912196648686,0.0,0.2928573558453677,0.0,0.4739755377497616,8.768439292907716e-06,0.4666666666666667,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,image,100.0,0.4666666666666667,600,0.056915767306822344,0.0,0.0,0.25926325938391376,0.05109055637194565,0.050487912196648686,0.0,0.2928573558453677,0.0,0.4739755377497616,8.768439292907716e-06,0.4666666666666667,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,image,25.0,0.25,600,0.051209642603037384,0.0,0.0,0.2745261140494185,0.04323021431431279,0.04492243202560246,0.0,0.30474680945994254,0.0,0.49446861249963237,7.501045862833659e-06,0.25,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,image,40.0,0.4,600,0.05950749997093142,0.0,0.0,0.2745261140494185,0.05184412722112929,0.05358289095285983,0.0,0.30474680945994254,0.0,0.49446861249963237,8.905728658040364e-06,0.4,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,image,60.0,0.47,600,0.06047005434302196,0.0,0.0,0.2745261140494185,0.05282568432197235,0.05490808329165901,0.0,0.30474680945994254,0.0,0.49446861249963237,8.399486541748046e-06,0.47,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,image,80.0,0.47,600,0.06047005434302196,0.0,0.0,0.2745261140494185,0.05282568432197235,0.05490808329165901,0.0,0.30474680945994254,0.0,0.49446861249963237,8.399486541748046e-06,0.47,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,shuffle,image,100.0,0.47,600,0.06047005434302196,0.0,0.0,0.2745261140494185,0.05282568432197235,0.05490808329165901,0.0,0.30474680945994254,0.0,0.49446861249963237,8.399486541748046e-06,0.47,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,image,25.0,0.25,600,0.050479007427066555,0.0,0.0,0.26855695169405064,0.043076547236776196,0.04398144368856668,0.0,0.30293220021661266,0.0,0.48663183579239655,8.105138937632242e-06,0.25,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,image,40.0,0.4,600,0.058800282706689515,0.0,0.0,0.26855695169405064,0.05131828435504692,0.05307036317789648,0.0,0.30293220021661266,0.0,0.48663183579239655,9.147425492604574e-06,0.4,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,image,60.0,0.47333333333333333,600,0.05968649529421695,0.0,0.0,0.26855695169405064,0.052103019391238965,0.05450353282552939,0.0,0.30293220021661266,0.0,0.48663183579239655,8.915464083353678e-06,0.47333333333333333,1.0,42.755946791850995,150,0,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,normal,image,80.0,0.47333333333333333,600,0.05968649529421695,0.0,0.0,0.26855695169405064,0.052103019391238965,0.05450353282552939,0.0,0.30293220021661266,0.0,0.48663183579239655,8.915464083353678e-06,0.47333333333333333,1.0,42.755946791850995,150,0,0,,,
