name,true_delta_psnr,baseline_delta_psnr,depth_surplus_psnr,normal_delta_psnr,shuffle_delta_psnr,zero_delta_psnr
1001_0.89_1.66.png,-0.15454864501953125,-0.153472900390625,-0.00107574462890625,-0.15496826171875,-0.15515899658203125,-0.153472900390625
1003_0.9_1.06.png,-0.29222869873046875,-0.29697418212890625,0.0047454833984375,-0.2968902587890625,-0.29784393310546875,-0.29697418212890625
1006_0.89_1.55.png,-0.038379669189453125,-0.037960052490234375,-0.00041961669921875,-0.038196563720703125,-0.037563323974609375,-0.037960052490234375
1010_0.91_1.13.png,-0.2622108459472656,-0.2564277648925781,-0.0057830810546875,-0.2682380676269531,-0.26256561279296875,-0.2564277648925781
1012_0.85_1.28.png,-0.3064918518066406,-0.3021583557128906,-0.00433349609375,-0.3137550354003906,-0.30565643310546875,-0.3021583557128906
1013_0.63_1.83.png,-0.17381668090820312,-0.15125274658203125,-0.022563934326171875,-0.14554977416992188,-0.14822769165039062,-0.15125274658203125
1017_0.91_1.44.png,-0.000370025634765625,-0.00118255615234375,0.000812530517578125,-0.00014495849609375,0.000186920166015625,-0.00118255615234375
1019_0.82_1.87.png,0.025402069091796875,0.003299713134765625,0.02210235595703125,0.003711700439453125,0.004119873046875,0.003299713134765625
1035_0.76_1.14.png,-0.058551788330078125,-0.09789657592773438,0.03934478759765625,-0.09767532348632812,-0.08426666259765625,-0.09789657592773438
1038_0.87_1.29.png,-0.043491363525390625,-0.04734039306640625,0.003849029541015625,-0.045154571533203125,-0.0449676513671875,-0.04734039306640625
1039_0.79_1.79.png,-0.07830810546875,-0.08588027954101562,0.007572174072265625,-0.08184432983398438,-0.08211517333984375,-0.08588027954101562
1040_0.78_2.0.png,-0.06599998474121094,-0.07365036010742188,0.0076503753662109375,-0.069732666015625,-0.07108688354492188,-0.07365036010742188
1049_0.97_1.09.png,0.001922607421875,0.00048065185546875,0.00144195556640625,0.00146484375,0.000576019287109375,0.00048065185546875
104_0.88_1.76.png,-0.1659832000732422,-0.15677452087402344,-0.00920867919921875,-0.16223716735839844,-0.1637401580810547,-0.15677452087402344
1063_0.51_1.61.png,-0.18238067626953125,-0.17726898193359375,-0.0051116943359375,-0.18059539794921875,-0.18009567260742188,-0.17726898193359375
1069_0.66_1.4.png,-0.14111709594726562,-0.13322830200195312,-0.0078887939453125,-0.14052200317382812,-0.13741302490234375,-0.13322830200195312
1072_0.58_0.58.png,0.010318756103515625,0.003292083740234375,0.00702667236328125,-0.00228118896484375,0.002231597900390625,0.003292083740234375
1079_0.77_1.21.png,0.0224151611328125,0.015659332275390625,0.006755828857421875,0.0164337158203125,0.017726898193359375,0.015659332275390625
108_0.96_0.98.png,-0.03355979919433594,-0.03953742980957031,0.005977630615234375,-0.03892707824707031,-0.03834342956542969,-0.03953742980957031
1090_0.54_0.58.png,-0.09885025024414062,-0.09445571899414062,-0.00439453125,-0.10044097900390625,-0.09592056274414062,-0.09445571899414062
1098_0.8_0.51.png,-0.058795928955078125,-0.09416961669921875,0.035373687744140625,-0.09435653686523438,-0.08878326416015625,-0.09416961669921875
1104_0.89_1.59.png,0.07896041870117188,0.06925201416015625,0.009708404541015625,0.06956291198730469,0.07025527954101562,0.06925201416015625
1108_0.58_1.2.png,-0.22464370727539062,-0.29681396484375,0.07217025756835938,-0.29567718505859375,-0.2888603210449219,-0.29681396484375
1116_0.63_1.62.png,0.005466461181640625,-0.029972076416015625,0.03543853759765625,-0.02783203125,-0.022060394287109375,-0.029972076416015625
1121_0.88_0.92.png,-0.08654022216796875,-0.11218643188476562,0.025646209716796875,-0.10980606079101562,-0.10604095458984375,-0.11218643188476562
1124_0.74_1.17.png,0.008129119873046875,-0.038318634033203125,0.04644775390625,-0.029239654541015625,-0.024688720703125,-0.038318634033203125
1125_0.72_1.76.png,0.2021636962890625,0.19486618041992188,0.007297515869140625,0.2001190185546875,0.1985015869140625,0.19486618041992188
1126_0.73_0.82.png,-0.020168304443359375,0.00079345703125,-0.020961761474609375,0.00415802001953125,0.00048828125,0.00079345703125
