variant,runs,gate_pass_count,mean_true_a0,hard_true_a0,dssim,positive_ratio,worst,strong,true_vs_zero,true_vs_shuffle,true_vs_normal,min_run_mean,max_run_worst,triage_pass
e1_feature_only,4,0,0.0791686248779297,0.05335114161173503,9.10612444082896e-06,0.5795833333333333,116.25,61.5,0.24989301681518555,0.21147643486658732,0.2477174218495687,0.046359901428222654,138,False
e2_tiny_residual,4,0,0.08031590382258098,0.05453053474426269,1.0413651665051777e-05,0.57875,115.75,61.25,0.25583478053410846,0.21348432064056397,0.24814648389816285,0.047710755666097004,137,False
e3_tsr_full,4,0,0.0759881869951884,0.05152000109354654,4.1884183883667e-06,0.5804166666666667,127.75,60.5,0.244546316464742,0.20483310461044313,0.23728806177775064,0.04899213473002116,139,False
e4_plus_film,4,0,0.08144622882207234,0.0572090752919515,7.860859235127766e-06,0.5895833333333332,123.0,58.75,0.21662126302719115,0.184871408144633,0.20889116525650026,0.05486403465270996,137,False
