run_id,airlight_mode,mean_true_a0,hard_true_a0,dssim,positive_ratio,worst,strong,true_vs_zero,true_vs_shuffle,true_vs_normal,gate_pass
v33_routerfusion_d1_loss_seed3407_f0_triage5full,fallback,0.04347846666971843,0.019883867899576822,-1.1780957380930583e-05,0.5966666666666667,96,51,0.06307885805765788,0.05588486035664877,0.058744290669759114,False
v33_routerfusion_d1_loss_seed3407_f0_triage5full,gt,0.04061452547709147,0.016523399353027345,-1.3118286927541097e-05,0.5916666666666667,94,51,0.06277129491170247,0.05600455602010091,0.05901747067769368,False
v33_routerfusion_d1_loss_seed3407_f1_triage5full,fallback,0.07436098098754883,0.08839739481608073,-4.575848579406738e-06,0.635,83,49,0.049218943913777666,0.04560627301534017,0.04779505093892415,False
v33_routerfusion_d1_loss_seed3407_f1_triage5full,gt,0.07369239489237467,0.0842129643758138,-6.3334902127583826e-06,0.635,78,49,0.04988029797871907,0.04640114784240722,0.04878542264302571,False
v33_routerfusion_d1_loss_seed3411_f0_triage5full,fallback,0.10644343694051107,0.11092765808105469,1.5988349914550782e-05,0.6716666666666666,64,52,0.055013624827067065,0.04848436355590821,0.05097189903259278,False
v33_routerfusion_d1_loss_seed3411_f0_triage5full,gt,0.10409316062927246,0.10766981760660807,1.4785528182983399e-05,0.6716666666666666,61,52,0.05496277809143066,0.04880639394124349,0.05145496368408203,False
v33_routerfusion_d1_loss_seed3411_f1_triage5full,fallback,0.046559168497721355,0.05683804829915365,-1.0277827580769856e-06,0.61,83,50,0.05489795684814453,0.05071071942647298,0.05294063886006673,False
v33_routerfusion_d1_loss_seed3411_f1_triage5full,gt,0.04567548751831055,0.05204060872395833,-3.1416614850362143e-06,0.6083333333333333,77,49,0.05560047149658203,0.05160158475240072,0.05407355308532715,False
v33_routerfusion_d2_lowphys_seed3407_f0_triage5full,fallback,0.04158578872680664,0.01885704040527344,-1.3437867164611816e-05,0.5966666666666667,95,50,0.06622009595235188,0.0576309871673584,0.06041231791178385,False
v33_routerfusion_d2_lowphys_seed3407_f0_triage5full,gt,0.039894847869873046,0.016895345052083333,-1.4262596766153971e-05,0.5916666666666667,94,49,0.06636441866556803,0.0579066530863444,0.06076071421305339,False
v33_routerfusion_d2_lowphys_seed3407_f1_triage5full,fallback,0.07287977536519369,0.08645633697509765,-6.0387452443440755e-06,0.63,81,49,0.051617342631022134,0.047005198796590174,0.04916211446126302,False
v33_routerfusion_d2_lowphys_seed3407_f1_triage5full,gt,0.07242743174235027,0.08407758076985677,-7.109443346659343e-06,0.63,77,49,0.052117888132731126,0.04752974192301433,0.04977182070414225,False
v33_routerfusion_d2_lowphys_seed3411_f0_triage5full,fallback,0.10464644432067871,0.10998645782470703,1.432865858078003e-05,0.67,64,51,0.05789735794067383,0.050098905563354494,0.05251717249552409,False
v33_routerfusion_d2_lowphys_seed3411_f0_triage5full,gt,0.10325456619262695,0.1080853017171224,1.3585189978281656e-05,0.6683333333333333,62,51,0.058119837443033846,0.05043457984924316,0.052928206125895175,False
v33_routerfusion_d2_lowphys_seed3411_f1_triage5full,fallback,0.04469226837158203,0.054676361083984375,-2.6927391688028973e-06,0.605,81,49,0.05750542004903157,0.05214724858601888,0.05432371457417806,False
v33_routerfusion_d2_lowphys_seed3411_f1_triage5full,gt,0.04410905202229818,0.05196723937988281,-3.939966360727946e-06,0.6016666666666667,77,49,0.05804641405741374,0.052733723322550455,0.0550152587890625,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,fallback,0.001094493865966797,-0.018031158447265626,-2.2379060586293537e-05,0.5183333333333333,105,47,0.031880941390991215,0.028251511255900065,0.02908601442972819,False
v33_routerfusion_d3_router_seed3407_f0_triage5full,gt,0.0010871664683024089,-0.018039360046386718,-2.2385517756144206e-05,0.5183333333333333,105,47,0.031881882349650066,0.02825307528177897,0.029087991714477537,False
v33_routerfusion_d3_router_seed3407_f1_triage5full,fallback,0.05145625432332357,0.06799751281738281,-3.011723359425863e-06,0.6216666666666667,70,47,0.026378828684488934,0.023250001271565755,0.024228105545043947,False
v33_routerfusion_d3_router_seed3407_f1_triage5full,gt,0.05145390510559082,0.06798442840576172,-3.0266245206197104e-06,0.6216666666666667,70,47,0.026380246480305992,0.023251800537109377,0.02423031489054362,False
v33_routerfusion_d3_router_seed3411_f0_triage5full,fallback,0.08700837771097819,0.09568119049072266,8.153518040974934e-06,0.6583333333333333,49,46,0.030165125528971354,0.026478856404622393,0.027205346425374352,False
v33_routerfusion_d3_router_seed3411_f0_triage5full,gt,0.08700231234232585,0.0956728998819987,8.159279823303222e-06,0.6583333333333333,49,46,0.030166041056315103,0.026480369567871094,0.02720745404561361,False
v33_routerfusion_d3_router_seed3411_f1_triage5full,fallback,-0.00841663360595703,-0.004167658487955729,-7.911821206410727e-06,0.4866666666666667,78,52,0.029965674082438155,0.0260677433013916,0.027037407557169598,False
v33_routerfusion_d3_router_seed3411_f1_triage5full,gt,-0.008420686721801757,-0.00418145497639974,-7.904469966888428e-06,0.4866666666666667,78,52,0.02996696472167969,0.026069679260253904,0.02703956604003906,False
