variant,common_count,true_mean_dpsnr_vs_a0,true_hard_bottom25_dpsnr,true_easy_top25_dpsnr,true_mean_dssim_vs_a0,true_positive_ratio,true_strong_regressions,true_worst_regressions,zero_mean_dpsnr_vs_a0,zero_strong_regressions,zero_worst_regressions,mean_true_minus_zero,median_true_minus_zero,positive_surplus_ratio,mean_true_minus_shuffle,mean_true_minus_normal,true_minus_zero_worst_delta
wg16_base_s008_b14,600,0.020820175806681315,0.002205823262532552,0.04109611511230469,-2.4475852648417154e-05,0.6033333333333334,38,76,-0.014473482767740886,31,37,0.0352936585744222,0.023303985595703125,0.6333333333333333,0.031013689041137694,0.031937325795491536,39
wg18_base_s008_b14,600,0.024403934478759767,0.006359659830729167,0.0432043202718099,-2.330621083577474e-05,0.605,39,76,-0.012226734161376953,33,38,0.03663066864013672,0.02567291259765625,0.6333333333333333,0.032140769958496095,0.03308355967203776,38
wg16_lite_s006_b12,600,0.019351078669230144,0.0012995529174804688,0.039784266153971355,-2.4625261624654133e-05,0.5933333333333334,38,75,-0.016124080022176107,31,36,0.03547515869140625,0.0238189697265625,0.635,0.0312047545115153,0.03214112281799317,39
wg16_tail04_s008_b12,600,0.005806061426798502,-0.011557197570800782,0.02921379089355469,-2.898454666137695e-05,0.5633333333333334,36,70,-0.02089370091756185,33,34,0.02669976234436035,0.016828536987304688,0.6216666666666667,0.023430519104003907,0.024054123560587566,36
