split,mapper,K,scale,policy,count,open_count,keep_count,open_keep_count,initial_weighted_delta_l1,projection_weighted_delta_l1,weighted_delta_l1_drop,mean_gain,mean_oracle_gain,oracle_recovery,hard_bottom25_gain,hard_bottom25_oracle_gain,easy_top25_gain,strong_reference_cut_psnr,strong_regressions,severe_regressions
confirm,convir_spatial_kenel_knn_9,16,0.25,apply_all_candidate,128,88,128,88,0.014093639857223514,0.013046541516883765,0.07429580654447278,0.0663137435913086,0.9063203930854797,0.07316810268998791,0.10115814208984375,1.2799328565597534,0.03573250770568848,38.53410720825195,0,0
confirm,convir_spatial_kenel_knn_9,16,0.5,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012331013886002525,0.12506534785033394,0.12937866151332855,0.9063203930854797,0.1427515727334254,0.20288068056106567,1.2799328565597534,0.06436741352081299,38.53410720825195,1,0
confirm,convir_spatial_kenel_knn_9,16,0.75,apply_all_candidate,128,88,128,88,0.014093639857223514,0.011905036895058497,0.1552901155653752,0.1887446790933609,0.9063203930854797,0.20825381458183675,0.3050197958946228,1.2799328565597534,0.08527004718780518,38.53410720825195,2,0
confirm,convir_spatial_kenel_knn_9,16,1.0,apply_all_candidate,128,88,128,88,0.014093639857223514,0.011768231259308934,0.16499702145593861,0.24408726394176483,0.9063203930854797,0.2693167513430802,0.4073631167411804,1.2799328565597534,0.09807991981506348,38.53410720825195,3,0
confirm,global_mean_coeff,16,0.25,apply_all_candidate,128,88,128,88,0.014093639857223514,0.013437793953772943,0.04653488453619214,0.03797481954097748,0.9063203930854797,0.041899994561190326,0.044999897480010986,1.2799328565597534,0.028847813606262207,38.53410720825195,0,0
confirm,global_mean_coeff,16,0.5,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012958311983396585,0.0805560440970848,0.07464155554771423,0.9063203930854797,0.08235669870960788,0.0897071361541748,1.2799328565597534,0.05521500110626221,38.53410720825195,1,0
confirm,global_mean_coeff,16,0.75,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012655521476730474,0.10204023907677413,0.10991379618644714,0.9063203930854797,0.12127476886209776,0.13410186767578125,1.2799328565597534,0.07895100116729736,38.53410720825195,1,0
confirm,global_mean_coeff,16,1.0,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012510927630933413,0.11229974955539271,0.143706277012825,0.9063203930854797,0.15856012742203776,0.17816168069839478,1.2799328565597534,0.09991252422332764,38.53410720825195,2,0
confirm,global_plus_spatial_kenel_knn_9,16,0.25,apply_all_candidate,128,88,128,88,0.014093639857223514,0.013066447940058436,0.07288336636746146,0.06543724238872528,0.9063203930854797,0.0722010040687163,0.09885162115097046,1.2799328565597534,0.037404656410217285,38.53410720825195,0,0
confirm,global_plus_spatial_kenel_knn_9,16,0.5,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012364717900372317,0.12267391350752163,0.1275675743818283,0.9063203930854797,0.14075328697783893,0.19807285070419312,1.2799328565597534,0.06752336025238037,38.53410720825195,1,0
confirm,global_plus_spatial_kenel_knn_9,16,0.75,apply_all_candidate,128,88,128,88,0.014093639857223514,0.011940970339416416,0.15274049426655212,0.18593375384807587,0.9063203930854797,0.20515234487340892,0.2975521683692932,1.2799328565597534,0.08964872360229492,38.53410720825195,1,0
confirm,global_plus_spatial_kenel_knn_9,16,1.0,apply_all_candidate,128,88,128,88,0.014093639857223514,0.011786166018634917,0.16372447869851953,0.24019955098628998,0.9063203930854797,0.2650271943772047,0.397142231464386,1.2799328565597534,0.1033710241317749,38.53410720825195,2,0
confirm,spatial_priors_kenel_knn_9,16,0.25,apply_all_candidate,128,88,128,88,0.014093639857223514,0.013092785806389482,0.07101458962860167,0.06203320622444153,0.9063203930854797,0.06844511797120166,0.09631490707397461,1.2799328565597534,0.035231828689575195,38.53410720825195,0,0
confirm,spatial_priors_kenel_knn_9,16,0.5,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012411756640553216,0.11933632714534498,0.12049481272697449,0.9063203930854797,0.13294946648696893,0.19268345832824707,1.2799328565597534,0.06291568279266357,38.53410720825195,1,0
confirm,spatial_priors_kenel_knn_9,16,0.75,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012009019782318229,0.1479121146860327,0.17492805421352386,0.9063203930854797,0.19300906781761612,0.2889857888221741,1.2799328565597534,0.08243227005004883,38.53410720825195,1,0
confirm,spatial_priors_kenel_knn_9,16,1.0,apply_all_candidate,128,88,128,88,0.014093639857223514,0.011875137092710349,0.15741162588145036,0.22501003742218018,0.9063203930854797,0.24826765362319098,0.3850705623626709,1.2799328565597534,0.09356176853179932,38.53410720825195,3,1
confirm,spatial_priors_ridge_10,16,0.25,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012871269448564494,0.0867320593574349,0.08073157072067261,0.9063203930854797,0.08907619351455816,0.13372623920440674,1.2799328565597534,0.014360904693603516,38.53410720825195,5,1
confirm,spatial_priors_ridge_10,16,0.5,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012314442860529561,0.1262411282477925,0.154084250330925,0.9063203930854797,0.17001079475477776,0.26506513357162476,1.2799328565597534,0.013578295707702637,38.53410720825195,5,4
confirm,spatial_priors_ridge_10,16,0.75,apply_all_candidate,128,88,128,88,0.014093639857223514,0.012390542549656557,0.12084155156654271,0.2193346917629242,0.9063203930854797,0.2420056896394227,0.3933384418487549,1.2799328565597534,-0.0027991533279418945,38.53410720825195,7,6
confirm,spatial_priors_ridge_10,16,1.0,apply_all_candidate,128,88,128,88,0.014093639857223514,0.013078172981957877,0.07205142784638227,0.27601268887519836,0.9063203930854797,0.3045420703108533,0.5178700685501099,1.2799328565597534,-0.03460407257080078,38.53410720825195,8,6
fit,convir_spatial_kenel_knn_9,16,0.25,apply_all_candidate,128,90,128,90,0.014803453060952654,0.013128805278311196,0.11312548334136364,0.07662542164325714,0.7615474611520767,0.1006180514702753,0.15056473016738892,1.4174764752388,0.022014617919921875,39.58205795288086,0,0
fit,convir_spatial_kenel_knn_9,16,0.5,apply_all_candidate,128,90,128,90,0.014803453060952654,0.011618242287210465,0.21516674255845614,0.15353836119174957,0.7615474611520767,0.20161364724330533,0.30279475450515747,1.4174764752388,0.04348945617675781,39.58205795288086,0,0
fit,convir_spatial_kenel_knn_9,16,0.75,apply_all_candidate,128,90,128,90,0.014803453060952654,0.010340934393855838,0.30145119849555135,0.23064854741096497,0.7615474611520767,0.3028682507352037,0.45660221576690674,1.4174764752388,0.06435513496398926,39.58205795288086,0,0
fit,convir_spatial_kenel_knn_9,16,1.0,apply_all_candidate,128,90,128,90,0.014803453060952654,0.009367821004656598,0.36718676608187617,0.3078475296497345,0.7615474611520767,0.4042394536829256,0.611871600151062,1.4174764752388,0.08453965187072754,39.58205795288086,0,0
fit,global_mean_coeff,16,0.25,apply_all_candidate,128,90,128,90,0.014803453060952654,0.014224222744897519,0.03912805435800529,0.026082023978233337,0.7615474611520767,0.034248717655464556,0.0370216965675354,1.4174764752388,0.011285781860351562,39.58205795288086,0,0
fit,global_mean_coeff,16,0.5,apply_all_candidate,128,90,128,90,0.014803453060952654,0.01377634939740163,0.06938270816423468,0.05130040645599365,0.7615474611520767,0.06736337401530547,0.07325458526611328,1.4174764752388,0.021535158157348633,39.58205795288086,0,0
fit,global_mean_coeff,16,0.75,apply_all_candidate,128,90,128,90,0.014803453060952654,0.0134670118360891,0.0902790193180475,0.0756194144487381,0.7615474611520767,0.09929704753311144,0.10868161916732788,1.4174764752388,0.030681371688842773,39.58205795288086,0,0
fit,global_mean_coeff,16,1.0,apply_all_candidate,128,90,128,90,0.014803453060952654,0.013298782469637428,0.10164321696564996,0.09900487959384918,0.7615474611520767,0.1300048711922348,0.14328497648239136,1.4174764752388,0.03866314888000488,39.58205795288086,1,0
fit,global_plus_spatial_kenel_knn_9,16,0.25,apply_all_candidate,128,90,128,90,0.014803453060952654,0.0131780456973029,0.10979920407469801,0.07440699636936188,0.7615474611520767,0.09770500220274941,0.1479206681251526,1.4174764752388,0.020655393600463867,39.58205795288086,0,0
fit,global_plus_spatial_kenel_knn_9,16,0.5,apply_all_candidate,128,90,128,90,0.014803453060952654,0.011717617315717367,0.20845377983970875,0.1489841341972351,0.7615474611520767,0.19563341984208102,0.2971843481063843,1.4174764752388,0.04070758819580078,39.58205795288086,0,0
fit,global_plus_spatial_kenel_knn_9,16,0.75,apply_all_candidate,128,90,128,90,0.014803453060952654,0.010486742442925462,0.2916016013462062,0.22364182770252228,0.7615474611520767,0.2936676164138144,0.4476873278617859,1.4174764752388,0.06008923053741455,39.58205795288086,0,0
fit,global_plus_spatial_kenel_knn_9,16,1.0,apply_all_candidate,128,90,128,90,0.014803453060952654,0.009545911674720834,0.3551564195586053,0.2982741594314575,0.7615474611520767,0.39166851003642683,0.5992995500564575,1.4174764752388,0.07873010635375977,39.58205795288086,0,0
fit,spatial_priors_kenel_knn_9,16,0.25,apply_all_candidate,128,90,128,90,0.014803453060952654,0.013205794017373295,0.10792475492042689,0.07291314005851746,0.7615474611520767,0.09574339588528562,0.14709091186523438,1.4174764752388,0.022392868995666504,39.58205795288086,0,0
fit,spatial_priors_kenel_knn_9,16,0.5,apply_all_candidate,128,90,128,90,0.014803453060952654,0.011766377108436959,0.20515996774608267,0.1458648443222046,0.7615474611520767,0.1915374310375072,0.29558324813842773,1.4174764752388,0.043995022773742676,39.58205795288086,0,0
fit,spatial_priors_kenel_knn_9,16,0.75,apply_all_candidate,128,90,128,90,0.014803453060952654,0.01054507579607304,0.28766107794890206,0.21874786913394928,0.7615474611520767,0.28724128211658045,0.44537144899368286,1.4174764752388,0.06467819213867188,39.58205795288086,0,0
fit,spatial_priors_kenel_knn_9,16,1.0,apply_all_candidate,128,90,128,90,0.014803453060952654,0.00959411556721764,0.35190015952938586,0.2914382070302963,0.7615474611520767,0.3826921129635252,0.5963236689567566,1.4174764752388,0.08429920673370361,39.58205795288086,0,0
fit,spatial_priors_ridge_10,16,0.25,apply_all_candidate,128,90,128,90,0.014803453060952654,0.012071727824347123,0.18453297520232317,0.12456493079662323,0.7615474611520767,0.16356817815160218,0.25002509355545044,1.4174764752388,0.03590810298919678,39.58205795288086,0,0
fit,spatial_priors_ridge_10,16,0.5,apply_all_candidate,128,90,128,90,0.014803453060952654,0.009575840611347357,0.35313466581619857,0.2512385845184326,0.7615474611520767,0.3299053536838746,0.5062100887298584,1.4174764752388,0.07167017459869385,39.58205795288086,0,0
fit,spatial_priors_ridge_10,16,0.75,apply_all_candidate,128,90,128,90,0.014803453060952654,0.0075136369794504216,0.49244024698066674,0.37991274893283844,0.7615474611520767,0.49886943140497453,0.768522322177887,1.4174764752388,0.10715389251708984,39.58205795288086,0,0
fit,spatial_priors_ridge_10,16,1.0,apply_all_candidate,128,90,128,90,0.014803453060952654,0.006285850235401051,0.5753794598112141,0.5104174166917801,0.7615474611520767,0.670237171980871,1.0368110537528992,1.4174764752388,0.1422029733657837,39.58205795288086,0,0
