low_size,K,mapper,family,candidate_scale,split,index,name,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,target_abs_mean,pred_abs_mean,pred_abs_max,pred_coeff_norm,pred_coeff_l1,pred_low_energy,scaled_pred_abs_mean,weighted_residual_norm,residual_mean,residual_std,residual_positive_frac,residual_negative_frac,weighted_den,initial_l1_num,final_l1_num,weighted_field_l1,nn_distance,confidence_proxy,feature_set,rank_group,open_rank_group,eval_target_split,knn_mean_distance,kenel_confidence
32,16,global_mean_coeff,global_mean,0.25,fit,0,1000_0.74_1.6.png,36.873966217041016,37.039154052734375,38.7684211730957,0.16518783569335938,1.8944549560546875,0.513637125492096,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.006135018076747656,0.01555277593433857,0.08207425475120544,0.015228972770273685,4.336384154157713e-05,0.001533754519186914,0.0015275599962930365,-0.0056021264754235744,0.0034612163435667753,0.062158335000276566,0.9378416538238525,102414.9375,1152.13427734375,1028.088623046875,0.010038463608366455,0.0,1.0,global,middle50,open_middle50,False,,
32,16,global_mean_coeff,global_mean,0.5,fit,0,1000_0.74_1.6.png,36.873966217041016,37.20530319213867,38.7684211730957,0.33133697509765625,1.8944549560546875,0.513637125492096,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.006135018076747656,0.01555277593433857,0.08207425475120544,0.015228972770273685,4.336384154157713e-05,0.003067509038373828,0.003055119992586073,-0.0056021264754235744,0.0034612163435667753,0.062158335000276566,0.9378416538238525,102414.9375,1152.13427734375,912.75634765625,0.008912336129251165,0.0,1.0,global,middle50,open_middle50,False,,
32,16,global_mean_coeff,global_mean,0.75,fit,0,1000_0.74_1.6.png,36.873966217041016,37.372276306152344,38.7684211730957,0.4983100891113281,1.8944549560546875,0.513637125492096,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.006135018076747656,0.01555277593433857,0.08207425475120544,0.015228972770273685,4.336384154157713e-05,0.00460126344114542,0.004582679839889231,-0.0056021264754235744,0.0034612163435667753,0.062158335000276566,0.9378416538238525,102414.9375,1152.13427734375,809.5716552734375,0.00790482008811886,0.0,1.0,global,middle50,open_middle50,False,,
32,16,global_mean_coeff,global_mean,1.0,fit,0,1000_0.74_1.6.png,36.873966217041016,37.53990173339844,38.7684211730957,0.6659355163574219,1.8944549560546875,0.513637125492096,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.006135018076747656,0.01555277593433857,0.08207425475120544,0.015228972770273685,4.336384154157713e-05,0.006135018076747656,0.006110239985172146,-0.0056021264754235744,0.0034612163435667753,0.062158335000276566,0.9378416538238525,102414.9375,1152.13427734375,723.0979614257812,0.007060473589858718,0.0,1.0,global,middle50,open_middle50,False,,
32,16,spatial_priors_ridge_10,spatial_priors_ridge,0.25,fit,0,1000_0.74_1.6.png,36.873966217041016,37.20322036743164,38.7684211730957,0.329254150390625,1.8944549560546875,0.8035765290260315,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.009921775199472904,0.03180169314146042,0.36603379249572754,0.06480971723794937,0.00013253992074169219,0.002480443799868226,0.0024685638270158954,-0.00960979051887989,0.006339703686535358,0.04309999942779541,0.9569000005722046,102414.9375,1152.13427734375,928.3522338867188,0.009064617491825534,0.0,1.0,spatial_priors,middle50,open_middle50,False,,
32,16,spatial_priors_ridge_10,spatial_priors_ridge,0.5,fit,0,1000_0.74_1.6.png,36.873966217041016,37.5411491394043,38.7684211730957,0.6671829223632812,1.8944549560546875,0.8035765290260315,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.009921775199472904,0.03180169314146042,0.36603379249572754,0.06480971723794937,0.00013253992074169219,0.004960887599736452,0.004937127654031791,-0.00960979051887989,0.006339703686535358,0.04309999942779541,0.9569000005722046,102414.9375,1152.13427734375,721.0454711914062,0.007040432663364231,0.0,1.0,spatial_priors,middle50,open_middle50,False,,
32,16,spatial_priors_ridge_10,spatial_priors_ridge,0.75,fit,0,1000_0.74_1.6.png,36.873966217041016,37.88774108886719,38.7684211730957,1.0137748718261719,1.8944549560546875,0.8035765290260315,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.009921775199472904,0.03180169314146042,0.36603379249572754,0.06480971723794937,0.00013253992074169219,0.0074413311667740345,0.007405690885088174,-0.00960979051887989,0.006339703686535358,0.04309999942779541,0.9569000005722046,102414.9375,1152.13427734375,546.5618896484375,0.005336739961867745,0.0,1.0,spatial_priors,middle50,open_middle50,False,,
32,16,spatial_priors_ridge_10,spatial_priors_ridge,1.0,fit,0,1000_0.74_1.6.png,36.873966217041016,38.24283981323242,38.7684211730957,1.3688735961914062,1.8944549560546875,0.8035765290260315,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.009921775199472904,0.03180169314146042,0.36603379249572754,0.06480971723794937,0.00013253992074169219,0.009921775199472904,0.009874255308063582,-0.00960979051887989,0.006339703686535358,0.04309999942779541,0.9569000005722046,102414.9375,1152.13427734375,440.15423583984375,0.0042977542786651,0.0,1.0,spatial_priors,middle50,open_middle50,False,,
32,16,spatial_priors_kenel_knn_9,spatial_priors_kenel_knn,0.25,fit,0,1000_0.74_1.6.png,36.873966217041016,37.07194900512695,38.7684211730957,0.1979827880859375,1.8944549560546875,0.5128514766693115,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.007945491932332516,0.023323288187384605,0.28117525577545166,0.04375140741467476,8.615654951427132e-05,0.001986372983083129,0.001988183212276316,-0.005108342040330172,0.0077499281615018845,0.17258749902248383,0.827412486076355,102414.9375,1152.13427734375,1006.9302368164062,0.009831868879638835,0.0,1.0,spatial_priors,middle50,open_middle50,False,12.812692642211914,0.15663008391857147
32,16,spatial_priors_kenel_knn_9,spatial_priors_kenel_knn,0.5,fit,0,1000_0.74_1.6.png,36.873966217041016,37.26797103881836,38.7684211730957,0.39400482177734375,1.8944549560546875,0.5128514766693115,1.0,0.9999957084655762,0.21336445212364197,1.0,0.011343074962496758,0.007945491932332516,0.023323288187384605,0.28117525577545166,0.04375140741467476,8.615654951427132e-05,0.003972745966166258,0.003976366424552632,-0.005108342040330172,0.0077499281615018845,0.17258749902248383,0.827412486076355,102414.9375,1152.13427734375,883.728271484375,0.008628900168829131,0.0,1.0,spatial_priors,middle50,open_middle50,False,12.812692642211914,0.15663008391857147
