name,bucket,original_psnr,candidate_psnr,delta_psnr,original_ssim,candidate_ssim,delta_ssim,gamma_mean,gamma_abs_mean,gamma_std,gamma_min,gamma_max,gamma_abs_gt_0.05,gamma_abs_gt_0.10,gamma_abs_gt_0.09,gate_mean,gate_std,gate_min,gate_max,gamma_base_abs_mean,effective_gamma_abs_mean,beta_present,beta_mean,beta_abs_mean,beta_std,beta_min,beta_max,beta_abs_gt_0.02,beta_abs_gt_0.05,beta_abs_gt_0.1
1000_0.73_1.8.png,medium_middle_50pct,24.101058959960938,23.613052368164062,-0.488006591796875,0.9698402881622314,0.9675661325454712,-0.002274155616760254,-1.6129348523463705e-08,3.229332037335553e-07,4.379974711810064e-07,-1.7600654018679052e-06,1.7842646684584906e-06,0.0,0.0,0.0,1.8035472749033943e-05,0.0,1.8035472749033943e-05,1.8035472749033943e-05,0.017905449494719505,3.229332037335553e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_0.5_1.76.png,hard_bottom_25pct,16.474328994750977,15.50505542755127,-0.969273567199707,0.9139453172683716,0.8994635939598083,-0.014481723308563232,-9.510755205610621e-08,1.9151716514898e-06,2.49615868597175e-06,-1.1185489711351693e-05,1.1166826880071312e-05,0.0,0.0,0.0,0.00011395395267754793,0.0,0.00011395395267754793,0.00011395395267754793,0.01680653914809227,1.9151716514898e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_0.83_1.44.png,hard_bottom_25pct,17.447486877441406,17.311580657958984,-0.13590621948242188,0.9196130037307739,0.9116523265838623,-0.007960677146911621,-6.028171810612548e-07,8.721905032871291e-06,1.1490782526379917e-05,-4.958236240781844e-05,5.1898234232794493e-05,0.0,0.0,0.0,0.000523328548297286,0.0,0.000523328548297286,0.000523328548297286,0.016666213050484657,8.721905032871291e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_0.67_1.36.png,hard_bottom_25pct,17.962190628051758,17.66730499267578,-0.29488563537597656,0.9280794858932495,0.923266589641571,-0.004812896251678467,-3.7570796962427266e-07,5.694505489373114e-06,7.385993740172125e-06,-3.088367520831525e-05,3.249817018513568e-05,0.0,0.0,0.0,0.00032820168416947126,0.0,0.00032820168416947126,0.00032820168416947126,0.017350628972053528,5.694505489373114e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0.94_0.98.png,hard_bottom_25pct,18.05660057067871,18.514690399169922,0.45808982849121094,0.9312795400619507,0.9353773593902588,0.0040978193283081055,-3.5266472764305945e-07,5.5253399295907e-06,7.0886508183320984e-06,-2.8059332180419005e-05,2.965495514217764e-05,0.0,0.0,0.0,0.0002997963747475296,0.0,0.0002997963747475296,0.0002997963747475296,0.018430309370160103,5.5253399295907e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0.91_1.41.png,hard_bottom_25pct,17.501113891601562,17.481903076171875,-0.0192108154296875,0.917473316192627,0.9099408984184265,-0.0075324177742004395,-7.003386599535588e-07,1.0064532034448348e-05,1.3286407920531929e-05,-5.7131899666273966e-05,5.993614831822924e-05,0.0,0.0,0.0,0.0006042830646038055,0.0,0.0006042830646038055,0.0006042830646038055,0.01665532775223255,1.0064532034448348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105_0.84_0.8.png,medium_middle_50pct,23.104873657226562,22.30298614501953,-0.8018875122070312,0.9712384939193726,0.9644575119018555,-0.00678098201751709,-2.177549918158661e-09,5.374553424530859e-08,6.576433975169493e-08,-2.386350956840033e-07,2.3813386462734343e-07,0.0,0.0,0.0,2.4213800315919798e-06,0.0,2.4213800315919798e-06,2.4213800315919798e-06,0.022196240723133087,5.374553424530859e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106_0.59_1.07.png,medium_middle_50pct,24.745882034301758,23.704692840576172,-1.041189193725586,0.9822303056716919,0.9739589095115662,-0.008271396160125732,-3.3875597882371267e-09,7.563073012306631e-08,9.412858048563066e-08,-3.705551705479593e-07,3.691538381644932e-07,0.0,0.0,0.0,3.7575944134005113e-06,0.0,3.7575944134005113e-06,3.7575944134005113e-06,0.0201274324208498,7.563073012306631e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_0.89_1.5.png,hard_bottom_25pct,20.71445083618164,20.283842086791992,-0.43060874938964844,0.9614100456237793,0.9551076889038086,-0.006302356719970703,-9.850523241539122e-08,1.7003153516270686e-06,2.175815325244912e-06,-8.383703971048817e-06,9.0882867880282e-06,0.0,0.0,0.0,9.26997818169184e-05,0.0,9.26997818169184e-05,9.26997818169184e-05,0.018342172726988792,1.7003153516270686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108_0.73_1.27.png,medium_middle_50pct,24.073863983154297,23.17626190185547,-0.8976020812988281,0.971202552318573,0.9671845436096191,-0.004018008708953857,-1.5631295369189502e-08,3.402865900170582e-07,4.2144088752138487e-07,-1.6513475884494255e-06,1.6614336573184119e-06,0.0,0.0,0.0,1.6997411876218393e-05,0.0,1.6997411876218393e-05,1.6997411876218393e-05,0.020019905641674995,3.402865900170582e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
