name,bucket,original_psnr,delta_psnr,input_brightness_mean,input_gray_std,input_local_contrast_mean,input_dark_channel_mean,input_dark_channel_p95,input_saturation_mean,input_saturation_std,baseline_residual_abs_mean,baseline_residual_abs_p95,baseline_multiscale_consistency_mean
1000_0.73_1.8.png,medium_middle_50pct,24.101058959960938,-0.1318359375,0.5425153970718384,0.18918195366859436,0.035410378128290176,0.4985450804233551,0.8549019694328308,0.19812609255313873,0.16481700539588928,0.06224110350012779,0.1503559648990631,0.02578512206673622
100_0.5_1.76.png,hard_bottom_25pct,16.474328994750977,0.2959556579589844,0.433109313249588,0.14609912037849426,0.032792314887046814,0.41277289390563965,0.6196078658103943,0.10295151174068451,0.08769567310810089,0.12439621239900589,0.2251099795103073,0.022469298914074898
101_0.83_1.44.png,hard_bottom_25pct,17.447486877441406,0.5565109252929688,0.7648988366127014,0.1792207807302475,0.029763078317046165,0.7536194920539856,0.9254902005195618,0.03483457490801811,0.05094998702406883,0.1611308604478836,0.379776269197464,0.029371488839387894
102_0.67_1.36.png,hard_bottom_25pct,17.962190628051758,0.5367794036865234,0.7318720817565918,0.18123094737529755,0.03286955505609512,0.7186785936355591,0.8941176533699036,0.042406413704156876,0.059658776968717575,0.13201402127742767,0.33952516317367554,0.027387823909521103
103_0.94_0.98.png,hard_bottom_25pct,18.05660057067871,1.1102981567382812,0.7041137218475342,0.1951216161251068,0.03295404091477394,0.690937340259552,0.8941176533699036,0.045051731169223785,0.060516782104969025,0.11445252597332001,0.3009353280067444,0.02623053826391697
104_0.91_1.41.png,hard_bottom_25pct,17.501113891601562,0.5370407104492188,0.7638772130012512,0.1796337366104126,0.028828080743551254,0.753143846988678,0.9254902005195618,0.033344805240631104,0.0490138866007328,0.16422386467456818,0.38141441345214844,0.029440956190228462
105_0.84_0.8.png,medium_middle_50pct,23.104873657226562,0.18441390991210938,0.5297302007675171,0.1878500133752823,0.03444548323750496,0.4399736225605011,0.6235294342041016,0.24913297593593597,0.11471915245056152,0.0530782975256443,0.11498377472162247,0.034685369580984116
106_0.59_1.07.png,medium_middle_50pct,24.745882034301758,0.8516311645507812,0.49648517370224,0.15622180700302124,0.03350627422332764,0.4127574563026428,0.572549045085907,0.2507217824459076,0.11506502330303192,0.043989576399326324,0.10192178189754486,0.03497990593314171
107_0.89_1.5.png,hard_bottom_25pct,20.71445083618164,0.2730236053466797,0.6886621713638306,0.1622081995010376,0.026743309572339058,0.6379797458648682,0.7882353067398071,0.12629657983779907,0.06795250624418259,0.16248929500579834,0.3721191883087158,0.04200650379061699
108_0.73_1.27.png,medium_middle_50pct,24.073863983154297,0.30913734436035156,0.5780685544013977,0.16036854684352875,0.031091179698705673,0.5075624585151672,0.6666666865348816,0.19258815050125122,0.09300938993692398,0.08788996189832687,0.20103523135185242,0.03471904247999191
109_0.74_1.74.png,medium_middle_50pct,23.046205520629883,3.1944122314453125,0.7215600609779358,0.21920651197433472,0.026971928775310516,0.7085846662521362,0.9372549057006836,0.049395013600587845,0.0529131144285202,0.16121211647987366,0.3784012198448181,0.02870657853782177
10_0.6_1.67.png,medium_middle_50pct,26.726146697998047,2.2548294067382812,0.6871325373649597,0.12554512917995453,0.03472239151597023,0.6656792759895325,0.7921568751335144,0.06408648192882538,0.049421072006225586,0.09627272933721542,0.28758057951927185,0.032489173114299774
110_0.68_1.22.png,medium_middle_50pct,22.46883201599121,3.1977710723876953,0.6382386684417725,0.25536924600601196,0.032671403139829636,0.6202974319458008,0.9098039269447327,0.0781470537185669,0.0692734494805336,0.07873348891735077,0.19061142206192017,0.02462063357234001
