name,bucket,original_psnr,candidate_psnr,delta_psnr,original_ssim,candidate_ssim,delta_ssim,gamma_mean,gamma_abs_mean,gamma_std,gamma_min,gamma_max,gamma_abs_gt_0.05,gamma_abs_gt_0.10,gamma_abs_gt_0.09,gate_mean,gate_std,gate_min,gate_max,gamma_base_abs_mean,effective_gamma_abs_mean,beta_present,beta_mean,beta_abs_mean,beta_std,beta_min,beta_max,beta_abs_gt_0.02,beta_abs_gt_0.05,beta_abs_gt_0.1
1000_0.73_1.8.png,medium_middle_50pct,24.101058959960938,23.54981231689453,-0.5512466430664062,0.9698402881622314,0.9680745005607605,-0.0017657876014709473,-7.510134736321561e-09,1.638181430507757e-07,2.2381428266271541e-07,-9.821526418818394e-07,1.0002988801716128e-06,0.0,0.0,0.0,1.0152824870601762e-05,0.0,1.0152824870601762e-05,1.0152824870601762e-05,0.01613522879779339,1.638181430507757e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_0.5_1.76.png,hard_bottom_25pct,16.474328994750977,18.562808990478516,2.088479995727539,0.9139453172683716,0.9494120478630066,0.03546673059463501,-4.272046538744689e-08,8.8984677404369e-07,1.1677806242005317e-06,-5.869810593139846e-06,5.89462615607772e-06,0.0,0.0,0.0,6.017105988576077e-05,0.0,6.017105988576077e-05,6.017105988576077e-05,0.014788619242608547,8.8984677404369e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_0.83_1.44.png,hard_bottom_25pct,17.447486877441406,20.73870849609375,3.2912216186523438,0.9196130037307739,0.9534816741943359,0.03386867046356201,-2.558195149049425e-07,4.115222964173881e-06,5.476560545503162e-06,-2.5518158508930355e-05,2.7262913135928102e-05,0.0,0.0,0.0,0.0002758660411927849,0.0,0.0002758660411927849,0.0002758660411927849,0.014917468652129173,4.115222964173881e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_0.67_1.36.png,hard_bottom_25pct,17.962190628051758,21.698528289794922,3.736337661743164,0.9280794858932495,0.9618777632713318,0.033798277378082275,-1.6297428828693228e-07,2.7469925498735392e-06,3.59360114998708e-06,-1.620757029741071e-05,1.7402317098458298e-05,0.0,0.0,0.0,0.00017640250734984875,0.0,0.00017640250734984875,0.00017640250734984875,0.01557229831814766,2.7469925498735392e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0.94_0.98.png,hard_bottom_25pct,18.05660057067871,21.362857818603516,3.3062572479248047,0.9312795400619507,0.9605991244316101,0.029319584369659424,-1.5551866283658455e-07,2.7210703592572827e-06,3.5182347346562892e-06,-1.5283372704288922e-05,1.618959504412487e-05,0.0,0.0,0.0,0.00016431215044576675,0.0,0.00016431215044576675,0.00016431215044576675,0.016560371965169907,2.7210703592572827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0.91_1.41.png,hard_bottom_25pct,17.501113891601562,20.529964447021484,3.028850555419922,0.917473316192627,0.9502911567687988,0.032817840576171875,-3.0158372510413756e-07,4.821649326913757e-06,6.430471330531873e-06,-2.986053550557699e-05,3.198434569640085e-05,0.0,0.0,0.0,0.0003235700132790953,0.0,0.0003235700132790953,0.0003235700132790953,0.014901410788297653,4.821649326913757e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105_0.84_0.8.png,medium_middle_50pct,23.104873657226562,22.27073860168457,-0.8341350555419922,0.9712384939193726,0.964338481426239,-0.006900012493133545,-1.4100546286144322e-09,3.6304573569623244e-08,4.4813759814132936e-08,-1.787783361351103e-07,1.775052425045942e-07,0.0,0.0,0.0,1.8146191678169998e-06,0.0,1.8146191678169998e-06,1.8146191678169998e-06,0.02000671625137329,3.6304573569623244e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106_0.59_1.07.png,medium_middle_50pct,24.745882034301758,21.9488525390625,-2.797029495239258,0.9822303056716919,0.9677187204360962,-0.014511585235595703,-2.3777120272683305e-09,5.539762071293808e-08,6.977477795544473e-08,-3.0666745942653506e-07,3.031941275821737e-07,0.0,0.0,0.0,3.1055851650307886e-06,0.0,3.1055851650307886e-06,3.1055851650307886e-06,0.017838062718510628,5.539762071293808e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_0.89_1.5.png,hard_bottom_25pct,20.71445083618164,20.304899215698242,-0.40955162048339844,0.9614100456237793,0.9391984343528748,-0.02221161127090454,-4.445433532396237e-08,8.411438443545194e-07,1.0782772505990579e-06,-4.489642833505059e-06,4.905436526314588e-06,0.0,0.0,0.0,5.035667709307745e-05,0.0,5.035667709307745e-05,5.035667709307745e-05,0.01670372113585472,8.411438443545194e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108_0.73_1.27.png,medium_middle_50pct,24.073863983154297,22.64357566833496,-1.430288314819336,0.971202552318573,0.9602656364440918,-0.010936915874481201,-9.245573195926227e-09,2.1304175845671125e-07,2.65636373342204e-07,-1.1412015510359197e-06,1.1436502518336056e-06,0.0,0.0,0.0,1.1760572306229733e-05,0.0,1.1760572306229733e-05,1.1760572306229733e-05,0.018114913254976273,2.1304175845671125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109_0.74_1.74.png,medium_middle_50pct,23.046205520629883,21.650131225585938,-1.3960742950439453,0.9462606310844421,0.9306321144104004,-0.015628516674041748,-1.7665313123416126e-07,3.261216761529795e-06,4.1407843127672095e-06,-1.5860163330216892e-05,1.7801627109292895e-05,0.0,0.0,0.0,0.00018097647989634424,0.0,0.00018097647989634424,0.00018097647989634424,0.018020113930106163,3.261216761529795e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_0.6_1.67.png,medium_middle_50pct,26.726146697998047,29.483417510986328,2.7572708129882812,0.9845330119132996,0.9833186864852905,-0.0012143254280090332,-9.072353179817583e-08,1.5986165635695215e-06,2.1216601453488693e-06,-1.1780184649978764e-05,1.1764236660383176e-05,0.0,0.0,0.0,0.00011790504504460841,0.0,0.00011790504504460841,0.00011790504504460841,0.013558508828282356,1.5986165635695215e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110_0.68_1.22.png,medium_middle_50pct,22.46883201599121,23.224714279174805,0.7558822631835938,0.9412082433700562,0.9521411657333374,0.01093292236328125,-4.580385493113681e-08,1.0478319154572091e-06,1.273639554710826e-06,-4.701935722550843e-06,4.922203061141772e-06,0.0,0.0,0.0,4.97095134051051e-05,0.0,4.97095134051051e-05,4.97095134051051e-05,0.021079104393720627,1.0478319154572091e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
