control_id,control,sample_index,sample_name,eligible_mask,a0_psnr,teacher_psnr,teacher_blend_psnr,teacher_blend_delta,pred_psnr,delta_psnr_vs_A0
a0_baseline,A0 baseline,0,1000_0.74_1.6.png,True,41.62982940673828,37.51722717285156,41.97344970703125,0.34362030029296875,41.62982940673828,0.0
a0_baseline,A0 baseline,1,1001_0.89_1.66.png,True,38.71514129638672,34.78171920776367,38.92578887939453,0.2106475830078125,38.71514129638672,0.0
a0_baseline,A0 baseline,2,1002_0.73_1.47.png,False,41.098602294921875,26.04824447631836,32.46588897705078,-8.632713317871094,41.098602294921875,0.0
a0_baseline,A0 baseline,3,1003_0.9_1.06.png,False,44.92559814453125,29.73453712463379,35.659488677978516,-9.266109466552734,44.92559814453125,0.0
a0_baseline,A0 baseline,4,1004_0.91_1.17.png,True,40.18611145019531,35.622169494628906,41.705841064453125,1.5197296142578125,40.18611145019531,0.0
a0_baseline,A0 baseline,5,1005_0.74_1.81.png,False,40.405696868896484,35.4116096496582,39.278160095214844,-1.1275367736816406,40.405696868896484,0.0
a0_baseline,A0 baseline,6,1006_0.89_1.55.png,False,40.54167938232422,34.90186309814453,38.4344596862793,-2.107219696044922,40.54167938232422,0.0
a0_baseline,A0 baseline,7,1007_0.68_1.25.png,True,41.49965286254883,40.12579345703125,42.36834716796875,0.8686943054199219,41.49965286254883,0.0
a0_baseline,A0 baseline,8,1008_0.52_1.98.png,True,40.41258239746094,37.07012939453125,40.80012512207031,0.387542724609375,40.41258239746094,0.0
a0_baseline,A0 baseline,9,1009_0.84_0.56.png,False,46.615142822265625,42.80994415283203,46.17594909667969,-0.4391937255859375,46.615142822265625,0.0
a0_baseline,A0 baseline,10,100_0.65_1.43.png,False,43.655033111572266,38.68219757080078,42.57041549682617,-1.0846176147460938,43.655033111572266,0.0
a0_baseline,A0 baseline,11,1010_0.91_1.13.png,False,43.79768753051758,40.79216384887695,43.65687942504883,-0.14080810546875,43.79768753051758,0.0
a0_baseline,A0 baseline,12,1011_0.79_0.66.png,False,47.10219955444336,41.326560974121094,45.67417907714844,-1.4280204772949219,47.10219955444336,0.0
