teacher_id,split,count,teacher_worse_rate,p05_delta_vs_A0,cvar5_delta_vs_A0,severe_regression_rate_vs_A0
udpnet_full,all,600,0.47,-2.916111373901367,-4.341756502787272,0.42
udpnet_full,val_hard,300,0.39,-2.343693065643311,-3.363993199666341,0.3466666666666667
udpnet_full,val_regular,300,0.55,-3.535603141784668,-5.113126881917318,0.49333333333333335
wdmamba_alpha0p5,all,600,0.05,0.008437538146972623,-0.7438251495361328,0.03666666666666667
wdmamba_alpha0p5,val_hard,300,0.0033333333333333335,1.6113801956176756,0.953039805094401,0.0033333333333333335
wdmamba_alpha0p5,val_regular,300,0.09666666666666666,-0.46754302978515627,-1.1259328206380208,0.07
wdmamba_full,all,600,0.23166666666666666,-2.9605571746826174,-4.092458724975586,0.20666666666666667
wdmamba_full,val_hard,300,0.03666666666666667,0.5669340133666991,-1.24864501953125,0.023333333333333334
wdmamba_full,val_regular,300,0.4266666666666667,-3.638456916809082,-4.6426544189453125,0.39
