insertion_point,count,feature_delta_energy,output_rgb_delta_energy,psnr_drop_per_unit_feature_delta,lowfreq_output_ratio,highfreq_output_leakage,easy_regression_rate,hard_response_gain_proxy,jacobian_amplification
S4_encoder_late,16,0.01685122324852273,0.0010559979618847137,5.665456808495082,0.9388363659381866,0.061163634061813354,0.5,-0.12636375427246094,0.06604787150525941
S5_bottleneck_mid,16,0.006106924818595871,0.00045808502909494564,3.5964641696903814,0.9345235787332058,0.0654764212667942,0.0,-0.05610084533691406,0.07501750645684595
S6_decoder_early,16,0.0035676844127010554,0.0002269161827825883,1.7764987087769528,0.9396363869309425,0.060363613069057465,0.25,0.010565757751464844,0.0617292629579871
decoder_mid,16,0.003080446578678675,0.0005403321692938334,12.512698763818504,0.8816655613481998,0.11833443865180016,0.75,-0.030530929565429688,0.16849724808164265
decoder_pre_output_feature,16,0.0017335658303636592,0.0008909131574910134,50.190538060628526,0.6989548429846764,0.30104515701532364,1.0,-0.08628177642822266,0.5148461993590986
