check,sample_name,sample_index,base_psnr_scan_crop,base_psnr,before_psnr,after_psnr,psnr_gain_vs_A0,loss_start,loss_end,loss_drop,train_steps,trainable_param_count,max_grad_norm_before_clip,gradient_finite,update_norm,identity_mean_abs_vs_A0_after,pass,positive_psnr_gain,reverse_psnr_gain,positive_loss_drop,reverse_loss_drop
lowfreq_positive_delta,1008_0.52_1.98.png,8,39.63625717163086,41.24489212036133,41.24489212036133,41.25096893310547,0.006076812744140625,0.005348064936697483,0.005340951960533857,7.112976163625717e-06,24,50657,4.556635758490302e-05,True,0.3569680007507801,2.327049514860846e-05,True,,,,
lowfreq_sign_flip_control,1008_0.52_1.98.png,8,39.63625717163086,41.24489212036133,41.24489212036133,41.232967376708984,-0.01192474365234375,0.0052335672080516815,0.005219445563852787,1.41216441988945e-05,24,50657,0.00013113650493323803,True,0.3576572518656554,4.786219142260961e-05,True,,,,
sign_flip_positive_vs_reverse,1008_0.52_1.98.png,,,,,,,,,,,,,,,,True,0.006076812744140625,-0.01192474365234375,7.112976163625717e-06,1.41216441988945e-05
