control_id,control,count,mean_delta,hard_gain,easy_gain,p05,cvar5,severe,strong_reference_regression_rate,eligible_mask_coverage,loss_start,loss_end,loss_drop,max_grad_norm_before_clip,gradient_finite,update_norm,train_steps,trainable_param_count,gate_pass,mask_effect_easy_vs_unmasked,mask_effect_p05_vs_unmasked
a0_baseline,A0 baseline,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,,,,,True,0.0,0,0,False,,
gt_only_bilfcf,GT-only BILFCF,32,0.000741124153137207,0.0010371208190917969,0.0006175041198730469,-0.0004222869873046875,-0.0006847381591796875,0.0,0.0,0.15625,0.008319372311234474,0.009164579212665558,-0.0008452069014310837,3.270494926255196e-05,True,0.1310449950303241,24,50657,False,,
unmasked_teacher_distill,unmasked teacher distill,32,0.0005345344543457031,0.0010886192321777344,0.0005559921264648438,-0.0018138885498046875,-0.0020427703857421875,0.0,0.0,0.15625,0.014801685698330402,0.008029027841985226,0.006772657856345177,8.218255243264139e-05,True,0.17078601158391032,24,50657,False,,
teacher_benefit_masked_ll_delta,teacher-benefit-masked LL delta distill,32,0.0004087686538696289,0.0008554458618164062,0.00017261505126953125,-0.0014444351196289062,-0.0017547607421875,0.0,0.0,0.15625,0.0041841850616037846,0.0010000313632190228,0.003184153698384762,2.4002923964872025e-05,True,0.1225403018496516,24,50657,False,,
teacher_benefit_masked_ll_delta_preservation,teacher-benefit-masked LL delta + preservation,32,0.0006858110427856445,0.0013403892517089844,0.0002980232238769531,-0.00252532958984375,-0.00292205810546875,0.0,0.0,0.15625,0.0043341973796486855,0.001150058233179152,0.0031841391464695334,3.2134084904100746e-05,True,0.1465542847508759,24,50657,False,-0.0002579689025878906,-0.0007114410400390625
