cell,d_ref_gain_db,d_rep_gain_db,groups,selected_hard_groups,selected_severe_groups,worse_operator_gain_db
C1_ALIGNED_RELATIVE_CONTEXT,0.09306160842224154,0.09249410474862063,384,1,10,0.09249410474862063
C0_LOCAL_ZERO_PAD,0.08883966738453568,0.08815890175730322,384,2,11,0.08815890175730322
G1_GENERIC_NONACTION_CONTEXT,0.08855455063458802,0.08791391616513235,384,2,10,0.08791391616513235
S1_WITHIN_IMAGE_CONTEXT_SHUFFLE,0.08997603153561336,0.089234853300637,384,2,8,0.089234853300637
I1_FIXED_ACTION_ID_PERMUTATION,0.09156844166932919,0.09106170501209727,384,1,7,0.09106170501209727
