cell,d_ref_gain_db,d_rep_gain_db,final_loss,groups,initial_loss,record_type,seed,test_fold,worse_operator_gain_db
,0.09123732449013605,0.09079836678145647,,192,,replay,3407,0,0.09079836678145647
,0.0921943573382471,0.09134566113586184,,192,,replay,3407,1,0.09134566113586184
,0.09171584091419156,0.09107201395865916,,384,,replay,3407,pooled,0.09107201395865916
,0.08847949130881926,0.08790699122386958,,192,,replay,3411,0,0.08790699122386958
,0.08623488058366853,0.08566651184477096,,192,,replay,3411,1,0.08566651184477096
,0.0873571859462439,0.08678675153432026,,384,,replay,3411,pooled,0.08678675153432026
C1_ALIGNED_RELATIVE_CONTEXT,,,0.4698847532272339,,1.9842893878618877,training,3407,0,
C1_ALIGNED_RELATIVE_CONTEXT,,,0.4737260739008586,,1.5879316528638203,training,3411,0,
C0_LOCAL_ZERO_PAD,,,0.4757048587004344,,2.203396439552307,training,3407,0,
C0_LOCAL_ZERO_PAD,,,0.4786600073178609,,1.7687367796897888,training,3411,0,
G1_GENERIC_NONACTION_CONTEXT,,,0.45995209614435834,,1.9325474103291829,training,3407,0,
G1_GENERIC_NONACTION_CONTEXT,,,0.47762725750605267,,1.4931827783584595,training,3411,0,
S1_WITHIN_IMAGE_CONTEXT_SHUFFLE,,,0.4716552297274272,,1.9348695079485576,training,3407,0,
S1_WITHIN_IMAGE_CONTEXT_SHUFFLE,,,0.4826961209376653,,1.6000940004984539,training,3411,0,
I1_FIXED_ACTION_ID_PERMUTATION,,,0.4627590825160344,,1.91806165377299,training,3407,0,
I1_FIXED_ACTION_ID_PERMUTATION,,,0.4690698484579722,,1.5898858904838562,training,3411,0,
C1_ALIGNED_RELATIVE_CONTEXT,,,0.46832867463429767,,1.9374374747276306,training,3407,1,
C1_ALIGNED_RELATIVE_CONTEXT,,,0.48270441095034283,,1.616947849591573,training,3411,1,
C0_LOCAL_ZERO_PAD,,,0.4658898413181305,,2.178268790245056,training,3407,1,
C0_LOCAL_ZERO_PAD,,,0.4741007586320241,,1.7310775518417358,training,3411,1,
G1_GENERIC_NONACTION_CONTEXT,,,0.46994029482205707,,1.896300216515859,training,3407,1,
G1_GENERIC_NONACTION_CONTEXT,,,0.4900974730650584,,1.5141545534133911,training,3411,1,
S1_WITHIN_IMAGE_CONTEXT_SHUFFLE,,,0.47168665130933124,,1.8896651864051819,training,3407,1,
S1_WITHIN_IMAGE_CONTEXT_SHUFFLE,,,0.4839691122372945,,1.6303943395614624,training,3411,1,
I1_FIXED_ACTION_ID_PERMUTATION,,,0.4588782489299774,,1.89174485206604,training,3407,1,
I1_FIXED_ACTION_ID_PERMUTATION,,,0.4889870484670003,,1.60659521818161,training,3411,1,
