selector,seed,group,bins,min_mean_dPSNR,min_hard_bottom25_dPSNR,min_positive_ratio,max_severe_loss_per_600,group_pass
nested_utility,3407,A0_PSNR_q4,4,1.9438353421395285,2.0442382267543246,0.9473684210526315,31.57894736842105,True
nested_utility,3407,FSNet_A0_diff_abs_q4,4,2.169732411702474,2.9183957236153737,0.9649122807017544,21.052631578947366,True
nested_utility,3407,FSNet_A0_diff_signed_q4,4,2.256402802049068,2.968290056501116,0.9649122807017544,21.052631578947366,True
nested_utility,3407,WD0375_FS050_disagreement_q4,4,2.4733433974416634,3.0954621178763255,0.9649122807017544,21.052631578947366,True
nested_utility,3407,WDMamba_A0_diff_abs_q4,4,1.9253914147092586,1.9699905940464564,0.9473684210526315,31.57894736842105,True
nested_utility,3407,WDMamba_A0_diff_signed_q4,4,2.271102394376482,2.8643617630004883,0.9642857142857143,21.428571428571427,True
nested_utility,3407,airlight_q4,4,2.446231206258138,3.336364882332938,0.9649122807017544,21.052631578947366,True
nested_utility,3407,dark_channel_q4,4,2.4236396655701755,3.468402862548828,0.9649122807017544,21.052631578947366,True
nested_utility,3407,depth_q4,4,2.5141569104110983,3.2750888551984514,0.9649122807017544,21.052631578947366,True
nested_utility,3407,edge_density_q4,4,2.71847631220232,3.5066633224487305,0.9821428571428571,10.714285714285714,True
nested_utility,3407,haze_density_q4,4,2.3933385213216147,2.7939205169677734,0.9649122807017544,21.052631578947366,True
nested_utility,3407,low_texture_q4,4,2.6018193897448088,3.5055205481392995,0.9821428571428571,10.714285714285714,True
nested_utility,3407,sky_highlight_proxy_q4,4,2.5299859297902962,2.9754412514822826,0.9649122807017544,21.052631578947366,True
nested_utility,3407,split,2,2.420195693269782,3.284070474130136,0.9724770642201835,16.51376146788991,True
nested_utility,3407,transmission_q4,4,2.3933385213216147,2.7939205169677734,0.9649122807017544,21.052631578947366,True
nested_utility,2026,A0_PSNR_q4,4,2.0268990652901784,1.6499341328938801,0.9629629629629629,22.22222222222222,True
nested_utility,2026,FSNet_A0_diff_abs_q4,4,2.355371747698103,3.0496014186314175,0.9629629629629629,22.22222222222222,True
nested_utility,2026,FSNet_A0_diff_signed_q4,4,2.4028787966127747,3.5438929966517856,0.9629629629629629,22.22222222222222,True
nested_utility,2026,WD0375_FS050_disagreement_q4,4,2.4201113837105885,3.2465035574776784,0.9259259259259259,44.44444444444444,False
nested_utility,2026,WDMamba_A0_diff_abs_q4,4,2.066944122314453,1.8894075666155135,0.9629629629629629,22.22222222222222,True
nested_utility,2026,WDMamba_A0_diff_signed_q4,4,2.225911599618417,3.0297025044759116,0.9629629629629629,22.22222222222222,True
nested_utility,2026,airlight_q4,4,2.4312876973833357,3.4602854592459544,0.9285714285714286,42.857142857142854,False
nested_utility,2026,dark_channel_q4,4,2.5794480187552318,3.5716559092203775,0.9629629629629629,22.22222222222222,True
nested_utility,2026,depth_q4,4,2.6544389043535506,3.325753847757975,0.9629629629629629,22.22222222222222,True
nested_utility,2026,edge_density_q4,4,2.578359944479806,3.4598108927408853,0.9629629629629629,22.22222222222222,True
nested_utility,2026,haze_density_q4,4,2.384817259652274,2.426185062953404,0.9642857142857143,21.428571428571427,True
nested_utility,2026,low_texture_q4,4,2.6854188101632253,3.556269781930106,0.9629629629629629,22.22222222222222,True
nested_utility,2026,sky_highlight_proxy_q4,4,2.4174717494419644,3.683394568307059,0.9285714285714286,42.857142857142854,False
nested_utility,2026,split,2,2.5126280868262576,3.387951578412737,0.9814814814814815,11.11111111111111,True
nested_utility,2026,transmission_q4,4,2.384817259652274,2.426185062953404,0.9629629629629629,22.22222222222222,True
