selector,group,bins,min_mean_dPSNR,min_hard_bottom25_dPSNR,min_positive_ratio,max_severe_loss_per_600,group_pass
nested_utility,A0_PSNR_q4,4,1.9612405215992648,2.2238006591796875,0.9529411764705882,28.235294117647058,True
nested_utility,FSNet_A0_diff_abs_q4,4,2.2458748761345357,3.0226890927269343,0.9761904761904762,14.285714285714285,True
nested_utility,FSNet_A0_diff_signed_q4,4,2.3706123127656826,3.156718635559082,0.9647058823529412,21.176470588235293,True
nested_utility,WD0375_FS050_disagreement_q4,4,2.4558081458596623,3.180149714152018,0.9759036144578314,14.457831325301205,True
nested_utility,WDMamba_A0_diff_abs_q4,4,1.9741232228833576,2.1483312334333147,0.9534883720930233,27.906976744186046,True
nested_utility,WDMamba_A0_diff_signed_q4,4,2.223136470431373,2.9714073907761347,0.9642857142857143,21.428571428571427,True
nested_utility,airlight_q4,4,2.522624713618581,3.279183101654053,0.9634146341463414,21.95121951219512,True
nested_utility,dark_channel_q4,4,2.430879570456112,3.374628157842727,0.9647058823529412,21.176470588235293,True
nested_utility,depth_q4,4,2.594407558441162,3.3950598580496654,0.9642857142857143,21.428571428571427,True
nested_utility,edge_density_q4,4,2.673694139368394,3.5813345227922713,0.9761904761904762,14.285714285714285,True
nested_utility,haze_density_q4,4,2.3913676093606386,2.702698298863002,0.9647058823529412,21.176470588235293,True
nested_utility,low_texture_q4,4,2.7112328248865465,3.5793794904436385,0.9761904761904762,14.285714285714285,True
nested_utility,sky_highlight_proxy_q4,4,2.523108044792624,3.273209708077567,0.9529411764705882,28.235294117647058,True
nested_utility,split,2,2.451934527201825,3.319542070714439,0.9759036144578314,14.457831325301205,True
nested_utility,transmission_q4,4,2.3913676093606386,2.702698298863002,0.9647058823529412,21.176470588235293,True
