count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,selector,mean_improve_vs_WD0375,hard_delta_vs_WD0375,easy_improve_vs_WD0375,positive_delta_vs_WD0375,severe_delta_vs_WD0375,aggregate_gate_pass,selector_score
1800,2.0372517172495526,1.9898246132532755,2.195684700012207,2.0871348605685762,1.8643054962158203,0.0017263187964757284,0.955,0.9444152891431862,0.955,54,18.0,0.03893665853386435,fixed_fs050,-0.4749503326416016,-1.3099302673339848,0.6748219553629557,-0.018333333333333424,7.0,False,-2.129101422627768
1800,2.512202049891154,2.464555562602149,3.5056149673461916,3.4492114100986058,1.1894835408528646,0.0016733370224634807,0.9733333333333334,0.9648224128177129,0.9733333333333334,33,11.0,0.02563451817167785,fixed_wd0375,0.0,0.0,0.0,0.0,0.0,False,0.0
1462,2.807146193716986,2.7600794804569144,3.563631245861315,3.5017008888558165,1.8557313997451572,0.0018863109247465955,0.981532147742818,0.973263155118654,0.981532147742818,19,7.7975376196990425,0.020208986473433013,nested_pairwise,0.2949441438258318,0.058016278515123254,0.6662478588922927,0.008198814409484667,-3.2024623803009575,True,0.6444657020909474
338,2.833737932013337,2.729097475808048,3.6667223430815197,3.5276669184366862,1.9561878840128581,0.001727636572877331,0.985207100591716,0.965843397695698,0.985207100591716,5,8.875739644970414,0.03415660230430197,nested_utility,0.32153588212218276,0.16110737573532807,0.7667043431599936,0.011873767258382628,-2.1242603550295858,True,0.7286355882189448
