variant,target_contract,name,threshold,hard_negative_pixels,ldhn_pixels,false_tail_rate,ldhn_recall,pred_high_coverage
f4_global_strat_control,global_target,1211_0.88_1.93.png,0.5132026076316833,0,63,nan,0.4444444444444444,0.88671875
f4_global_strat_control,global_target,1231_0.98_1.26.png,0.5132026076316833,188,488,0.0,0.03278688524590164,0.12939453125
f4_global_strat_control,global_target,123_0.94_1.22.png,0.5132026076316833,22,71,0.0,0.0,0.440185546875
f4_global_strat_control,global_target,1240_0.64_0.5.png,0.5132026076316833,755,748,0.0,0.017379679144385027,0.010498046875
f4_global_strat_control,global_target,1246_0.62_2.0.png,0.5132026076316833,33,351,0.0,0.039886039886039885,0.302734375
f4_global_strat_control,global_target,1250_0.57_0.61.png,0.5132026076316833,14,1385,0.0,0.0007220216606498195,0.0107421875
f4_global_strat_control,global_target,1254_0.97_1.31.png,0.5132026076316833,3,19,0.0,0.0,0.489501953125
f4_global_strat_control,global_target,1263_0.9_1.41.png,0.5132026076316833,258,50,0.0,0.14,0.32421875
f4_global_strat_control,global_target,1266_0.96_1.34.png,0.5132026076316833,16,60,0.0,0.1,0.728759765625
f4_global_strat_control,global_target,126_0.75_1.47.png,0.5132026076316833,135,595,0.0,0.0,0.231689453125
f4_global_strat_control,global_target,1271_0.65_1.66.png,0.5132026076316833,167,306,0.19760479041916168,0.0915032679738562,0.363525390625
f4_global_strat_control,global_target,1281_0.89_0.85.png,0.5132026076316833,396,271,0.005050505050505051,0.08856088560885608,0.142822265625
f4_global_strat_control,global_target,1282_0.62_0.6.png,0.5132026076316833,567,2524,0.001763668430335097,0.00832012678288431,0.009521484375
f4_global_strat_control,global_target,1292_0.66_1.45.png,0.5132026076316833,118,693,0.00847457627118644,0.05772005772005772,0.394775390625
f4_global_strat_control,global_target,1297_0.99_0.69.png,0.5132026076316833,642,9,0.0,0.0,0.097900390625
f4_global_strat_control,global_target,129_0.95_1.3.png,0.5132026076316833,62,43,0.0,0.5348837209302325,0.362060546875
f4_global_strat_control,global_target,1305_1.0_1.54.png,0.5132026076316833,18,72,0.0,0.05555555555555555,0.591552734375
f4_global_strat_control,global_target,1306_0.6_0.6.png,0.5132026076316833,611,242,0.0,0.0,0.001220703125
f4_global_strat_control,global_target,1308_0.84_1.04.png,0.5132026076316833,113,1301,0.0,0.4811683320522675,0.203857421875
f4_global_strat_control,global_target,1322_0.64_1.06.png,0.5132026076316833,388,136,0.002577319587628866,0.11029411764705882,0.267822265625
f4_global_strat_control,global_target,1323_0.89_0.88.png,0.5132026076316833,236,707,0.0,0.2814710042432815,0.392578125
f4_global_strat_control,global_target,1324_0.55_1.43.png,0.5132026076316833,390,64,0.007692307692307693,0.15625,0.376953125
f4_global_strat_control,global_target,1326_0.77_0.97.png,0.5132026076316833,48,948,0.375,0.5179324894514767,0.452880859375
f4_global_strat_control,global_target,1341_0.94_0.51.png,0.5132026076316833,224,312,0.0,0.0,0.07470703125
f4_global_strat_control,global_target,1347_0.75_1.79.png,0.5132026076316833,32,56,0.0,0.05357142857142857,0.947021484375
f4_global_strat_control,global_target,136_0.6_1.01.png,0.5132026076316833,278,770,0.0,0.0,0.1845703125
