operator_label,active,beneficial,harmful,gray,verified_rows,max_abs_direct_energy_diff,max_abs_g1_diff
D_ref,14151,9177,4974,0,14151,0.0,0.0
D_rep,14151,9173,4978,0,14151,0.0,0.0
