operator_label,config,eligible_row_count,weighted_auc,weighted_logloss,weighted_brier,weighted_prevalence
D_ref,full_signed_features,14151,0.6092855334281921,0.6486655473709106,0.2288772016763687,0.6261705160140991
D_ref,energy_only,14151,0.5278671979904175,0.6634400486946106,0.23508740961551666,0.6261705160140991
D_ref,unsigned_magnitude_only,14151,0.6095911264419556,0.6485096216201782,0.22881591320037842,0.6261705160140991
D_ref,within_image_shuffled_label,14151,0.5671834349632263,0.654026985168457,0.23153115808963776,0.6261705160140991
D_ref,metadata_only_nondeployable_control,14151,0.5120171904563904,0.6758898496627808,0.24034765362739563,0.6261705160140991
D_rep,full_signed_features,14151,0.6011470556259155,0.6544166803359985,0.2312706708908081,0.6258227825164795
D_rep,energy_only,14151,0.5288515090942383,0.6632106304168701,0.23498912155628204,0.6258227825164795
D_rep,unsigned_magnitude_only,14151,0.6008169651031494,0.6534979343414307,0.2310100942850113,0.6258227825164795
D_rep,within_image_shuffled_label,14151,0.5666179060935974,0.6550482511520386,0.2319454401731491,0.6258227825164795
D_rep,metadata_only_nondeployable_control,14151,0.5062422752380371,0.6780325770378113,0.24137669801712036,0.6258227825164795
