operator_label,active,beneficial,harmful,gray,verified_rows,max_abs_direct_energy_diff,max_abs_g1_diff
D_ref,503995,293415,210558,22,503995,0.0,0.0
D_rep,503995,293232,210755,8,503995,0.0,0.0
